src_text,tgt_text,cosine_score
"10 Me – 29ste herdenking van die inhuldiging van die eerste demokraties verkose president
","Ka la bo 10 Motsheganong go tla ketekiwa Segopotso sa bo 29 sa go keteka Go Tlhomiwa mo Setulong ga Moporesitente wa Ntlha yo a Tlhophilweng Semmuso wa Puso ya Temokerasi
",0.7325295
"Dié Kabinetsvergadering het presies 29 jaar na die dag toe President Nelson Mandela op 10 Me 1994 as die eerste president van ŉ demokratiese Suid-Afrika ingehuldig is, plaasgevind.
","Kopano eno ya Kabinete e tshwarwa poo morago ga dingwaga di le 29 go tloga ka motsi oo Moporesitente Nelson Mandela a neng a tlhomiwa mo setulong go nna Moporesitente wa ntlha wa puso ya naga ya Aforika Borwa ya temokerasi ka la bo 10 Motsheganong 1994.
",0.8673127
"Na drie en ŉ half eeue van kolonialisme en afsonderlike ontwikkeling waar mense se reg om toegang tot basiese dienste deur hul velkleur bepaal is, het ŉ demokratiese Suid-Afrika inklusiewe ontwikkelingsdoelwitte gestel om ŉ welvarende, nie-rassige, nie-seksistiese en gelyke samelewing tot stand te bring.
","Morago ga dingwaga di le makgolokgolo a mararo go rena puso ya bokoloniale mo tlhabologo e ne e sekametse ka fa letlhakoreng la gore batho ke ba mmala ofe, puso ya naga ya Aforika Borwa ya temokerasi e ne ya tlhoma dipeelo tsa tlhabologo tse merafe yotlhe e tla tlhabololwang ka go tshwana gore re nne le setšhaba se se atlegileng, se se senang tlhaolele go ya ka mmala le bong, se mo go sona batho botlhe ba lekalekanang.
",0.8204341
"Hoewel heelwat vordering sedert 1994 gemaak is, moet baie meer nog gedoen word om die land se ontwikkelingsdoelwitte te verwesenlik.
","Le fa go na le dilo tse dintsi tse di fitlheletsweng fa e sale ka ngwaga wa 1994, go santse go na le dilo tse dintsi tse di santseng di tlhokwa go diriwa gore naga e fitlhelele dipeelo tsa yona tsa go tlhabolola setšhaba.
",0.847803
"Die Suid-Afrikaanse Reserwebank het ŉ opgegradeerde reeks banknote en munte uitgereik wat ons grondwetlike demokrasie vier en hulde aan ons geliefde Madiba bring.
","Bankakgolo ya Aforika Borwa e ntshitse madi a pampiri le a tshipi a mantšhwa, mme seno ke go keteka temokerasi ya rona e mo go yona go renang molaotheo mmogo le go supa tlotlo go mmamoratwa wa rona e bong Rre Madiba.
",0.82470953
"Presidensiële Gesondheidspitsberaad
","Samiti ya Moporesitente e e ka ga Boitekanelo
",0.7582306
"Die tweede Presidensiële Gesondheidspitsberaad wat van 4 tot 5 Me 2023 plaasgevind het, het op die nege pilare van die 2019 Presidensiële Gesondheidsooreenkoms gefokus, naamlik: menslike hulpbronne toegang tot medisyne, entstowwe en gesondheidsprodukte infrastruktuur privaatsektorbetrokkenheid gehalte-gesondheidsorg openbare sektor finansiële bestuursverbeterings staatsbestuur en leierskap gemeenskapsbetrokkenheid inligtingstelsels en pandemiese paraatheid.
","Samiti ya Bobedi ya Moporesitente e e ka ga Boitekanelo e e neng e tshwerwe ka la bo 4-5 Motsheganong 2023 e tsepamisitse mogopolo mo dikarolong di le robongwe tsa Tumelano ya Merero ya Moporesitente e e ka ga Boitekanelo: mme tsona ke go tlamelwa ka palo e e lekaneng ya badiredi go tlamelwa ka melemo, meento le didirisiwa tsa boitekanelo go tlamelwa ka mafaratlhatlha go tšhotlha merero le ba maokelo a poraefete go nna le lephata la maokelo a a nang le boleng go tokafatsa taolo ya matlole mo makaleng a puso go tokafatsa thulaganyo ya puso le boeteledipele go tšhotlha merero le baagi mo setšhabeng go rulaganya dithulaganyo tsa tshedimosetso mmogo le go ipaakanyetsa go ema sejaro mamabi le go wa ga maroborobo.
",0.8508774
"Een van die beraad se uitkomste was die hernieude verbintenis om die Nasionale Gesondheidsversekering (NGV) in werking te stel.
","E nngwe ya dintlha tse di tšhotlhilweng kwa samiting eno ke tsosoloso ya maikano a go tsenya tirisong Inšorense ya Bosetšhaba ya Boitekanelo (NHI).
",0.80906105
"Dit is deel van ŉ program om ongelykhede in toegang tot gesondheidsorgdienste te verminder deur die finansiële las vir toegang tot gesondheidsorgdienste te verlig.
","Eno ke karolo ya letsholo la go fedisa tlalelo mo setšhabeng fa go tshwanetswe go bonwe ditirelo tsa pholo ka go rola boima jwa gore ba iponela kae madi a go duelela go abelwa ditirelo tsa kalafo le pholo.
",0.81468856
"Die Kabinet verwelkom die aanvaarding van maatreëls wat nodig is om die gesondheidstelsel aan te pas en die NGV-hervormings te versnel.
","Kabinete e amogetse dikgato tse di tseerweng tsa go tsenya tirisong maano a a tlhokagalang a go tsosolosa maokelo le go potlakisa dikgato tsa go tsosolosa NHSeno se dira gore maokelo a rona a kgone go direla botoka maAforika Borwa.
",0.7588882
"Dit bring ons gesondheidsorgstelsel nader aan sy doelwit om ŉ beter diens aan Suid-Afrikaners te lewer.
","Motlakase
",0.17574881
"Energie
","Puso e dirisana le Eskom go potlakisa dikgato tsa go baakanya diyuniti tsa motlakase tse di dirileng gore mo malobanyaneng re tsene mo maemong a bo 6 a motlakase o o tshabetseng ruri e leng seo se kgoreleditseng kgatelopele e e dirilweng ya go dira gore re nne le motlakase o o sa tshabeleng ruri ka fa nageng.
",0.27740324
