src_text,tgt_text,cosine_score
"Rampbestuur na aanleiding van die vloede.
","Malawulelo ya timhangu endzhaku ka mikhukhulo.
",0.7550403
"Die Kabinet het hul medelye uitgespreek met almal wat geliefdes verloor het tydens die onlangse verwoestende vloede wat verskeie dele van die land geraak het, in besonder KwaZulu-Natal..
","Khabinete yi hundzise michavelelo eka vanhu hinkwavo lava va lahlekeriweke hi varhandziwa va vona eka mikhukhulo yo onhetela leya ha ku vaka kona leyi yi hlaseleke swiphemu swo tala swa tiko ra ka hina, ngopfungopfu KwaZulu-Natal..     Xitiviso xa Xiyimo xa Rixaka xa Mhangu na miphalalo ya vanhu na ikhonomi leya ha ku tivisiwaka hi Phuresidente Cyril Ramaphosa, sa yi lava ku tiyisisa leswaku ku va na angulo lowu tirhaka kahle na ku va lowu hlanganisiweke eka swiyenge hinkwaswo swa mfumo, hi ku tirhisa Senthara ya Malawulelo ya Timhangu ya Rixaka..     R1 ya biliyoni leyi endliweke yi kumeka hi mfumo  yi le ku tirhisiweke ku seketela mphalalo na matshalatshala yo hlakarhela, ku vuyisela vukorhokeri bya masungulo na ku nyika mpfuneto wa nhlayiseko wa vanhu hi xivumbeko xa swakudya, mati, vutumbelo, nkululo na swiambalo..     Phurosese ya ku aka hi vuntshwa tindhawu leti hlaseriweke se yi sungurile tanihiloko vanhu va tiko ra ka hina va ri karhi va vumba vun'we ku pfuneta lava va lahlekeriweke hi makaya ya vona na nhundzu ya vona.
",0.77560055
"Die verklaring van ŉ nasionale ramptoestand en sosio-ekonomiese hulpingrypings wat onlangs deur President Cyril Ramaphosa aangekondig is, het ten doel om doeltreffende en gekoördineerde teenmaatreëls regoor alle regeringsfere te verseker, by wyse van die nasionale rampbestuursentrum.
","Vuxokoxoko byintshwa hi mayelana na Vuvabyi bya Khoronavhayirasi (COVID-19).
",0.5887282
"Die R1 miljard wat beskikbaar gestel is deur die regering word aangewend om verligtings- en herstelpogings te steun, basiese dienste weer beskikbaar te stel en humanitêre steun te lewer by wyse van voedsel, water, skuiling, sanitasie en klere..
","Khabinete yi lemuke hi ku vilerisiwa hi ntlakuko lowa ha ku vaka kona eka mitluletavuvabyi ya COVID-19 eka swiphemu swin'wana swa tiko naswona yi hlohlotele vanhu ku teka magoza yo sirhelela ku tisirhelela ehenhla ka xitsongwatsongwana lexo dlaya, ngopfungopfu hi vuxika.
",0.69999516
"Die proses om areas wat deur die vloede geraak is, te herbou, het reeds begin, met ons land se mense wat verenig is in hul vasberadenheid om hulp te verleen aan diegene wat hul huise en besittings verloor het..     Nuutste oor die koronavirussiekte (KOVID-19).
","Xitsongwatsongwana lexi xa ha ri nxungeto lowu nga cincacinciki naswona nsawutiso wu tshama wa ha ri xitlhavana lexo tirha kahle swinene ku tisirhelela.
",0.61172354
"Die Kabinet is besorg oor die onlangse skerp styging in KOVID-19-infeksies in sommige dele van die land en spoor alle burgers aan om voorkomingsmaatreëls te tref om hulself teen die virus te beskerm, veral tydens die winterseisoen..
","Khabinete yi tsakisiwa hi leswaku vanhu vo tala va ya emahlweni va hlawula nsawutiso tanihi ntila wa vona wo sungula wa vusirheleri ehenhla ka COVID-19 endzhaku ka tinhlayonhlayo leta ha ku vaka kona leti kombeke leswaku hi fikelerile ndzimakulu ya kutlula wa tiphesente ta misawutiso ya vanhu lavakulu eka ntlhanu wa swifundzakulu.
",0.7319797
"Die virus is steeds ŉ bedreiging en inenting bied die mees doeltreffende beskerming daarteen.
",".
",0.4685291
"Die Kabinet is daarmee genoë dat al meer en meer mense kies om ingeënt te word vir beskerming teen die virus, na aanleiding van onlangse statistieke wat getoon het dat ons die mylpaal van meer as 50% van volwasse inentings in vyf provinsies bereik het..
","Khabinete yi kombela lava va nga si sawutisiwaka ku endla tano ku tisirhelela vona na varhandziwa va vona.
",0.6239097
"Die Kabinet doen ŉ beroep op almal wat nog nie ingeënt is nie, om ingeënt te word om hulself en hul geliefdes te beskerm.
","Hi fanele ku tlhela hinkwerhu hi ya emahlweni hi landzelela milawu yo sivela ya COVID-19, ku katsa na ku ambala masiki leyi yi funengetaka havumbirhi bya nhompfu na nomu, ku hlamba swandla hi mati na xisibi, kumbe ku tirhisa sanithayizara ya swandla leyi nga na xihoko xa 70%, ku hlayisa mpfhuka exikarhi ka vanhu lowu hlayisekeke wa mpimohansi wa mitara yin'we..     Malimpfuneto ya Mphalalo wa Vanhu wa Ntshikelelo (SRD) .
",0.66550875
"Ons moet ook alle KOVID-19-voorkomingsmaatreëls volg, insluitend die dra van gesigmaskers wat beide neus en mond bedek, gereelde handewas met seep en water of ŉ 70%-alkoholgebaseerde handsaniteerder, en om ŉ veilige sosiale afstand van minstens een meter van ander mense te handhaaf..     Maatskaplike verligting van nood-toelae.
","Khabinete yi khutaze vaakatiko lava kumaka Malimpfuneto ya SRD ya R350 SRD ku endla swikombelo hi vuntshwa, endzhaku ka ku tivisiwa ka yswinawana swintshwa leswi fumaka swikombelo na mfikeleleko wa malimpfuneto leyi.
",0.66030693
