src_text,tgt_text,cosine_score
"10 Me – 29ste herdenking van die inhuldiging van die eerste demokraties verkose president
","Umhla we-10 kuCanzibe – isiKhumbuzo sama-29 sokuBekwa kukamongameli wokuqala owonyulwa ngokwentando yesininzi
",0.7884308
"Dié Kabinetsvergadering het presies 29 jaar na die dag toe President Nelson Mandela op 10 Me 1994 as die eerste president van ŉ demokratiese Suid-Afrika ingehuldig is, plaasgevind.
","Intlanganiso yeKhabhinethi ibanjwe kanye emva kweminyaka engama-29 emva kokubekwa ngokusesikweni kukaMongameli Nelson Mandela njengoMongameli wokuqala woMzantsi Afrika olawulwa ngokwentando yesininzi ngomhla we-10 kuCanzibe 1994.
",0.8735157
"Na drie en ŉ half eeue van kolonialisme en afsonderlike ontwikkeling waar mense se reg om toegang tot basiese dienste deur hul velkleur bepaal is, het ŉ demokratiese Suid-Afrika inklusiewe ontwikkelingsdoelwitte gestel om ŉ welvarende, nie-rassige, nie-seksistiese en gelyke samelewing tot stand te bring.
","Emva kweenkulungwana ezintathu ezinesiqingatha phantsi kwenkqubo yobukholoniyali kunye neyocalu-calulo apho ilungelo lomntu lokufumana iinkonzo ezisiseko lalixhomekeka kwibala lakhe, uMzantsi Afrika olawulwa ngokwentando yesininzi wamisela iinjongo zophuhliso eziza kusiza kwisizwe esiqhubela phambili, esingacaluli ngokwebala, ngokwesini nesinolingwano.
",0.8767804
"Hoewel heelwat vordering sedert 1994 gemaak is, moet baie meer nog gedoen word om die land se ontwikkelingsdoelwitte te verwesenlik.
","Nangona umninzi umsebenzi owenziweyo ukususela ngowama-1994, kusekuninzi ekufuneka kwenziwe ukuze sizalisekise la maphupha eenjongo zophuhliso.
",0.8847175
"Die Suid-Afrikaanse Reserwebank het ŉ opgegradeerde reeks banknote en munte uitgereik wat ons grondwetlike demokrasie vier en hulde aan ons geliefde Madiba bring.
","IBhanki enguVimba yoMzantsi Afrika ikhuphe imali entsha ephuculiweyo engamaphepha nezingqekembe, ebhiyozela urhulumente wethu olawulwa ngokomgaqo-siseko futhi ikwenza oku ngelokuhlonipha utata wethu uMadib’omde.
",0.864877
"Presidensiële Gesondheidspitsberaad
","INgqungquthela kaMongameli yezeMpilo
",0.751631
"Die tweede Presidensiële Gesondheidspitsberaad wat van 4 tot 5 Me 2023 plaasgevind het, het op die nege pilare van die 2019 Presidensiële Gesondheidsooreenkoms gefokus, naamlik: menslike hulpbronne toegang tot medisyne, entstowwe en gesondheidsprodukte infrastruktuur privaatsektorbetrokkenheid gehalte-gesondheidsorg openbare sektor finansiële bestuursverbeterings staatsbestuur en leierskap gemeenskapsbetrokkenheid inligtingstelsels en pandemiese paraatheid.
","INgqungquthela kaMongameli yezeMpilo yesibini ibibanjwe ngomhla wesi-4 nowesi-5 kuCanzibe 2023 ibigxile kwiintsika ezisithoba zesiVumelwano sikaMongameli sezeMpilo: abasebenzi ukufumaneka kwamayeza, amachiza okuthintela kunye neemveliso zempilo iziseko zophuhliso ukubonisana necandelo labucala iinkonzo zempilo ezisemgangathweni ukuphucula indlela urhulumente azilawula ngayo izimali ezolawulo nobunkokeli ukufakana imilomo noluntu iinkqubo zolwazi kunye nokulungela oobhubhane.
",0.8429299
"Een van die beraad se uitkomste was die hernieude verbintenis om die Nasionale Gesondheidsversekering (NGV) in werking te stel.
","Esinye seziphumo sale Ngqungquthela kukuzibophelela ngokutsha kumba wokuphunyezwa kwe-Inshorensi yeSizwe yezeMpilo (i-NHI).
",0.8423276
"Dit is deel van ŉ program om ongelykhede in toegang tot gesondheidsorgdienste te verminder deur die finansiële las vir toegang tot gesondheidsorgdienste te verlig.
","Oku kuyinxalenye yenkqubo yokuphungula umsantsa okhoyo kwindlela esifikelela ngayo kwiinkonzo zempilo ngokuphungula umyinge wemali efunwayo ukuze umntu afumane iinkonzo zempilo ezisemgangathweni.
",0.8530787
"Die Kabinet verwelkom die aanvaarding van maatreëls wat nodig is om die gesondheidstelsel aan te pas en die NGV-hervormings te versnel.
","IKhabhinethi ichulumancile kukwamkelwa kwamanyathelo afunekayo ukuvuselela icandelo lezempilo kunye nokukhawulezisa utshintsho oluza kuza ne-NHOku kuza kwenza iinkonzo zempilo zeli zisondele kwinqanaba lokukwazi ukunceda abemi boMzantsi Afrika ngcono..Ezamandla
",0.80251884
