src_text,tgt_text,cosine_score
"Issues in the environment.
","Ndangulo ya tshiwo nga murahu ha miḓalo.
",0.38045546
"Disaster management after the floods.
","Khabinethe yo swikisa maipfi ndiliso kha vhathu vhoṱhe vhe vha ṱutshelwa nga  vhafunwa vhavho kha miḓalo ye ya vhanga tshinyalelo khulwane ine ya kha ḓi tou bva vha hone zwenezwino kha zwipiḓa zwo fhambanaho zwa shango ḽashu, nga maanḓa ngei KwaZulu-Natal..     Zwa ḓivhadzwa ha Tshiimo tsha Tshiwo tsha Lushaka na maga thuso ya ṱhaḓulo kha zwa ikonomi na matshilisano zwe zwa itwa nga Phresidennde Vho Cyril Ramaphosa, zwo livhiswa kha vhona uri hu khou vha na maga khwaṱhaho nahone tshimbidzwaho zwavhuḓi vhukati ha masia oṱhe muvhuso hu tshi shumiswa  Senthara ya Ndangulo ya Tshiwo ya Lushaka.
",0.3356067
"Cabinet expressed condolences to all people who have lost their loved ones in the recent devastating floods that hit several parts of our country, particularly KwaZulu-Natal..
","Masheleni linganaho R1 biḽioni a ṋetshedzwa nga muvhuso khou shumiswa kha tikedza ndingedzo dza mvusuluso na ṱhaḓulo vhuedzedza tshumelo dza mutheo khathihi na ṋetshedza thuso ya zwa vhuthu nga vha ṋea zwiḽiwa, maḓi, vhudzulo, tshumelo dza vhuthathazwitzhili na zwiambaro..     Mushumo wa dovha fhaṱa hafhu nga huswa fhethu ho tshinyadzwaho nga miḓalo kati, ngeno vhathu vha shango ḽashu vha tshi khou farana vha vha ṅanda nthihi kha vhuḓiimiseli havho ha thusa avho vho tshinyalelwaho nga mahaya na thundu dzavho.
",0.5259338
"The declaration of National State of Disaster and socio-economic relief interventions recently announced by President Cyril Ramaphosa, sought to ensure an effective and coordinated response across all spheres of government, through the National Disaster Management Centre..
","Mafhungo maswa nga ha Vhulwadze ha Khoronavairasi (COVID-19).
",0.60987395
"The R1 billion made available by the government is being used to support relief and recovery efforts, restore basic services and provide humanitarian assistance in the form of food, water, shelter, sanitation and clothing..
","Khabinethe yo dzhiela nṱha khathihi na vhilaedzwa nga engedzea ha zwenezwino  ha tshivhalo tsha zwiwo zwa kavhiwa nga vairasi ya COVID-19 kha zwiṅwe zwipiḓa zwa  shango nahone khou  ṱuṱuwedza vhathu vhoṱhe uri vha dzhie maga tsireledzo itela ḓitsireledza kha vairasi iyi re khombo ngaurali, nga maanḓa nga tshifhinga tsha vhuriha.
",0.6070583
"The process to rebuild affected areas has already started as the people of our country unite in their determination to assist those who have lost their homes and possessions.
","Vairasi iyi khou bvela phanḓa na vha khombo tshifhinga tshoṱhe nahone muhaelo ndi wone une swika zwino wa vha tshone tshiṱhavhane tsha vhuhali tsha ḓitsireledza.
",0.5247705
"Update on the Coronavirus Disease (COVID-19).
","Khabinethe khou takadzwa nga fhungo ḽa uri vhunzhi ha vhathu vha khou bvela phanḓa na nanga muhaelo sa tshone tshipileli tshavho tsha thoma kha COVID-19 nga murahu ha musi mbalombalo dza zwenezwino dzo sumbedza uri ro swika kha ḽiga ḽa nṱhesa ḽa fhirisa phesenthe dza 50 dza vhaaluwa vho haelwaho kha mavunḓu maṱanu.
",0.5056411
"Cabinet noted with concern the recent spike in COVID-19 infections in some parts of the country and urged all people to take precautionary measures to protect themselves against the deadly virus, especially during winter.
",".
",0.024987578
"The virus is still constant threat and vaccination remains the most effective weapon to protect ourselves.
","Khabinethe khou ita khuwelelo kha avho vhane vha athu haelwa uri vha ite ngauralo itela uri vha kone ḓitsireledza khathihi na tsireledza vhafunwa vhavho.
",0.27850538
"The cabinet is pleased that more people continue to choose vaccination as their first line of defence against COVID-19 after recent statistics showed that we have reached the milestone of over 50 per cent of adult vaccinations in five provinces.
","Ri tea dovha hafhu ra bvela phanḓa na tevhedza milayo yoṱhe ya thivhela dwadze ḽa COVID-19, hu tshi katelwa na zwa ambara maski une wa thivhedza mulomo na ningo ṱamba zwanḓa nga maḓi na tshisibe kana shumisa sanithaiza ya zwanḓa re na aḽikhohoḽi linganaho 70%, khathihi na sia tshikhala tshi linganaho mithara muthihi vhukati hau na muṅwe muthu..     Magavhelo Ṱhaḓulo ya Thambulo  kha Vhadzulapo (SRD) .
",0.6097366
".
","Khabinethe khou ṱuṱuwedza vhadzulapo vha wanaho Magavhelo masheleni linganaho R350 SRD uri vha dovhe vha ite khumbelo hafhu nga huswa nga murahu ha musi ho thoma shumiswa milayo miswa langaho zwa itwa ha khumbelo idzi khathihi na zwa vha muthu tewaho nga wana magavhelo aya.
",0.08445352
"Cabinet calls on those who have not yet been vaccinated to do so to protect themselves and their loved ones.
","Khumbelo dzi nga itwa kha webusaithi ya Zhendedzi ḽa Thuso ya zwa Masheleni kha Vhadzulao ḽa Afrika Tshipembe (SASSA) ine ya vha https://srd.sassa.gov.za/.
",0.47013783
"We should also all continue to adhere to all COVID-19 prevention protocols, including the wearing of mask that covers both the nose and mouth, washing hands with water and soap, or using 70% alcohol-based hand sanitiser, and keeping safe social distance of at least one metre..   Social Relief of Distress (SRD) Grant.
","Sisiṱeme ya ita khumbelo yo vula nga ḽa 23 Lambamai 2022 nahone khumbelo  dzenedzo dzi itwa nga nḓila yo fhelelaho ya didzhithaḽa hu tshi itelwa uri hu kone  wanala phindulo nga ṱavhanya..     Magavhelo ṱhaḓulo tshikwama tsha ndeme tsha thuso ya zwa masheleni kha miṱa shayaho ye ya vha tshi ḓo vha kha nyimele konḓaho vhukuma nga mulandu wa vhushai na shayea ha mishumo.
",0.6846511
"Cabinet encouraged citizens receiving the R350 SRD Grant to reapply, following the introduction of new regulations governing applications and eligibility for the grant.
","Muvhuso wo ḓiimisela ṋetshedza thuso ya zwa matshilisano kha avho vha sa koni ḓiitela uri na vhone vha kone swikela ṱhoḓea dzavho dza mutheo.
",0.62222755
"Applications can be lodged on the South African Social Security Agency (SASSA)  website: https://srd.sassa.gov.za/.
","Tsireledzo na Vhutsireledzi.
",0.39711356
"The application system opened on 23 April 2022 and is fully digital process to enable quick turnaround times..
","Khabinethe khou bvela phanḓa na sasaladza zwa vhulawa ha vhafumakadzi nga nḓila ya tshiṱuhu nahone khou dovha hafhu ya ṱanganedza vhukando ho dzhiwaho nga ṱavhanya nga vhaofisiri vha zwa mulayo ha fara vhahumbulelwa malugana na lufu lwa Mufumakadzi Vho Hillary Gardee (28), vha fhaḽa Kamagugu kha ḽa Mpumalanga.
",0.525046
"The relief grant is an important safety net for needy families who would otherwise be devastated by the scourge of poverty and unemployment.
","Khabinethe khou dovha hafhu ya sasaladza mabulayo vhathu vha rathi ngei Khayelitsha, hune ha vha fhaḽa Cape Town.
",0.50800335
"Government is committed to providing social assistance to the most vulnerable so that they can meet their basic needs.
","Mabulayo aya tshiṱuhu ngaurali tou vha tshihumbudzi tsha uri hu kha ḓi vha na zwinzhi zwine ra kha ḓi tea ita sa vhadzulapo itela fhelisa zwiito zwa dzikhakhathi khathihi na khakhathi dzo ḓitikaho nga mbeu hu tshi katelwa na mabulayo vhathu vha tshifumakadzi (GBVF)..     Khabinethe khou ṱuṱuwedza vhathu vhoṱhe fhano shangoni uri vha shumisane na muvhuso kha lwa na zwiito zwa vhugevhenga na GBVF.
",0.4319097
"Safety and security.
","Nga tshumisano, ri nga ita uri zwitshavha zwashu khathihi na magondo ashu vhe tsireledzeaho kha vhathu vhoṱhe, hu tshi katelwa vhaaluwa, vhafumakadzi na vhana..     Ikonomi.
",0.27493632
"Cabinet continues to condemn the senseless killing of women and has welcomed the swift response by law-enforcement officers in arresting suspects in connection with the death of Ms Hillary Gardee (28), of Kamagugu in Mpumalanga.
","Khabinethe yo ṱanganedza vulwa lwa tshiofisi ha ḽimaga ḽa foroma zwidina ḽa Corobrik Kwastina ngei Driefontein kha vunḓu ḽa Gauteng nga Phresidennde Vho Ramaphosa nga Ḽavhuraru, ḽa 4 Shundunthule.
",0.7088772
"Cabinet further condemned the killing of six people in Khayelitsha, Cape Town.
","Ḽimaga iḽi ḽa maimo nṱha ḽi vhumba tshipiḓa tsha vhubindudzi ha masheleni linganaho R800 miḽioni, zwine hezwi zwa khou tshimbila khathihi na maṅwe masheleni linganaho R200 miḽioni ane khou lavhelelwa ḓo engedza mishumo ya khonkhirithi ya vha ha Corobrik ngei KwaZulu-Natal.
",0.5877239
"These senseless murders are reminder that we must do more as society to end violence and gender-based violence and femicide (GBVF)..
","Corobrik ndi ḽiṅwe ḽa mabindu fhano hayani a fhindula khuwelelo ya Phresidennde Vho Ramaphosa ye vha ita kha mabindu fhano Afrika Tshipembe na dzitshaka uri bindudze kha ikonomi ya ḽino shango.
",0.590266
"Cabinet urged all people in the country to work with the government in the fight against crime and GBVF.
","Khabinethe yo dovha hafhu ya dzhiela nṱha zwa uri ikonomi ya gesemaḓi ine ya khou  aluwa yo wana thikhedzo khulwane nga rwelwa ṱari ha tshiendedzi tsha ṱhiraka shumisaho gesemaḓi nga vha ha Anglo American.
",0.5587001
"Together we can ensure that our communities and streets are safer for all people, including the elderly, women and children..  Economy.
","Tshiendedzi itshi tsha ṱhiraka, tshe tsha shandukiswa bva kha tsha shumisa diziḽi ya kha tsha gesemaḓi, nahone tshi shumisa na beṱiri dza lithium-ion, tshi tou vha tshone tsha thoma ḽifhasini ḽoṱhe.
",0.50840545
"Cabinet welcomed the official opening of Corobrik’s Kwastina brick manufacturing factory at Driefontein in Gauteng by President Ramaphosa on Wednesday, 4 May.
","Ikonomi ya gesemaḓi yo ṱaluswa sa tshithu tsha ndeme kha ikonomi sa tshikafhadzi mupo wa shango ḽashu khathihi na kha ṱuṱuwedza nyaluwo ya ikonomi na sika mishumo..     Khabinethe yo dovha hafu ya ṱanganedza vhuṅwe vhubindudzi kha ikonomi yashu bva kha khamphani ya zwiḽiwa ya Ireland ine ya ḓivhiwa sa The Kerry Group ye ya vula ḽimaga ḽiswa ḽi ḓuraho masheleni swikaho R650-miḽioni ngei Hammarsdale, KwaZulu-Natal ḽiṋe ḽa ḓo bveledza zwiḽiwa zwine zwa nga shumiswa lwa tshifhinga tshilapfu kha dzhango ḽa Afrika.
",0.6760943
"The state-of-the-art factory forms part of an R800 million investment, which goes hand in hand with further R200 million earmarked to expand Corobrik’s concrete operations in KwaZulu-Natal.
","Heḽi ndi ḽimaga ḽo khetheaho ngauri ḽi na zwishumiswa zwinzhi zwo khwaṱhaho zwine zwa katela na zwishumiswa zwi shumisaho fulufulu ḽiṱuku, vhubveledzi ha fulufulu ḽi bvaho kha masana ḓuvha itela fhungudza shumiswa ha muḓagasi bvaho kha netiweke ya nḓisedzo ya muḓagasi ya henefho fhethu kuvhanganywa ha mufhiso wo no shumaho kuvhanganywa ha maḓi nga nḓila yavhuḓi shumisa hafhu na phungudzo.
",0.6389533
"Corobrik is one of several local businesses that have responded to President Ramaphosa’s call on South African and international enterprises to invest in this economy.
","Ḽimaga ḽa The Kerry Group ḽo vha hone fhano Afrika Tshipembe bva nga ṅwaha wa 2011, nahone vhubindudzi vhuṅwe na vhuṅwe vhuswa vhune ḽa vhu ita ndi tshiga tsha uri Afrika Tshipembe ḽi kha ḓi vha fhethu havhuḓi ha ita zwa vhubindudzi.
",0.61430216
"Cabinet noted that the fledgling hydrogen economy has been given boost with the launch of hydrogen-powered truck by Anglo American.
","Hovhu vhubindudzi vhu khou vha hone nga murahu ha rwelwa ṱari zwa magwa ha tshiendedzi tsha luṱanḓala tsha Isuzu D-Max ngei Gqeberha kha ḽa Kapa Vhubvaḓuvha ṅwedzi wo fhelaho.
",0.5882266
"The truck – which was converted from diesel to hydrogen, and is powered in part by lithium-ion batteries – is world first.
","Lushaka luswa lwa D-Max lu khwaṱhisedza vhuḓiimiseli ha vha ha Isuzu kha ḽa Afrika Tshipembe nahone ndi iṅwe ya mvelaphanḓa ye ya swikelwa nga fhasi ha Mbekanyamushumo ya Mveledziso ya Vhubveledzi ha Mimoḓoro (APDP).
",0.62588185
"The hydrogen economy has been identified as strategic priority for our country’s green economy, and to drive economic growth and employment..
","APDP ndi tshikimu tsha magavhelo vhubveledzi kha nḓowetshumo ya mimoḓoro tsho livhiswaho kha ṱuṱuwedza vhubveledzi nga vhunzhi kha nḓowetshumo ya zwa mimoḓoro yo tiwaho ṱuṱuwedza nyengedzedzo ya ndeme kha tshipiḓa tsha nḓowetshumo ya zwa mimoḓoro  zwine hezwi zwa  fhedza nga sika mishumo kha nḓowetshumo ya zwa vhubveledzi ha mimoḓoro nga angaredza.
",0.53854203
"Cabinet also welcomed further investment into our economy by an Irish food company, The Kerry Group, which has opened new R650-million plant in Hammarsdale, KwaZulu-Natal aimed at producing sustainable food for the continent.
","Masheleni swikaho R2,8 biḽioni ḓo bveledzwa kha zwa vhubveledzi ha zwibveledzwa zwa fhano hayani nga tshifhinga tshenetsho tsha musi APDP tshi kha ḓi vha hone.
",0.6061275
