src_text,tgt_text,cosine_score
"Ukulawulwa Kwehlekelele Ngemva Kweenkhukhula.
","Merero ye Bohlokwa Seemong sa Bjale.
",0.23315084
"IKhabinethi ililele beyaduduza boke abantu ababhujelweko eenkhukhuleni zamhlapha ezisahlele iindawo ezimbadlwana zelizwe, khulukhulu KwaZulu-Natala.
","Taolo ya Masetlapelo Morago ga Mafula.
",0.41838667
".
","Kabinete lebišitše mahloko yona go batho ka moka bao ba lobilego bao ba phelago le bona mo mafuleng go setla pelo malobanyana ao wetšego dikarolo tša naga ya gaborena, kudukudu KwaZulu-Natal..     Tsebagatšo ya Maemo Masetlapelo Bosetšhaba gotee le magato kimollo ya ikonomi maphelong batho ao tsebagaditšwego ke Mopresidente Cyril Ramaphosa malobanyana mo be nepile go netefatša kgato ye nago le mohola le ya go rulaganywa ka tsela ye maleba go potologa didiko ka moka ka mmušo, ka Senthara ya Bosetšhaba ya Taolo ya Masetlapelo..     R1 bilione ya go tlišwa ke mmušo gare šomišwa go thekga maitekelo kimollo le go boetša seemo sekeng, go bušetša ditirelo tša motheo sekeng le go fana ka thušo ya botho ka sebopego sa dijo, madulo, tlhwekišo le diaparo..     Tshepedišo ya go agaleswa mafelo ao amilwego ke mafula šetše thomile ka ge batho ba naga ya gaborena ba ipopa ngatana ye tee ka maikemišetšo go thuša bao ba lobilego magae le dithoto tša bona.
",-0.027996903
"Ukumenyezelwa kobuJamo beHlekelele eliZweniloke kunye namagadango wokusiza ukwethula abantu umthwalo kezehlalakuhle nezomnotho, njengoba kumemezele uMengameli u-Cyril Ramaphosa mhlapha, bekunqophe ukuletha ihlelo elihle lokulamulela abantu kizo zoke iingaba zikarhulumende, ngeZiko lokuLawula iHlekelele eliZweniloke.
","Tsebišo ya Seemo sa Bolwetši bja Coronavirus (COVID-19).
",0.31991467
".
","Kabinete hlobaetšwa ke tlhatlogo ya bjale ya diphetelo tša COVID-19 dikarolong tše dingwe tša naga ya gaborena ebile hlohleleditše batho ka moka go latela magato go ihlokomela gore ba itšhireletše kgahlanong le baerase ye ya go iša batho ga maotwanahunyela, kudukudu ka nako ye ya marega.
",-0.011627104
"Imali eyibhiliyoni yamarandi ekhutjhwe ngurhulumende isetjenziselwa ukusekela imizamo yokusiza nokulungisa, ukubuyisa izenzelwa ekuphilwa ngazo, ukunikela ngesizo leendingo zesitjhaba ezinjengokugoma, amanzi, iindawo  zokuhlala, ihlelo lehlanzeko yomphakathi kunye nezembatho.
","Baerase ye santše le tlhobaboroko yeo tšwelago pele ebile meento sale sebetša sa go ba le mohola kudu sa go itšhireletša.
",0.48913166
".
","Kabinete thabišwa ke gore batho ba bantši ba tšea sephetho sa go hlaba meento bjalo ka mekgwa ya bona ya mathomo ya go itšhireletša kgahlanong le COVID-19 morago ga gore dipalopalo tša moragorago di laetše gore re fihleletše phenyo ya go feta seripa sa meento bathong ba bagolo diprofenseng tše tlhano..     Kabinete dira boipiletšo go bao ba sa kago ba hlaba meento go dira bjalo gore ba itšhireletše le go šireletša bao ba phelago le bona.
",-0.009849064
"Selithomile ihlelo lokuvuselela iindawo ezithintekileko njengoba abantu belizwe lekhethu babumbana bancamele ukusiza labo abagirikelwe ziinkumba bebonakalelwa yipahla.
","Re swanetše go tšwelapele go obamela magato ka moka thibelo ya COVID-19, go akaretšwa le go apara maseke wa go pipetša nko le molomo, go hlapa matsogo ka meetse le ka sesepe goba ka go šomiša sanithaesa sa diatla sa go tswakwa ka alekhohole ya go feta 70%, le go šielana sekgala sa go bolokega se ka bago mithara tee..     Thušo ya Tšhelete ya Kimollo ya Masetlapelo Leago (SRD).
",0.6891283
".
","Kabinete hlohleleditše badudi bao ba amogelago Thušo ya tšhelete ya SRD ya R350 go dira dikgopelo gape morago ga gore go tsebagatšwe melao ye meswa ya go laola dikgopelo le maswanedi go hwetša thušo ye ya tšhelete.
",0.029537262
"Zamva Nje Ngesifo Sengogwana i-Corona (i-COVID-19).
","Dikgopelo di ka dirwa wepsaeteng ya Etšensi ya Afrika Borwa ya Tšhireletšego ya Leago (SASSA) mo go https://srd.sassa.gov.za/.
",0.6587536
