src_text,tgt_text,cosine_score
"Ngomhla we-10 kuMrhayili — kuGidingwa ama-29 Weminyaka Solo kwagcotjwa UMengameli Wokuthoma Wentando Yenengi Lomhlangano weKhabinethi ubanjwe wathomana nelanga ekuhlangana ngalo patsi, ama-29 weminyaka solo uMengameli Nelson Mandela agcotjelwa isikhundla sokuba nguMengameli wokuthoma weSewula Afrika ebuswa ngentando yenengi ngomhla we-10 kuMrhayili we-1994.
","Kamora mengwahakgolo e meraro le halofo ya bokoloniale le ho kgethollwa ha batho ho ya ka merabe ya bona, le nakong eo batho ba neng ba nehwa ditshebeletso tsa motheo ho latela mebala ya bona, Afrika Borwa ya demokrasi e ile ya teka merero e kenyeletsang ya ntshetsopele molemong wa ho fihlella naha e atlehileng, e sa kgetholleng ka mmala, e sa kgetholleng ka bong le e nang le tekano-tekano.
",0.35680252
"Ngemva kwamakhulu amathathu anamatjhumi amahlanu weminyaka iSewula Afrika ibuswa mavelangaphandle nangomthetho wokwehlukana kweendaba zetuthuko lapho abantu bebenzelwa khona izenzelwa zombuso ekuphilwa ngazo ngokuqala ukuthi bangebombala onjani, iSewula Afrika yentando yenengi yabeka iminqopho yetuthuko eqalelela umuntu woke kobanyana kuzokwakheka umphakathi ophumelelako, ongabandlululi ngombala nangobulili kunye nolinganako.
","Leha ho na le tse ngata tse fihleletsweng ho tloha ka selemo sa 1994, ho sa na le tse ngata tse lokelang ho etswa molemong wa ho phethahatsa tseo naha ena e di labalabelang tse amanang le ntshetsopele.
",0.25089192
"Nanyana kukunengi nje esele kuzuziwe solo kwangomnyaka we-1994, kodwana kusese kunengi ekusamele kwenziwe kobanyana kuzokuphunyeleliswa iminqopho yetuthuko yelizwe lekhethweli.
","Banka ya Resefe ya Afrika Borwa e ntshitse ditjhelete tsa pampiri le dikhoene tse ntlafaditsweng, tsa ho keteka demokrasi ya rona e itshetlehileng molaong wa motheo le ho tlotla Madiba wa rona eo re mo ratang..Seboka sa Bophelo bo Botle sa Moporesidente Seboka sa bobedi sa Bophelo bo Botle sa Moporesidente se neng se tshwerwe ka la 4-5 Motsheanong 2023 se ne se shebane le ditshia tse robong tse Momahantsweng tsa Bophelo bo Botle tsa Boporesidente tsa 2019: khiro ya batho phihlello ya meriana, diente le dihlahiswa tsa kalafo infrastraktjha kenyeletso ya lekala la poraefete tlhokomelo ya kalafo ya boleng ntlafatso ya bolaodi ba ditjhelete ba lekala la mmuso taolo le boetapele kenyeletso ya badudi ditsamaiso tsa tlhahisoleseding le ho ba malala-a-laotswe bakeng sa diwa.
",0.6717009
"IBulungelomali eliKhulu leSewula Afrika likhuphe umhlobo omutjha wemaliphepha newemalithoro, ekugidingwa ngayo intando yenengi yomthethosisekelo, bekukhunjulwa nangayo noMadiba wethu othandekileko..Umhlangano Omkhulu Wabomengameli Ngezepilo UmHlangano omKhulu waboMengameli wesibili obanjwe ngomhla we-4-5 kuMrhayili uqalene neensika ezilithoba zesiVumelwano sobeNgameli kezePilo somnyaka wee-2019: zemithombo yamandla wabasebenzi neensetjenziswa ithuba lokuthola iinhlahla zokwelapha imijovo neensetjenziswa zepilo umthangalasisekelo ukusebenzisana nokubonisana nekoro yangeqadi ukuqalelelwa ngezepilo ngekhwalithi ehle ukwenziwa ngcono kwelawulo leemali zomphakathi zokuphatha nezoburholi zokusebenzisana nomphakathi zethungelelwano lezokwazisa kunye nelokulungela ukuqalana nehlekelele yokurhagala kwesifo/kwezifo.
","Se seng sa sephetho sa Seboka sena e bile boitlamo bo ntjhafetseng ba ho kenya tshebetsong Inshorense ya Naha ya Bophelo bo Botle (NHI).
",0.46919715
"Omunye wemiphumela womhlangano omkhulu lo kwaba kukuzibophelelela ngobutjha ekuphumeleliseni iTjhorense yezePilo yeliZweloke (i-NHI).
","Ena ke karolo ya lenaneo la ho fokotsa ho se lekane-lekane phumantshong ya ditshebeletso tsa tlhokomelo ya kalafo, ka ho fedisa mathata a ditjhelete a amang phihlello ya ditshebeletso tsa tlhokomelo ya kalafo.
",0.49811792
"Lokhu-ke kuyingcenye yokuphungula ukutjhiyana ngendima yokuthola izenzelwa zepilo ngokugedlisa isibopho sokuthola izenzelwa zepilo.
","Kabinete e ananela ho tjhaellwa monwana ha mehato e hlokehang molemong wa ho ntlafatsa tsamaiso ya bophelo bo botle le ho potlakisa diphetoho tsa NHTsena di atametsa ditsamaiso tsa bophelo bo botle bakeng sa ho sebeletsa Maafrika Borwa..Eneji
",0.58063364
"IKhabinethi ithokozela ukuthathwa kwamagadango afunekako ukwenza ngcono ihlelo lezepilo nokurhabisa amatjhuguluko we-NHLokhu-ke kutjhideza amahlelo wethu wezepilo ekusebenzeleni amaSewula Afrika ngendlela egcono..Igezi
","Mmuso o sebetsa le Eskom ho potlakisa ho lokiswa ha diyuniti tse bakileng hore ho kenwe Mokgahlelong wa Botshelela wa ho tingwa ha motlakase morao tjena, mme sena sa ba sa sitisa kgatelopele ya lenaneo la ho ntlafatsa boteng ba nako e telele ba motlakase ka hara naha.
",0.5480752
"Urhulumende usebenzisana ngokubambisana no-Eskom ukurhabisa umsebenzi wokulungisa amaziko wokuphehla igezi enze ukuthi ilizwe lingene esiGabeni 6 sokuqinteliswa kwegezi emalanganeni adlulileko kwabe kwaliyeka indima kilelihlelo lokwenza ukuphepha nokutholakala kwegezi elizweni lekhethweli.
","Eskom e sebetsa ka matla ho eketsa Boteng ba Motlakase ke Setheo sena ka ho lokiswa ho matla, katiso ya mekgwa e meng ya ho fehlwa ha motlakase ka ho sebedisa Dithebaene tsa Kgase, ho eketswa ha mekgwa e meng ya ho fehla motlakase e kenyeletsang ya mehlodi ya tlhaho ya matsete a lekala la poraefete, le ho matlafatsa temoso ya tsena molemong wa ho ntlafatsa Tsamaiso ya Tlhokeho e Matla ho tloha ho ba sebedisang motlakase haholo le malapeng.
",0.6575211
"Mkhulu umsebenzi esele uthonyiwe kwa-Eskom ukukhuphula ukuTholakala kweGezi ngokulungiswa okubonakalako, ukuphakanyiswa kokusetjenziswa kwama-Open Cycle Gas Turbines, nokutholakala kwamanye amandla wokuphehla igezi evuselelekako ekorweni yangeqadi kunye nokukhutjhulwa kwelwazi lokwenza ngcono ukuLawulwa kokuFuneka kweGezi kilabo abasebenzisa igezi ngobunengi kunye namakhaya.
","Diketso tsa sabotasi di tswela pele ho senya infrastraktjha ya Eskom, mme ho tswella ka ho romelwa ha ditho tsa Lebotho la Naha la Tshireletso la Afrika Borwa (SANDF) tse 880 ho lebela dibaka tsa ho fehla motlakase tsa Eskom, ke karolo ya mehato ya ho thibela ho putlama ha marangrang a naha.
",0.6398307
"Izenzo zokona umthangalasisekelo wegezi wakwa-Eskom solo ziyanda, ngalokho-ke amajoni wakwa-SANDF ama-880 asolo eluse amaphawa wakwa-Eskom amanengi ayingcenye yamagadango wokukhandela imizamo yokugiriza ithungelelwano legezi lelizwe loke.
","Kabinete e ananetse qeto ya ho ipiletsa kgahlano le kahlolo ya morao tjena ya Lekgotla le Phahameng la Dinyewe la Pretoria le laetseng Eskom hore e se kgaole phepelo ya motlakase ditheong tsa setjhaba tse kenyeletsang dikolo, ditleliniki, dipetlele le diteishene tsa sepolesa ho itshetlehilwe hodima dikateng tsa kahlolo eo.
",0.64800406
