src_text,tgt_text,cosine_score
"Ukulawulwa Kwehlekelele Ngemva Kweenkhukhula.
","Ditiro tsa Tsamaiso ya Matlhotlhapelo tse go Samaganweng le Tsona go Latela gore go nne le Merwalela.
",0.4943217
"IKhabinethi ililele beyaduduza boke abantu ababhujelweko eenkhukhuleni zamhlapha ezisahlele iindawo ezimbadlwana zelizwe, khulukhulu KwaZulu-Natala.
","Kabinete rometse matshediso go batho botlhe ba ba latlhegetsweng ke ba ba ba ratang mo merwaleleng ya fa gautshwane e tlisitseng ditshenyegelo tse di masisi e amileng dikarolo di le mmalwa tsa naga ya rona, bogolo segolo KwaZulu-Natala..     Dikgato tsa go Baya Dikarolo tseno mo Maemong Matlhotlhapelo Bosetšhaba mmogo le dikgato tsa go thusa baagi ka matlole a tlhokegang tse di itsisetsweng ke Moporesidente Cyril Ramaphosa fa gautshwane, maitlhomo tsona ke go netefatsa gore maphata otlhe puso tsaya dikgato tse di rulagantsweng sentle le tse di tla nnang mosola mo go samaganeng le maemo ano, mme seno se tla diriwa ka go dirisa Tikwatikwe ya Naga e Samaganang le Matlhotlhapelo..     Bilione ya diranta puso e abileng dirisediwa go tshegetsa dikgato tsa go ritibatsa maemo le tsa go busetsa maemo ditirelo tse di botlhokwa sekeng mmogo le go abelana ka ditirelo tsa botho tse di jaaka go ba rekela dijo, go ba tlela metsi le go ba batlela bodulo, dintlwanaboithusetso le diaparo..     Tirego ya go aga sešwa mafelo a amegileng setse simolotswe jaaka batho ba naga ya gaetsho ba kopane mo maikemisetsong bona go thusa ba ba latlhegetsweng ke magae le dithoto tsa bona.
",0.6964748
".
","Tshedimosetso ka Bolwetse jwa Mogare wa Corona (COVID-19).
",0.165186
"Ukumenyezelwa kobuJamo beHlekelele eliZweniloke kunye namagadango wokusiza ukwethula abantu umthwalo kezehlalakuhle nezomnotho, njengoba kumemezele uMengameli u-Cyril Ramaphosa mhlapha, bekunqophe ukuletha ihlelo elihle lokulamulela abantu kizo zoke iingaba zikarhulumende, ngeZiko lokuLawula iHlekelele eliZweniloke.
","Kabinete tshwentswe ke go tlhatlhoga ga fa gautshwane ga ditshwaetso tsa COVID-19 mo dikarolong dingwe tsa naga mme ikuetse go batho botlhe go tsaya dikgato tsa go itshireletsa kgatlhanong le mogare o kotsi ono, bogolo segolo mo marigeng.
",0.3203896
".
","Mogare ono sa ntse re tsenya tsebetsebe mme go tlhabela moento sale ntse le yona tsela e botoka go gaisa re ka itshireletsang ka yona.
",0.06963171
"Imali eyibhiliyoni yamarandi ekhutjhwe ngurhulumende isetjenziselwa ukusekela imizamo yokusiza nokulungisa, ukubuyisa izenzelwa ekuphilwa ngazo, ukunikela ngesizo leendingo zesitjhaba ezinjengokugoma, amanzi, iindawo  zokuhlala, ihlelo lehlanzeko yomphakathi kunye nezembatho.
","Kabinete itumelela gore batho ba le bantsi ba tswelela go tsaya tshweetso ya go tlhabela moento go nna ona ba itshireletsang ka ona kgatlhanong le COVID-19 mme seno se latela gore dipalopalo tsa fa gautshwane di bontshe gore mo bathong botlhe ka fa nageng re setse re fitlheletse palo e fetang halofo ya bona ya batho ba ba tlhabetseng meento mo diporofenseng tse tlhano.
",0.5427816
".
","Kabinete ikuela go ba ba iseng ba entiwe go ya go tlhabela moento gore ba tle ba itshireletse bona le ba ba tshelang mmogo le bona.
",0.060793757
"Selithomile ihlelo lokuvuselela iindawo ezithintekileko njengoba abantu belizwe lekhethu babumbana bancamele ukusiza labo abagirikelwe ziinkumba bebonakalelwa yipahla.
","Gape rotlhe re tshwanetse go tswelela go obamela dikgato tsotlhe tsa thibelo ya COVID-19, go akarediwa go rwala mmaseke o tswalang nko le molomo, go tlhapa diatla ka metsi le sesepa, go tsikitletsa diatla ka sebolayamegare se 70% ya sona leng alekhoholo, le go katogana le batho ba bangwe..     Mogolo wa go Inola Batho mo Tshotlegong (SRD).
",0.6816002
".
","Kabinete rotloetsa baagi ba ba amogelang R350 ya madi thuso SRD go dira dikopo sešwa, go latela kitsiso ya melawana mentšhwa e laolang makwalokopo le go nna le tshiamelo ya madi thuso..     Dikopo di ka dirwa mo webosaeteng ya Setheo sa Aforika Borwa sa Tshireletso ya Loago (SASSA): https://srd.sassa.gov.za/.
",0.024401218
"Zamva Nje Ngesifo Sengogwana i-Corona (i-COVID-19).
","Tsamaiso ya go dira dikopo butswe ka la bo 23 Moranang 2022 mme dirisa fela mafaratlhatlha thekenoloji go kgontsha gore go direlwe ka bonako..     Mogolo ono botlhokwa thata mo go thuseng malapa a tlhokang lehuma le botlhokatiro di ka bong di sa bolo go itelekela mo go ona.
",0.5507946
"IKhabinethi iyelele beyitshwenyekile ngokwanda kwabantu abangenwe yi-COVID-19 kezinye iingcenye zelizweli, yabe yakhwezelela boke abantu ukuthi batjheje, bazivikele kilengogwana engumabhubhisa, khulukhulu ebusika nje.
","Puso tota ikemiseditse go thusa batho ba ba humanegileng ka megolo ya yona gore le bona ba kgone go nna le tse ba di tlhokang.
",0.5436712
".
","Pabalesego le Tshireletsego.
",0.30184275
"Ingogwana le solo isese yingozi ebantwini, begodu ukujova solo kusese kuphela kwesikhali esinamandla ukuzidlula zoke sokuzivikela.
","Kabinete tswelela go kgala ka mafoko a bogale dipolao tse di setlhogo tsa basadi mme lebogile dikgato tsa ka bonako tse mapodisi ba di tsereng mo go tshwareng babelaelwa mo kgetseng ya polao ya Mme Hillary Gardee (28), wa kwa Kamagugu kwa Mpumalanga.
",0.64736235
"IKhabinethi ithokozile ukubona ukuthi bayanda abantu abakhetha ukuhlaba njengendlela yokuthoma nenamandla khulu yokuzivikela esifeni se-COVID-19, ngemva kobana iimbalobalo zitjengise ukuthi sesiwadlulile ama-50% wabantu abakhulu esele bahlabile eemfundeni ezihlanu.
","Gape Kabinete kgadile ka mafoko a bogale polao ya batho ba le barataro kwa Khayelitsha, kwa Motsekapa.
",0.5628098
".
","Dipolao tse di setlhogo di re gakolola gore re tshwanetse go dira go feta ga jaana jaaka setšhaba go fedisa tirisodikgoka le tirisodikgoka mo bathong ba bong jo bo rileng mmogo le polao ya basadi le bana (GBVF).
",0.05675352
"IKhabinethi ikhombela boke labo abangakahlabi ukuthi basize bayokuhlaba kobanyana bazokuvikeleka, bavikele nabathandiweko babo.
","Kabinete ikuela mo bathong botlhe mo nageng go dira le puso mo ntweng kgatlhanong le bosenyi le GBVF.
",0.54290897
"Soke kufuze bona sihlale sithobela imilayelo yokukhandela ukungenwa yi-COVID-19; sembathe imaski evala umlomo nepumulo, sihlale sihlamba izandla zethu ngamanzi nesibha, namkha sihlikihle izandla zethu ngesihlanzekisi esine-alkhoholi ema-70%, sibe sihlale maqalanga kabanye abantu, ubuncani bakhona siqalangane ngemitha.
","Mmogo re ka dira bonnete jwa gore batho botlhe, go akarediwa bagodi, basadi le bana ba bona mafelo re nnang mo go ona le mebila ya ona babalesegile..     Ikonomi.
",0.5163536
".
","Kabinete amogetse pulosemmuso ya feme ya tlhagiso ya ditena ya Corobrik kwa Kwastina kwa Driefontein kwa Gauteng mo tirelo eno neng tsenetswe ke Moporesidente Ramaphosa ka Laboraro, 4 Motsheganong.
",0.019273035
"Isibonelelo SezeHlalakuhle sokuBonelela ebuJameni bamaTlhuwo (i-SRD) .
","Feme eno ya maemo a kwa godimo ke karolo ya peeletso ya R800 milione e tsamaelanang le R200 milione nngwe e beetsweng go atolosa ditiro tsa konkereite tsa Corobrik kwa KwaZulu-Natala.
",0.6284243
"1 IKhabinethi ikhuthaza izakhamuzi ezirhola isibonelelo esiyi-R350 ukuthi zifake iimbawo zazo zesibonelelo ngobutjha, njengoba sekunemibandela emitjha elawula iimbawo zokuthola lesisibonelelo nje.
","Corobrik ke nngwe ya dikgwebo di le mmalwa tsa ka fa nageng tse di tsibogetseng boikuelo jwa ga Moporesidente Ramaphosa jwa gore dikgwebo tsa Aforika Borwa le tsa dinaga tsa boditšhabatšhaba di beeletse mo ikonoming.
",0.6125994
".
","Kabinete nopotse gore ditšhono tse dinnye tsa ikonomi mo mererong ya haeterojene di oketsegile ka ntlha ya go agiwa ga lori ya setlamo sa meepo sa Anglo American e tsamayang ka mafura haeterojene.
",0.028524624
"2     Iimbawo zingafakwa kubunzinzolwazi be-Ejensi yeeMbonelelo zeSondlo noMhlalaphasi kaRhulumende yeSewula Afrika (i-SASSA): https://srd.sassa.gov.za/.
","Lori eno – e fetotsweng gore se tlhole dirisa mafura disele mme dirise haeterojene, mmogo le go neelwa maatla ke dibeterii tsa lithium-ion – ke ya ntlha ya mofuta oo mo lefatsheng.
",0.65819633
"Ihlelo lokufaka iimbawo livulwe ngomhla wama-23 kuSihlabantangana wee-2022, kanti-ke lisebenza budijithali ngokupheleleko kobanyana lizokukhamba msinyana.
","Ditšhono tsa ikonomi mo mererong ya haeterojene di nopotswe jaaka tse di botlhokwa mo maanong a botlhokwa ikonomi e sa diriseng dilo tse di bolayang tlhago mo nageng ya rona, le mo go godiseng ikonomi le mo go tlhameng ditiro..     Gape kabinete amogetse peeletso nngwe mo ikonoming e tlang ka setlamo sa dijo sa Ireland, se se bidiwang Kerry Group, se se butseng polante ntšhwa e jeleng R650 milione kwa Hammarsdale, kwa KwaZulu-Natala se maikaelelo sona leng go tlhagisetsa kontinente dijo tse di tse di sa feleng.
",0.6751398
".
","Polante eno ga tshwane le tse dingwe gonne na le didirisiwa di le mmalwa tse di sa senyeng tikologo mmogo le tse di sa diriseng motlakase montsi, tse di dirisang motlakase o fetlhiwang ka letsatsi o tla dirang gore seelo sa go itshepele ka bontsi mo motlakaseng wa ka fa nageng se fokotsege, motlakase o tsewang mo mogoteng o tswang mo metšhining megolo mmogo le metsi a lekaneng, go selwa le go solwamosola gape le phokotso.
",-0.014048401
"3     Isibonelelwesi sezehlalakuhle esithula abantu umthwalo weendleko siligadango eliqakathekileko emakhaya anganabuyo, abekangadosa emhlweni ngomtlhago wobuchaka nangokungasebenzi.
","Setlamo sa Kerry Group sa le se le gona mo Aforika Borwa go tloga ka 2011 mme peeletso nngwe ya bona ke sesupo sa gore Aforika Borwa sa ntse le lefelo le le ratiwang la dipeeletso.
",0.35164213
"Urhulumende uzibophelele ukusiza abantu abasengozini ekulu yokucaphazeka kobanyana bazokukghona ukutjheja iindingo zabo zokuphila.
","Dipeeletso tseno di latela go thankgololwa ga bene e tlhagisitsweng mo lapeng ya Isuzu D-Max kwa Gqeberha kwa Kapa Botlhaba kgwedi e fetileng.
",0.6061562
".
","D-MAX ya mofuta montšhwa bontsha maikemisetso Isuzu mo Aforika Borwa mme ke nngwe ya dilo tse di fitlheletsweng ka Letsholo la Tlhabololo ya Tlhagiso ya Dijanaga (APDP).
",0.046530865
"Ukuphepha Nokuvikeleka.
","APDP ke sekema se se tlhotlheletsang tlhagiso ya dijanaga mo indaseteri ya dijanaga mme maikaelelo sona ke go dira gore indaseteri e tlhalositsweng ya dijanaga oketse tlhagiso ya yona ya dijanaga, go oketsa mosola wa indaseteri ya dikarolo tsa dijanaga mme seno se tla dira gore indaseteri ya dijana tlhole ditiro.
",0.4866209
"IKhabinethi solo ikhalima ngamagama abukhali izenzo zokubulawa ngesihluku kwabantu abasikazi, nje-ke ikuthokozele nokubotjhwa msinyana kwabasolwa ngecala lokubulawa kwakaMma.
","Go fopholediwa gore go tla tsenngwa R2,8 bilione ka ditlhagiswa tsa ka fa nageng fa APDP tswelela go dirisiwa.
",0.57409286
"u-Hillary Gardee (obekaneminyaka ema-28) obekahlala Kamagugu, eMpumalanga.
","Peeletso eno tla tlhola ditiro go tswa mo lephateng leno di feta di le 1 000 kwa polanteng eo mme tlhole gape le ditiro tse dingwe gape di le 24 000 mo ditlamong tse dingwe tse di dirisanang le lephata leno, mme seno se tla nna le mosola o bonalang mo go thuseng baagi ba kgaolo eo..     Pitsokgothakgothe ya Batlhankedi ba Meepo.
",0.5724517
"Ukudlula lapho, iKhabinethi ikuhlabile nokubulawa kwabantu abasithandathu eKhayelitsha, e-Cape Town.
","Pitsokgothakgothe ya Peeletso mo Meepong ya Aforika ya 2022 e neng tshwaretswe kwa Tikwatikweng ya Boditšhabatšhaba ya Dikhonferense ya Motsekapa go tloga ka la bo 9 go fitlha ka la bo 12 Motsheganong ke nngwe ya dirala tse dikgolokgolo tsa dipuisano le ditirisanommogo magareng ga bannaleseabe botlhe mo indasetering ya meepo.
",0.5812993
"Lezizenzo zokubulalela butjhwileni zisikhumbuzo sokuthi kusese kunengi ekusamele sikwenze simphakathi ukuqeda inturhu eqothele bobulili obuthileko nomukghwa wokubulawa kwabantu abasikazi (i-GBVF).
","Moono wa tiragalo ne le: “Diphetogo mo Meepong ya Aforika: Go beeletsa mo Tsamaisong ya Motlakase, ESG le Diikonomi”.
",0.6017188
".
","Kabinete dumela gore Pitsokgothakgothe ya Meepo tla thusa go bontsha le go tsweletsa Aforika Borwa jaaka lefelo le le ratiwang la dipeeletso.
",0.0709767
"IKhabinethi ikhuthaza boke abantu elizweni lekhethweli ukuthi basebenzisane ngokusizana norhulumende ukulwisana ne-GBVF.
","Aforika Borwa leboga dipeeletso mo nageng ya rona mme ikemiseditse go dira gore go nne le maemo a tla dirang gore re nne le kgolo botlhe ba nang le seabe mo go yona ya ikonomi le go tlisa diphetogo mo ikonoming.
",0.58691585
"Ngokusebenzisana singaqinisekisa ukuthi umphakathi neentrada zekhethu ziphephile ebantwini boke, abadala nabancani, abatjha nabentwana.
","Dikamano tsa Boditšhabatšhaba le tsa Kgaolo.
",0.26259875
".
","Kabinete amogetse gape ditherisano tsa fa gautshwane tsa ga Moporesidente Ramaphosa le Moporesidente Joe Biden wa Amerika, Moporesidente Emmanuel Macron wa Fora le Moporesidente Hakainde Hichilema wa Zambia mo diraleng tse di farologaneng.
",0.019116957
"Umnotho.
","Ditherisano tseno di kgontshitse Moporesidente go maatlafatsa dikamano tsa sebedi le tirisanommogo magareng ga Aforika Borwa le mebuso ya balekane malebana le dintlha tsa botlhokwa tsa kgaolo le tsa boditšhabatšhaba, go akarediwa go bona tharabololo ya kagiso ya kgotlhang e kwa Ukraine     Ditshwetso tsa Kabinete.
",0.34821033
"IKhabinethi ikuthokozele ukuvulwa kwefemu epheka iintina i-Kwastina,  engaphasi kwe-Corobrik, ese-Driefontein e-Gauteng.
","Ditekanyetsokabo.
",0.12553066
