src_text,tgt_text,cosine_score
"Ukulawulwa Kwehlekelele Ngemva Kweenkhukhula.
","Ndangulo ya tshiwo nga murahu ha miḓalo.
",0.67184484
"IKhabinethi ililele beyaduduza boke abantu ababhujelweko eenkhukhuleni zamhlapha ezisahlele iindawo ezimbadlwana zelizwe, khulukhulu KwaZulu-Natala.
","Khabinethe yo swikisa maipfi ndiliso kha vhathu vhoṱhe vhe vha ṱutshelwa nga  vhafunwa vhavho kha miḓalo ye ya vhanga tshinyalelo khulwane ine ya kha ḓi tou bva vha hone zwenezwino kha zwipiḓa zwo fhambanaho zwa shango ḽashu, nga maanḓa ngei KwaZulu-Natal..     Zwa ḓivhadzwa ha Tshiimo tsha Tshiwo tsha Lushaka na maga thuso ya ṱhaḓulo kha zwa ikonomi na matshilisano zwe zwa itwa nga Phresidennde Vho Cyril Ramaphosa, zwo livhiswa kha vhona uri hu khou vha na maga khwaṱhaho nahone tshimbidzwaho zwavhuḓi vhukati ha masia oṱhe muvhuso hu tshi shumiswa  Senthara ya Ndangulo ya Tshiwo ya Lushaka.
",0.77515745
".
","Masheleni linganaho R1 biḽioni a ṋetshedzwa nga muvhuso khou shumiswa kha tikedza ndingedzo dza mvusuluso na ṱhaḓulo vhuedzedza tshumelo dza mutheo khathihi na ṋetshedza thuso ya zwa vhuthu nga vha ṋea zwiḽiwa, maḓi, vhudzulo, tshumelo dza vhuthathazwitzhili na zwiambaro..     Mushumo wa dovha fhaṱa hafhu nga huswa fhethu ho tshinyadzwaho nga miḓalo kati, ngeno vhathu vha shango ḽashu vha tshi khou farana vha vha ṅanda nthihi kha vhuḓiimiseli havho ha thusa avho vho tshinyalelwaho nga mahaya na thundu dzavho.
",0.07352798
"Ukumenyezelwa kobuJamo beHlekelele eliZweniloke kunye namagadango wokusiza ukwethula abantu umthwalo kezehlalakuhle nezomnotho, njengoba kumemezele uMengameli u-Cyril Ramaphosa mhlapha, bekunqophe ukuletha ihlelo elihle lokulamulela abantu kizo zoke iingaba zikarhulumende, ngeZiko lokuLawula iHlekelele eliZweniloke.
","Mafhungo maswa nga ha Vhulwadze ha Khoronavairasi (COVID-19).
",0.54440546
".
","Khabinethe yo dzhiela nṱha khathihi na vhilaedzwa nga engedzea ha zwenezwino  ha tshivhalo tsha zwiwo zwa kavhiwa nga vairasi ya COVID-19 kha zwiṅwe zwipiḓa zwa  shango nahone khou  ṱuṱuwedza vhathu vhoṱhe uri vha dzhie maga tsireledzo itela ḓitsireledza kha vairasi iyi re khombo ngaurali, nga maanḓa nga tshifhinga tsha vhuriha.
",0.07402166
"Imali eyibhiliyoni yamarandi ekhutjhwe ngurhulumende isetjenziselwa ukusekela imizamo yokusiza nokulungisa, ukubuyisa izenzelwa ekuphilwa ngazo, ukunikela ngesizo leendingo zesitjhaba ezinjengokugoma, amanzi, iindawo  zokuhlala, ihlelo lehlanzeko yomphakathi kunye nezembatho.
","Vairasi iyi khou bvela phanḓa na vha khombo tshifhinga tshoṱhe nahone muhaelo ndi wone une swika zwino wa vha tshone tshiṱhavhane tsha vhuhali tsha ḓitsireledza.
",0.73302656
".
","Khabinethe khou takadzwa nga fhungo ḽa uri vhunzhi ha vhathu vha khou bvela phanḓa na nanga muhaelo sa tshone tshipileli tshavho tsha thoma kha COVID-19 nga murahu ha musi mbalombalo dza zwenezwino dzo sumbedza uri ro swika kha ḽiga ḽa nṱhesa ḽa fhirisa phesenthe dza 50 dza vhaaluwa vho haelwaho kha mavunḓu maṱanu.
",0.08862035
"Selithomile ihlelo lokuvuselela iindawo ezithintekileko njengoba abantu belizwe lekhethu babumbana bancamele ukusiza labo abagirikelwe ziinkumba bebonakalelwa yipahla.
",".
",0.098442554
".
","Khabinethe khou ita khuwelelo kha avho vhane vha athu haelwa uri vha ite ngauralo itela uri vha kone ḓitsireledza khathihi na tsireledza vhafunwa vhavho.
",0.047869153
"Zamva Nje Ngesifo Sengogwana i-Corona (i-COVID-19).
","Ri tea dovha hafhu ra bvela phanḓa na tevhedza milayo yoṱhe ya thivhela dwadze ḽa COVID-19, hu tshi katelwa na zwa ambara maski une wa thivhedza mulomo na ningo ṱamba zwanḓa nga maḓi na tshisibe kana shumisa sanithaiza ya zwanḓa re na aḽikhohoḽi linganaho 70%, khathihi na sia tshikhala tshi linganaho mithara muthihi vhukati hau na muṅwe muthu..     Magavhelo Ṱhaḓulo ya Thambulo  kha Vhadzulapo (SRD) .
",0.6295496
