src_text,tgt_text,cosine_score
"Ngomhla we-10 kuMrhayili — kuGidingwa ama-29 Weminyaka Solo kwagcotjwa UMengameli Wokuthoma Wentando Yenengi Lomhlangano weKhabinethi ubanjwe wathomana nelanga ekuhlangana ngalo patsi, ama-29 weminyaka solo uMengameli Nelson Mandela agcotjelwa isikhundla sokuba nguMengameli wokuthoma weSewula Afrika ebuswa ngentando yenengi ngomhla we-10 kuMrhayili we-1994.
","UMhla we-10 kuNhlaba – Ukuphela kweminyaka engama-29 yokuGcotshwa kukamongameli wokuqala owakhethwa ngentando yeningi labantu.
",0.3435496
"Ngemva kwamakhulu amathathu anamatjhumi amahlanu weminyaka iSewula Afrika ibuswa mavelangaphandle nangomthetho wokwehlukana kweendaba zetuthuko lapho abantu bebenzelwa khona izenzelwa zombuso ekuphilwa ngazo ngokuqala ukuthi bangebombala onjani, iSewula Afrika yentando yenengi yabeka iminqopho yetuthuko eqalelela umuntu woke kobanyana kuzokwakheka umphakathi ophumelelako, ongabandlululi ngombala nangobulili kunye nolinganako.
","Lo mhlangano weKhabhinethi ubanjwe waqondana ngqo nosuku lweminyaka engama-29 lapho uMongameli u-Nelson Mandela wagcotshwa njengoMongameli wokuqala wentando yeningi labantu eNingizimu Afrika mhla we-10 kuNhlaba 1994.
",0.33060667
"Nanyana kukunengi nje esele kuzuziwe solo kwangomnyaka we-1994, kodwana kusese kunengi ekusamele kwenziwe kobanyana kuzokuphunyeleliswa iminqopho yetuthuko yelizwe lekhethweli.
","Emva kweminyakakhulu emithathu nesigamu yobuqonela kanye nokuhlukana kwentuthuko lapho umuntu ukuze afinyelele kwizidingonqangi kwakuya ngebala lesikhumba sakhe, iNingizimu Afrika yentando yeningi labantu yabeka imigomo yentuthuko ebandakanya wonke umuntu ukuze kuzoba nomphakathi ophumelelayo, ongacwasi ngokwebala, ongabandlululi ngokobulili futhi olinganayo.
",0.62445873
"IBulungelomali eliKhulu leSewula Afrika likhuphe umhlobo omutjha wemaliphepha newemalithoro, ekugidingwa ngayo intando yenengi yomthethosisekelo, bekukhunjulwa nangayo noMadiba wethu othandekileko..Umhlangano Omkhulu Wabomengameli Ngezepilo UmHlangano omKhulu waboMengameli wesibili obanjwe ngomhla we-4-5 kuMrhayili uqalene neensika ezilithoba zesiVumelwano sobeNgameli kezePilo somnyaka wee-2019: zemithombo yamandla wabasebenzi neensetjenziswa ithuba lokuthola iinhlahla zokwelapha imijovo neensetjenziswa zepilo umthangalasisekelo ukusebenzisana nokubonisana nekoro yangeqadi ukuqalelelwa ngezepilo ngekhwalithi ehle ukwenziwa ngcono kwelawulo leemali zomphakathi zokuphatha nezoburholi zokusebenzisana nomphakathi zethungelelwano lezokwazisa kunye nelokulungela ukuqalana nehlekelele yokurhagala kwesifo/kwezifo.
","Ngesikhathi kukuningi esikuzuzile kusukela ngowe-1994, kusekuningi futhi okusafanele kwenziwe ukuze sizofeza amaphupho entuthuko yaleli lizwe.
",0.41446504
"Omunye wemiphumela womhlangano omkhulu lo kwaba kukuzibophelelela ngobutjha ekuphumeleliseni iTjhorense yezePilo yeliZweloke (i-NHI).
","IBhangengodla laseNingizimu Afrika likhiphe uchungechunge lwezinhlamvu namaphepha emali abuyekeziwe, okungukubungaza intando yeningi labantu yomthethosisekelo kanye nokuhlonipha uMadiba wethu esimthandayo..INgqungquthela Yezempilo KaMongameli
",0.55135417
"Lokhu-ke kuyingcenye yokuphungula ukutjhiyana ngendima yokuthola izenzelwa zepilo ngokugedlisa isibopho sokuthola izenzelwa zepilo.
","INgqungquthela Yezempilo kaMongameli eyayibanjwe mhla wesi-4 kuya mhla wesi-5 kuNhlaba 2023 yayigxile ezinsikeni eziyisishiyagalolunye zoHlelo Lwezempilo LikaMongameli lwezi-2019: izindaba zabasebenzi ukufinyelela emithini yokwelapha, imigomo nemikhiqizo yezempilo ingqalasizinda ukuxoxisana nomkhakha ozimele ukunakekelwa kwezempilo okusezingeni eliphezulu ukwenza ngcono ukuphathwa kwezimali zomphakathi ukubusa nobuholi ukuxoxisana nemiphakathi izindlela zokudlulisa ulwazi kanye nokulungela izifo eziwubhubhane.
",0.542448
"IKhabinethi ithokozela ukuthathwa kwamagadango afunekako ukwenza ngcono ihlelo lezepilo nokurhabisa amatjhuguluko we-NHLokhu-ke kutjhideza amahlelo wethu wezepilo ekusebenzeleni amaSewula Afrika ngendlela egcono..Igezi
","Eminye yemiphumela yeNgqungquthela kwaba kunguvuselela ukuzinikela ekuqalisweni koMshwalense Kazwelonke Wezempilo (i-NHI).
",0.4790121
"Urhulumende usebenzisana ngokubambisana no-Eskom ukurhabisa umsebenzi wokulungisa amaziko wokuphehla igezi enze ukuthi ilizwe lingene esiGabeni 6 sokuqinteliswa kwegezi emalanganeni adlulileko kwabe kwaliyeka indima kilelihlelo lokwenza ukuphepha nokutholakala kwegezi elizweni lekhethweli.
","Lena yingxenye yohlelo lokunciphisa ukungafani ekufinyeleleni kwizinsizakalo zokunakekelwa ngokwezempilo ngokususa umthwalo wezezimali zokuthola izinsizakalo zokunakekelwa ngokwezempilo.
",0.5541082
"Mkhulu umsebenzi esele uthonyiwe kwa-Eskom ukukhuphula ukuTholakala kweGezi ngokulungiswa okubonakalako, ukuphakanyiswa kokusetjenziswa kwama-Open Cycle Gas Turbines, nokutholakala kwamanye amandla wokuphehla igezi evuselelekako ekorweni yangeqadi kunye nokukhutjhulwa kwelwazi lokwenza ngcono ukuLawulwa kokuFuneka kweGezi kilabo abasebenzisa igezi ngobunengi kunye namakhaya.
","IKhabhinethi lamukele ukuvunywa kwezinyathelo ezidingekayo ukulungisa kabusha uhlelo lwezempilo kanye nokusheshisa izinguquko ze-NHLokhu kuzosondeza izinhlelo zethu zezempilo eduze ukuze zisize abantu baseNingizimu Afrika..Ezamandla
",0.54470634
"Izenzo zokona umthangalasisekelo wegezi wakwa-Eskom solo ziyanda, ngalokho-ke amajoni wakwa-SANDF ama-880 asolo eluse amaphawa wakwa-Eskom amanengi ayingcenye yamagadango wokukhandela imizamo yokugiriza ithungelelwano legezi lelizwe loke.
","Uhulumeni usebenza ngokusondelana kakhulu no-Eskom ukusheshisa ukulungiswa kwamayunithi aholele ekutheni izwe libe kwiSigaba sesithupha sokucimakonga ugesi ezinsukwini ezedlule nokukhinyabeze inqubekelaphambili ohlelweni lokuthuthukisa ukutholakala kukagesi ezweni.
",0.6141629
"IKhabinethi isithokozele isiqunto sokuwudlulisela phambili umlayo wamhlapha weKhotho ePhakemeko yePitori wona olayele u-Eskom ukuthi iinjamiso zomphakathi, angasaziqintelisa igezi lezi-ke ziinkolo, amatlinigi, iimbhedlela kunye namapolisteyitjhi.
","Umsebenzi onzima uyaqhubeka kwa-Eskom wokukhuphula uHlelo Lokutholakala Kukagesi ngokunakekela okusimeme, okukhuphula ukusetshenziswa kweziphehli zegesi ama-Open Cycle Gas Turbine, lokho okuzokwenza kutholakale umthamo owengeziwe kubatshalizimali abazimele bakagesi ovuselelekayo kanye nokuqwashisa ngokwenza ngcono uKulawulwa Kokusetshenziswa Kukagesi kusuka kulabo abasebenzisa ugesi omningi nasemakhaya.
",0.365865
"IKhabinethi ithanda ukukhumbuza amaSewula Afrika ukuthi aragele phambili ngokulonda igezi njengoba kuqothelwe ukuthi kulondwe igezi eyi-1000 MW..Ukwakhiwa Nokuvuselelwa Komthangalasisekelo
","Izenzo zokucekela phansi ziyaqhubeka nokukhathaza ingqalasizinda yakwa-Eskom kanjalo nokutshalwa kwamalungu e-SANDF angama-880 ukuthi aqaphe iziteshi zikagesi eziningi zika-Eskom kuyingxenye yezinyathelo zokugwema imizamo yokuwisa isizinda sikagesi sikazwelonke.
",0.6517494
"Liya ngokuqina ihlelo leSewula Afrika lokuvuselela umnotho nokuvula imisebenzi.
","IKhabhinethi lamukele isinqumo sokudlulisa isinqumo sakamuva seNkantolo Ephezulu yasePitoli esiyalele u-Eskom ukuthi izikhungo zomphakathi, okubandakanya izikole, imitholampilo, izibhedlela, kanye neziteshi zamaphoyisa zingacishelwa ugesi ngenhloso yokuwonga ngokubhekela imithelela yalesi sahlulelo.
",0.5865012
"Malungana nalokhu-ke, uNgqongqotjhe wezokuThutha uMm.
","IKhabhinethi lifisa ukukhumbuza abantu baseNingizimu Afrika ukuthi baqhubeke nokonga ugesi oyi-1 000MW kuzwelonke..UKuthuthukiswa Kwengqalasizinda Umkhankaso wengqalasizinda yaseNingizimu Afrika wokuvuselela umnotho nokusungula imisebenzi uyaqhubeka nokuthola umfutho.
",0.5094553
