src_text,tgt_text,cosine_score
"Ditaba tša Tikologo.
","Tindzaba Letimcoka Telive.
",0.6813804
"Enetši.
","Temandla.
",0.70926154
"Kabinete lemogile kgatelopele ye dirilwego mo phethagatšong ya Leanotiro la Enetši, mola amogela mathata magolo ao sa ntšego le gona kgahlanong le keriti ya bosetšhaba..
","Ikhabhinethi iyinakile inchubekelembili lebekhona ekufezekiseni Lisu Lemsebenti Wetemandla, nome kunjalo iyakubona kucindzeteleka lokukhulu lokutawubakhona kugridi yavelonkhe..
",0.86431754
"Ge naga tsena sehleng sa Marega, Kabinete amogetše go phethwa ga Konteraka ya 400 megawatts (MW) ya mohlagase wa tlaleletšo ka Lenaneo la Kabo ya Tlwaelo leo le tla tsentšhwago mošomong pele ga mafelelo Mopitlo.
","Njengaloku kulelive kucala kungena sikhatsi saseBusika, Ikhabhinethi iyakwemukela kuphotfulwa kweSivumelwane sema-megawatts lange-400 (MW) emandla ekusebenta langetiwe ngekusebentisa i-Standard Offer Programme lolutawuba ku-inthanethi ngembikwekuphela kwenyanga yeNkhwekhweti..
",0.9137434
".
","Kwengeta kuloko, Litiko Letemphilo likhetse tibhedlela letinge-213 letingeke ticishelwe gezi ngenhloso yekuwonga, bese kuba naletinge-76 tato lesetivele tikhishiwe futsi kusasetjentelwa kutsi kwengetwe letinye letinge-46 tibhedlela ngekuhamba kwesikhatsi..
",0.47882164
"Go feta fao, Kgoro ya Maphelo hlaotše dipetlele tše 213 gore di se akaretswe go kgaotšo ya mohlagase, tše 76 tša tšona di šetše di sa akaretšwe gomme mošomo wa go oketša dipetlele tše dingwe tše 46 gatetše pele..
","Ikhabhinethi iphindze futsi yemukela kwetfulwa nje khona madvute kwe-Energy One-Stop Shop mhla tinge-31 Inkhwekhweti 2023 lokwentiwa yi-Invest SA kute kwentiwe ngekushesha tinchubo tetekulawula letitawusita tinkampani letinsha tekuphehla emandla kutsi nato titimbandzakanye.
",0.7579812
"Kabinete tšwetše pele go amogela thakgolo ye lego kgauswi ya Lebenkele la Kakaretšo la Enetši ka la 31 Mopitlo 2023 ke Invest SA go akgofiša ditshepetšo tša taolo tšeo di tlago thuša dikhamphani tše mpsha tša go tšweletša mohlagase gore di akaretšwe..
","Iyibonile inchubekelembili lekhona eKusile Power Station kute kongeke 3 200 MW, ngekusebentisa emayunithi 1, 2, 3 na-5, kugridi yavelonkhe ekupheleni kwa-..
",0.75032073
"Kabinete amogetše kgatelopele ye dirilwego ka Seteišeneng sa Mohlagase sa Kusile ya go bušetša 3 200 MW, ka yuniting ya 1, 2, 3 le ya 5, go keriti ya bosetšhaba mafelelong .
","Ikhabhinethi ikhatsatekile mayelana nekuchubeka kwekusatjalaliswa kwetindzaba letingasilo liciniso, ngekusebentisa tinkhundla tekuchumana letinetinsolo letitsi khona madvute nje kutawuba nekufadalala kwegridi yavelonkhe lokutawubangela kutsi kube nekungabi khona kwagezi lonkhe lelive.
",0.6798661
"Kabinete tshwenywa ke phatlalatšo ya ditaba tša maaka ye tšwelago pele, ka bobegaditaba bja leago bjo bo latofatša go phuhlama ga keriti ya bosetšhaba wo lego kgauswi woo tlago feleletša ka kgaotšo ya mohlagase ka botlalo.
","Ba-Eskom bacinisekise hulumende ngekutsi kunemasu lakhona lagadze kuvikela kucisha kwagezi eveni lonkhe.
",0.76136875
"Eskom netefaleditše mmušo ka maano ao lego gona ditšhireletšo tša sestemo go thibela kgaotšo ya mohlagase ya bosetšhaba.
","Ikhabhinethi iyaphindza icela bonkhe bantfu baseNingizimu Afrika kutsi bonge gezi.
",0.77504265
