src_text,tgt_text,cosine_score
"Mopitlo 10 – Ngwaga wa bo 29 wa go Bewa Setulong ga Mopresidente yoo a Kgethilwego ka Tsela ya Demokrasi Kopano ye ya Kabinete e bile gona ka letšatši leo go felago mengwaga ye 29 mola Mopresidente Nelson Mandela a ilego a bewa setulong bjalo ka Mopresidente wa mathomo wa Afrika Borwa ya demokrasi ka la 10 Mopitlo 1994.
","Ka la bo 10 Motsheganong go tla ketekiwa Segopotso sa bo 29 sa go keteka Go Tlhomiwa mo Setulong ga Moporesitente wa Ntlha yo a Tlhophilweng Semmuso wa Puso ya Temokerasi
",0.7547017
"Morago ga mengwaga ye makgolo a mararo le seripa ya bokoloneale le kgethollo fao gore motho a hwetše ditirelo tša motheo a swanetše go be a le wa mmala o itseng, Afrika Borwa ya demokrasi e beile dinepo tša tlhabollo tšeo di akaretšago go fihlelela setšhaba seo se atlegago, se sa kgethollego go ya ka mmala, ka bong, ebile se lekalekanago.
","Kopano eno ya Kabinete e tshwarwa poo morago ga dingwaga di le 29 go tloga ka motsi oo Moporesitente Nelson Mandela a neng a tlhomiwa mo setulong go nna Moporesitente wa ntlha wa puso ya naga ya Aforika Borwa ya temokerasi ka la bo 10 Motsheganong 1994.
",0.7159506
"Le ge e le gore go bile le diphihlelelo tše ntšhi tšeo di fihleletšwego esale go tloga ka 1994, go sa na le tše ntšhi gape tšeo di hlokago go dirwa gore re fihlelele dinepo tša naga tša tlhabollo.
","Morago ga dingwaga di le makgolokgolo a mararo go rena puso ya bokoloniale mo tlhabologo e ne e sekametse ka fa letlhakoreng la gore batho ke ba mmala ofe, puso ya naga ya Aforika Borwa ya temokerasi e ne ya tlhoma dipeelo tsa tlhabologo tse merafe yotlhe e tla tlhabololwang ka go tshwana gore re nne le setšhaba se se atlegileng, se se senang tlhaolele go ya ka mmala le bong, se mo go sona batho botlhe ba lekalekanang.
",0.6696566
"Panka ya Resefe ya Afrika Borwa e lokolotše ditšhelete tša pampiri le tša tšhipi tšeo di mpshafaditšwego, tšeo di ketekago demokrasi ya rena ya semolaotheo gape le go ba segopotšo go Madiba yoo re mo ratago..Samiti ya Maphelo ya Mopresidente Samiti ya Bobedi ya Maphelo ya Mopresidente, yeo e bego e swerwe ka la 4-5 Mopitlo 2023, e ile ya bea šedi ya yona go dikokwane tše senyane tša Kgohlagano ya Maphelo ya Mopresidente ya 2019: merero ya bašomi phihlelelo ya meriana, meento le ditšweletšwa tša maphelo mananeokgoparara dipoledišano le lekala la praebete tlhokomelo ya maphelo ya boleng dikaonafatšo tša taolo ya ditšhelete tša lekala la setšhaba pušo le boetapele dipoledišano le setšhaba boitokišetšo bja mananeo a tshedimošo le leuba.
","Le fa go na le dilo tse dintsi tse di fitlheletsweng fa e sale ka ngwaga wa 1994, go santse go na le dilo tse dintsi tse di santseng di tlhokwa go diriwa gore naga e fitlhelele dipeelo tsa yona tsa go tlhabolola setšhaba.
",0.5188246
"Ye nngwe ya dipoelo tša Samiti e bile boikgafo bjoo bo mpshafaditšwego bja go phethagatša Inšorentshe ya Maphelo ya Bosetšha (NHI).
","Bankakgolo ya Aforika Borwa e ntshitse madi a pampiri le a tshipi a mantšhwa, mme seno ke go keteka temokerasi ya rona e mo go yona go renang molaotheo mmogo le go supa tlotlo go mmamoratwa wa rona e bong Rre Madiba.
",0.74156034
"Se ke karolo ya lenaneo la go fokotša diphapano ge go etla phihlelelong ya ditirelo tša maphelo ka go fediša morwalo wa ditefelo ge go hwetšwa ditirelo tša maphelo.
","Samiti ya Moporesitente e e ka ga Boitekanelo
",0.52394986
"Kabinete e amogela go fetišwa ga mekgwa yeo e hlokegago go lokiša lenaneo la maphelo ka leswa le go akgofiša diphetogo tša NHSe se batametša lenaneo la rena la maphelo tabeng ya go šomela MaAfrika Borwa bokaone..Enetši Mmušo o šoma le Eskom ka sekgauswi go akgofiša go lokišwa ga diyuniti tšeo di hlotšego Legato la bo 6 la kgaotšo ya mohlagase mo matšatšing ano yeo e ditelago tšwelopele ya lenaneo la go kaonafatša tšhireletšo ya mohlagase ka nageng.
","Samiti ya Bobedi ya Moporesitente e e ka ga Boitekanelo e e neng e tshwerwe ka la bo 4-5 Motsheganong 2023 e tsepamisitse mogopolo mo dikarolong di le robongwe tsa Tumelano ya Merero ya Moporesitente e e ka ga Boitekanelo: mme tsona ke go tlamelwa ka palo e e lekaneng ya badiredi go tlamelwa ka melemo, meento le didirisiwa tsa boitekanelo go tlamelwa ka mafaratlhatlha go tšhotlha merero le ba maokelo a poraefete go nna le lephata la maokelo a a nang le boleng go tokafatsa taolo ya matlole mo makaleng a puso go tokafatsa thulaganyo ya puso le boeteledipele go tšhotlha merero le baagi mo setšhabeng go rulaganya dithulaganyo tsa tshedimosetso mmogo le go ipaakanyetsa go ema sejaro mamabi le go wa ga maroborobo.
",0.7842392
"Mošomo woo o tseneletšego o gare o a dirwa ka Eskom go oketša Sekao sa Eskom sa Go ba gona ga Mohlagase ka ditokišo tše bohlokwa, go šomiša ka botlalo di-Open Cycle Gas Turbines, go hwetša maatla a tšweletšo ya mohlagase a tlaleletšo go tšwa dipeeletšong tša praebete ka dimpshafatšong, gape le go oketša temošo ya go kaonafatša Taolo ya Nyakego ya ka Thoko go tšwa badirišingbagolo ba mohlagase le go tšwa go malapa.
","E nngwe ya dintlha tse di tšhotlhilweng kwa samiting eno ke tsosoloso ya maikano a go tsenya tirisong Inšorense ya Bosetšhaba ya Boitekanelo (NHI).
",0.6541207
"Ditiro tša go senya di tšwela pele go tshwenya mananeokgoparara a Eskom, gomme ka go realo go thwalwa ga maloko a SANDF a 880 go leta ditiši tše mmalwa tša mohlagase tša Eskom ke karolo ya mekgwa ya go thibela maitekelo a go wiša mararankodimagolo a bosetšhaba a mohlagase.
","Eno ke karolo ya letsholo la go fedisa tlalelo mo setšhabeng fa go tshwanetswe go bonwe ditirelo tsa pholo ka go rola boima jwa gore ba iponela kae madi a go duelela go abelwa ditirelo tsa kalafo le pholo.
",0.73237085
"Kabinete e amogetše sephetho sa go dira boipobolo go kahlolo yeo e sa tšwago dirwa ya Kgorokgolo ya Tsheko ya Pretoria yeo e laetšego Eskom go se kgaotše mohlagase wa ditheo tša setšhaba tšeo di akaretšago dikolo, dikliniki, maokelo, le ditiši tša maphodisa, ka ge se se ka ba le ditlamorago.
","Kabinete e amogetse dikgato tse di tseerweng tsa go tsenya tirisong maano a a tlhokagalang a go tsosolosa maokelo le go potlakisa dikgato tsa go tsosolosa NHSeno se dira gore maokelo a rona a kgone go direla botoka maAforika Borwa.
",0.7030822
"Kabinete e duma go lemoša MaAfrika Borwa go tšwela pele go boloka mohlagase go iša nepong ya bosetšhaba ya go boloka 1 000MW..Tlhabollo ya Mananeokgoparara Lesolo la Afrika Borwa la mananeokgoparara ka nepoya go tsošoloa ikonomi le go hlola mešomo le tšwela pele go kgwahlelela.
","Motlakase
",0.17338198
"Ka go realo, Tona ya Dinamelwa, Mme Sindi Chikunga, o thakgotše Protšeke ya Pharakano ya Ditsela ya Ashburton ya go ja R.4 bilione ka Mmasepaleng wa Msunduzi ka KwaZulu-Natal, yeo e tlo kaonafatšago go sepetšwa ga merwalo gabonolo go tloga Boemakepeng bja Durban go tsena ka nageng le go ya ka tikologong ya SADTona ya Mešomo ya Setšhaba le Mananeokgoparara, Morena Sihle Zikalala o neelane ka maemakepe a mannyane a 13 ao a mpshafaditšwego ka tsela ya Lenaneo la Tokišo ya Maemakepe a Mannyane la mmušo la go ja R501 milione.
","Puso e dirisana le Eskom go potlakisa dikgato tsa go baakanya diyuniti tsa motlakase tse di dirileng gore mo malobanyaneng re tsene mo maemong a bo 6 a motlakase o o tshabetseng ruri e leng seo se kgoreleditseng kgatelopele e e dirilweng ya go dira gore re nne le motlakase o o sa tshabeleng ruri ka fa nageng.
",0.7638438
"Mpshafatšo ya maemakepe a e tla oketša go šoma bokaone ga ona gape le go hlankela lekala la boreahlapi la selegae bokaone, mmogo le makala a mangwe ka diikonoming tša selegae..Ketelo ya Peoleihlo ka Jagersfontein Motlatšapresidente, Paul Mashatile o bile le ketelo ya peoleihlo go la Jagersfontein ka Mmasepaleng wa Selegae wa Kopanong ka Seleteng sa Xhariep ka Freistata.
","Go samaganwe le namane e tona ya tiro kwa Eskom mabapi le go oketsa Tlamelo ya Motlakase o o leng Teng mo Setlamong ka go dira tiro e kgolo ya go tlhokomela le go tsosolosa meago le dithoto tsa mafelo a motlakase, go oketsa tiro ya go sola mosola Mafetlho a Magolo a go Fetlha Motlakase ka Gase, go reka motlakase o mongwe mo ditheong tsa poraefete tse di rekisang motlakase o o fetlhiwang ka ditsela tse dintšhwa mmogo le go oketsa matsholotemoso a baagi go tokafatsa Taolo ya Tiriso ya Motlakase mo badirising ba bagolo ba motlakase le mo malapeng.
",0.80654895
"Go bile le dikarabo mabapi le kabo ya meetse yeo e phethagetšego ebile yeo e lekalekanago, le khudušo ya maloko a setšhaba ao a amilwego ke masetlapelo ao a hlotšwego ke ge lebota la letamo le phatloga.
","Ditiragalo tsa go seenyetsa setheo seno mafaratlhatlha a sona ka bomo di tswelela go ripitla mafaratlhatlha a Eskom mme ka jalo masole a le 880 a rometswe go disa diteišene di le dintsinyana tsa motlakase wa Eskom mme seno ke karolo ya dikgato tse di tserweng go leka go thibela go phutlhama ga diyuniti tsa tlamelo ya motlakase wa naga.
",0.76387113
