src_text,tgt_text,cosine_score
"Mopitlo 10 – Ngwaga wa bo 29 wa go Bewa Setulong ga Mopresidente yoo a Kgethilwego ka Tsela ya Demokrasi Kopano ye ya Kabinete e bile gona ka letšatši leo go felago mengwaga ye 29 mola Mopresidente Nelson Mandela a ilego a bewa setulong bjalo ka Mopresidente wa mathomo wa Afrika Borwa ya demokrasi ka la 10 Mopitlo 1994.
","10 Mudyaxihi – Ku tlangela ka vu29 ka ku Vekiwa Exitulwini ka presidente wo sungula loyi a hlawuriweke hi ndlela ya xidemokirasi
",0.7351247
"Morago ga mengwaga ye makgolo a mararo le seripa ya bokoloneale le kgethollo fao gore motho a hwetše ditirelo tša motheo a swanetše go be a le wa mmala o itseng, Afrika Borwa ya demokrasi e beile dinepo tša tlhabollo tšeo di akaretšago go fihlelela setšhaba seo se atlegago, se sa kgethollego go ya ka mmala, ka bong, ebile se lekalekanago.
","Nhlengeletano leya Khabinete yi vile kona 29 wa malembe kwatsa, eka siku leri Presidente Nelson Mandela a vekiweke exitulwini harona tanihi Presidente wo sungula wa Afrika-Dzonga ya xidemokirasi hi siku ra vu10 Mudyaxihi 1994.
",0.66486967
"Le ge e le gore go bile le diphihlelelo tše ntšhi tšeo di fihleletšwego esale go tloga ka 1994, go sa na le tše ntšhi gape tšeo di hlokago go dirwa gore re fihlelele dinepo tša naga tša tlhabollo.
","Endzhaku ka malembexidzana manharhu na hafu ya xikoloni na nhluvukiso wo hambana laha ku va munhu a kota ku fikelela vukorhokeri bya masungulo a swi ya hi muhlovo wa nhlonge ya munhu, Afrika-Dzonga ya xidemokirasi yi vekile swikongomelokulu swa nhluvukiso leswi katsaka hinkwavo ku fikelela rixaka leri humelelaka, leri nga yiki hi nghohe, leri nga yiki hi rimbewu na ku va ro ringana.
",0.6499674
"Panka ya Resefe ya Afrika Borwa e lokolotše ditšhelete tša pampiri le tša tšhipi tšeo di mpshafaditšwego, tšeo di ketekago demokrasi ya rena ya semolaotheo gape le go ba segopotšo go Madiba yoo re mo ratago..Samiti ya Maphelo ya Mopresidente Samiti ya Bobedi ya Maphelo ya Mopresidente, yeo e bego e swerwe ka la 4-5 Mopitlo 2023, e ile ya bea šedi ya yona go dikokwane tše senyane tša Kgohlagano ya Maphelo ya Mopresidente ya 2019: merero ya bašomi phihlelelo ya meriana, meento le ditšweletšwa tša maphelo mananeokgoparara dipoledišano le lekala la praebete tlhokomelo ya maphelo ya boleng dikaonafatšo tša taolo ya ditšhelete tša lekala la setšhaba pušo le boetapele dipoledišano le setšhaba boitokišetšo bja mananeo a tshedimošo le leuba.
","Loko mivuyelo yo tala yi endliwile kusukela hi 1994, ka ha ri na swo tala swinene leswi faneleke ku endliwa ku fikelela swikongomelokulu swa tiko swa nhluvukiso.
",0.52627873
"Ye nngwe ya dipoelo tša Samiti e bile boikgafo bjoo bo mpshafaditšwego bja go phethagatša Inšorentshe ya Maphelo ya Bosetšha (NHI).
","Bangikulu ya Afrika-Dzonga yi humesile mitlhandlamano leyi antswisiweke ya timali ta phepha na swingwece, leswi tlangelaka xidemokirasi xa hina xa vumbiwa na ku xixima murhandziwa wa hina Madiba.
",0.74818957
"Se ke karolo ya lenaneo la go fokotša diphapano ge go etla phihlelelong ya ditirelo tša maphelo ka go fediša morwalo wa ditefelo ge go hwetšwa ditirelo tša maphelo.
","Nhlengeletano ya Xiymo xa le Henhla ya Rihanyo ya Presidente
",0.35204452
"Kabinete e amogela go fetišwa ga mekgwa yeo e hlokegago go lokiša lenaneo la maphelo ka leswa le go akgofiša diphetogo tša NHSe se batametša lenaneo la rena la maphelo tabeng ya go šomela MaAfrika Borwa bokaone..Enetši Mmušo o šoma le Eskom ka sekgauswi go akgofiša go lokišwa ga diyuniti tšeo di hlotšego Legato la bo 6 la kgaotšo ya mohlagase mo matšatšing ano yeo e ditelago tšwelopele ya lenaneo la go kaonafatša tšhireletšo ya mohlagase ka nageng.
","Nhlengelatano ya Xiyimo xa le Henha ya Rihanyo ya Presidente leyi yi khomiweke hi 4-5 Mudyaxihi 2023 yi kongomise eka kaye wa tiphuphu ta Ntwanano wa Rihanyo wa Presidente: vatirhi ku fikelela murhi, misawutiso na swikumiwa swa rihanyo switirhisiwakulu mbulavurisano na sekitara leyi nga riki ya mfumo nhlayiso wa rihanyo wa xiyimo xa le henhla ku antswisiwa ka malawulelo ya timali ta sekitara ya mfumo mafumelo na vurhangeri mivulavurisano na vaaki vufambisi bya mahungu na ku tilulamislelela mitungukulu.
",0.7727437
"Mošomo woo o tseneletšego o gare o a dirwa ka Eskom go oketša Sekao sa Eskom sa Go ba gona ga Mohlagase ka ditokišo tše bohlokwa, go šomiša ka botlalo di-Open Cycle Gas Turbines, go hwetša maatla a tšweletšo ya mohlagase a tlaleletšo go tšwa dipeeletšong tša praebete ka dimpshafatšong, gape le go oketša temošo ya go kaonafatša Taolo ya Nyakego ya ka Thoko go tšwa badirišingbagolo ba mohlagase le go tšwa go malapa.
","Wun'wana wa mivuyelo ya Nhlengeletano ya Xiyimo xa le Henhla a ku ri ku tiyimisela loku pfuxetiweke ko simeka Ndzindzakhombo wa Rihanyo ra Rixaka (NHI).
",0.65472436
"Ditiro tša go senya di tšwela pele go tshwenya mananeokgoparara a Eskom, gomme ka go realo go thwalwa ga maloko a SANDF a 880 go leta ditiši tše mmalwa tša mohlagase tša Eskom ke karolo ya mekgwa ya go thibela maitekelo a go wiša mararankodimagolo a bosetšhaba a mohlagase.
","Lexi i xiphemu xa nongoloko wo hunguta ku hambana eka ku fikelela vukorhokeri bya nhlayiso wa rihanyo hi ku hunguta ndzhwalo wa timali eka ku fikelela vukorhokeri bya nhlayiso wa rihanyo.
",0.7114231
"Kabinete e amogetše sephetho sa go dira boipobolo go kahlolo yeo e sa tšwago dirwa ya Kgorokgolo ya Tsheko ya Pretoria yeo e laetšego Eskom go se kgaotše mohlagase wa ditheo tša setšhaba tšeo di akaretšago dikolo, dikliniki, maokelo, le ditiši tša maphodisa, ka ge se se ka ba le ditlamorago.
","Khabinete yi amukela ku amukeriwa ka magoza lama lavekaka ku tiyisa sisiteme ya rihanyo na ku hatlisisa ku cinca ka NHLeswi swi yisa tisisiteme ta hina ta rihanyo ekusuhi na ku korhokela vanhu va Afrika-Dzonga ku antswa.
",0.7400728
"Kabinete e duma go lemoša MaAfrika Borwa go tšwela pele go boloka mohlagase go iša nepong ya bosetšhaba ya go boloka 1 000MW..Tlhabollo ya Mananeokgoparara Lesolo la Afrika Borwa la mananeokgoparara ka nepoya go tsošoloa ikonomi le go hlola mešomo le tšwela pele go kgwahlelela.
","Eneji
",0.2110988
"Ka go realo, Tona ya Dinamelwa, Mme Sindi Chikunga, o thakgotše Protšeke ya Pharakano ya Ditsela ya Ashburton ya go ja R.4 bilione ka Mmasepaleng wa Msunduzi ka KwaZulu-Natal, yeo e tlo kaonafatšago go sepetšwa ga merwalo gabonolo go tloga Boemakepeng bja Durban go tsena ka nageng le go ya ka tikologong ya SADTona ya Mešomo ya Setšhaba le Mananeokgoparara, Morena Sihle Zikalala o neelane ka maemakepe a mannyane a 13 ao a mpshafaditšwego ka tsela ya Lenaneo la Tokišo ya Maemakepe a Mannyane la mmušo la go ja R501 milione.
","Mfumo wu le ku tirhisaneni na Eskom ku hatlisisa ku lunghisiwa ka tiyuniti leswi ku vangeke ku tirhisiwa ka gezi hi ku siyerisana ka Xiteji xa 6 eka masiku lama ha ku hundzaka naswona swi heteke matimba ndzima leyi khatsiweke eka nongoloko wo antswisa nsirhelelo wa eneji etikweni.
",0.7656139
"Mpshafatšo ya maemakepe a e tla oketša go šoma bokaone ga ona gape le go hlankela lekala la boreahlapi la selegae bokaone, mmogo le makala a mangwe ka diikonoming tša selegae..Ketelo ya Peoleihlo ka Jagersfontein Motlatšapresidente, Paul Mashatile o bile le ketelo ya peoleihlo go la Jagersfontein ka Mmasepaleng wa Selegae wa Kopanong ka Seleteng sa Xhariep ka Freistata.
","Ntirho wa matimba wu le ku endliweni eka Eskom ku engetela Nkarhi wa Vukona bya Eneji eka Nhlangano hi ku tirhisa ku hlayisiwa ko tivikana, ku tlakusiwa ka ntirhiso wa Swipelupelu swa Gasi swa Ndzhendzheleko wo Pfuleka, ku kuma vuswikoti byo endla gezi byo engetela kusuka eka vuvekisi lebyi nga riki bya mfumo eka gezi leri pfuxeleriwaka na ku tlakusa xilemukiso ku antswisa Malawulelo ya Tlhelo ra ku Laveka kusuka eka vatirhisi va gezi lavakulu na kusuka emitini.
",0.7850152
"Go bile le dikarabo mabapi le kabo ya meetse yeo e phethagetšego ebile yeo e lekalekanago, le khudušo ya maloko a setšhaba ao a amilwego ke masetlapelo ao a hlotšwego ke ge lebota la letamo le phatloga.
","Swiendlo swo onhetela hi xivangelo xa tipolitiki swi ya emahlweni swi onha switirhisiwankulu swa Eskom naswona hikokwalaho ku rhumeriwa loku ya ka emahlweni ka 880 wa swirho swa SANDF ku sirhelela switici swa gezi swa Eskom swo tala i xiphemu xa magoza yo sivela ku ringeta ku wisa giridi ya rixaka.
",0.7601312
"Kabinete e ipileditše go dikhamphani ka moka tša meepo go ngwadiša matamo a tšona a go tšhela mašaledi a dirafša goba a go tšhela ditšhila tša go tšwa ka moepong lenaneongtshedimošo la Kgoro ya Meetse le Kelelatšhila gore go netefatšwe gore a latela melawana ya polokego ya matamo.
","Khabinete yi amukele xiboho xa ku aphila xiboho xa Khotokulu ya Pitori lexa ha ku vaka kona lexi leriseke Eskom ku nga katsi mihlangano ya mfumo, ku katsa na swikolo, titliliniki, swibedhlele, na switichi swa maphorisa, eka ku tirhisiwa ka gezi hi ku siyerisana hi ku ya hi leswi vuavanyisi lebyi byi vulaka swona.
",0.77749115
"Kgoro ya Meetse le Kelelatšhila gabjale e mpshafatša lenaneotshedimošo la matamo ka moka a go tšhela mašaledi a dirafša goba a go tšhela ditšhila tša go tšwa ka moepong ka mo nageng ao a latelago dinyakwa tšeo di tlo bitšwago “Matamo ao a Nago le Kotsi go Polokego”.
","Khabinete yi rhandza ku tsundzuxa vanhu va Afrika-Dzonga ku ya emahlweni va hlayisa gezi eka mpakaniso wa rixaka ku hlayisa 1000MNhluvukiso wa Switirhisiwakulu Pfhumba ra switirhisiwakulu ra Afrika-Dzonga ro pfuxeta ikhonomi na ku tumbuluxa mitirho ri ya emahlweni ri kuma ntamu.
",0.73369426
