src_text,tgt_text,cosine_score
"Merero ye Bohlokwa Seemong sa Bjale.
","Ulawulo lweentlekele emva kwezikhukhula.
",0.41051102
"Taolo ya Masetlapelo Morago ga Mafula.
","IKhabhinethi ithi mabalale ngenxeba bonke abantu abaswelekelwe zizihlobo zabo kwezi zikhukhula zakutsha nje zenze umonakalo omkhulu bezithwaxe iindawo ezithile kweli lizwe lethu, ingakumbi kwiphondo laKwaZulu-Natal.
",0.5560212
"Kabinete lebišitše mahloko yona go batho ka moka bao ba lobilego bao ba phelago le bona mo mafuleng go setla pelo malobanyana ao wetšego dikarolo tša naga ya gaborena, kudukudu KwaZulu-Natal..     Tsebagatšo ya Maemo Masetlapelo Bosetšhaba gotee le magato kimollo ya ikonomi maphelong batho ao tsebagaditšwego ke Mopresidente Cyril Ramaphosa malobanyana mo be nepile go netefatša kgato ye nago le mohola le ya go rulaganywa ka tsela ye maleba go potologa didiko ka moka ka mmušo, ka Senthara ya Bosetšhaba ya Taolo ya Masetlapelo..     R1 bilione ya go tlišwa ke mmušo gare šomišwa go thekga maitekelo kimollo le go boetša seemo sekeng, go bušetša ditirelo tša motheo sekeng le go fana ka thušo ya botho ka sebopego sa dijo, madulo, tlhwekišo le diaparo..     Tshepedišo ya go agaleswa mafelo ao amilwego ke mafula šetše thomile ka ge batho ba naga ya gaborena ba ipopa ngatana ye tee ka maikemišetšo go thuša bao ba lobilego magae le dithoto tša bona.
","Ukubhengezwa kweMeko yeNtlekele kwiZwelonke kunye namanyathelo oncedo kwezentlalo nakwezoqoqosho abhengezwe nguMongameli Cyril Ramaphosa, kuneenjongo zokuqinisekisa ukuba kukho intsebenziswano emandla nebambeneyo kuwo onke amaqoqo karhulumente, ngokusebenzisa iZiko leSizwe loLawulo lweeNtlekele.
",0.827714
"Tsebišo ya Seemo sa Bolwetši bja Coronavirus (COVID-19).
","Le mali iyibhiliyoni yeerandi ikhutshwe ngurhulumente iza kusetyenziselwa ukuncedisa kumaphulo oncedo nawohlangulo, ukubuyisela iinkonzo ezisisiseko kunye nokunikezela uncedo olunxulumene nentlalontle yabantu olufana nokutya, amanzi, iindawo zokufihla intloko, ugutyulo kunye neempahla zokunxiba.
",0.5773856
"Kabinete hlobaetšwa ke tlhatlogo ya bjale ya diphetelo tša COVID-19 dikarolong tše dingwe tša naga ya gaborena ebile hlohleleditše batho ka moka go latela magato go ihlokomela gore ba itšhireletše kgahlanong le baerase ye ya go iša batho ga maotwanahunyela, kudukudu ka nako ye ya marega.
","Inkqubo yokwakha kwakhona iindawo ebezichaphazelekile sele iqalile njengoko abantu belizwe lakuthi bathe bafunquka ngobuninzi babo bafaka isandla kwabo amakhaya abo adilizwe zizikhukhula baze futhi balahlekelwa nazizinto zabo.
",0.7845564
"Baerase ye santše le tlhobaboroko yeo tšwelago pele ebile meento sale sebetša sa go ba le mohola kudu sa go itšhireletša.
","Ezakutsha malunga nesiFo seNtsholongwana ye-Corona (i-COVID-19).
",0.681995
"Kabinete thabišwa ke gore batho ba bantši ba tšea sephetho sa go hlaba meento bjalo ka mekgwa ya bona ya mathomo ya go itšhireletša kgahlanong le COVID-19 morago ga gore dipalopalo tša moragorago di laetše gore re fihleletše phenyo ya go feta seripa sa meento bathong ba bagolo diprofenseng tše tlhano..     Kabinete dira boipiletšo go bao ba sa kago ba hlaba meento go dira bjalo gore ba itšhireletše le go šireletša bao ba phelago le bona.
","IKhabhinethi ixhalatyisiwe kukunyuka kwenani labantu abosulelwe yi-COVID-19 kutsha nje kwiindawo ezithile kweli lizwe kwaye ibongoza bonke abantu ukuba bathathe amanyathelo okuzikhusela kule ntsholongwana ingubhubhane, ingakumbi ngeli xesha lasebusika.
",0.8350708
"Re swanetše go tšwelapele go obamela magato ka moka thibelo ya COVID-19, go akaretšwa le go apara maseke wa go pipetša nko le molomo, go hlapa matsogo ka meetse le ka sesepe goba ka go šomiša sanithaesa sa diatla sa go tswakwa ka alekhohole ya go feta 70%, le go šielana sekgala sa go bolokega se ka bago mithara tee..     Thušo ya Tšhelete ya Kimollo ya Masetlapelo Leago (SRD).
","Le ntsholongwane iseyingxaki kuthi sonke kwaye inye indlela yokuyilwa nokuzikhusela kuyo, kukugonya.
",0.70496416
"Kabinete hlohleleditše badudi bao ba amogelago Thušo ya tšhelete ya SRD ya R350 go dira dikgopelo gape morago ga gore go tsebagatšwe melao ye meswa ya go laola dikgopelo le maswanedi go hwetša thušo ye ya tšhelete.
","IKhabhinethi ichulumancile kukubona abantu abaninzi beqhubeleka besebenzisa amachiza okugonya njengezona zixhobo zokuzikhusela kwi-COVID-19 njengoko iingxelo zakutsha nje zichaza ukuba kumaphondo amahlanu ngabantu abadala abangaphezulu kwe-50% asele begonyiwe.
",0.7677587
"Dikgopelo di ka dirwa wepsaeteng ya Etšensi ya Afrika Borwa ya Tšhireletšego ya Leago (SASSA) mo go https://srd.sassa.gov.za/.
","IKhabhinethi icela abo bangekagonyi ukuba baye kugonya ukuze bakhusele bona kunye nezihlobo zabo.
",0.6163402
"Peakanyo ya dikgopelo butšwe ka la 23 Moranang 2022 ebile ke tshepedišo yeo dirwago ka mokgwa wa titšithale ka moka ga yona go kgontšha gore dikgopelo di dirwe ka bonako..     Thušo ye ya tšhelete ya kimollo ke boikokotlelo bja go bolokega go malapa go ihlokela bao ge nkabe se ka yona ba ka be ba amilwe gampe ke lemena la bohloki le tlhokego ya mešomo.
","Kufuneka futhi siqhubeleke nokuthobela imiqathango yokuthintela i-COVID-19, equka ukunxiba isifonyo esigquma impumlo nomlomo, ukuhlamba izandla ngamanzi anesepha okanye ukusebenzisa isibulala-ntsholongwane esine-alkhoholi eyi-70%, kunye nokuqinisekisa ukuba kukho umgama oyimitha enye phakathi kwethu.
",0.7536839
"Mmušo ikgafetše go fana ka thušo ya leago go bao ba lego kotsing gore le bona ba kgone go fihlelela dinyakwa tša motheo.
","IsiBonelelo sezeNtlalo soNcedo (i-SRD).
",0.5785341
"Polokego le Tšhireletšego.
","IKhabhinethi ikhuthaza abemi beli abafumana isiBonelelo se-SRD esiyi-R350 ukuba baphinde bafake izicelo kwakhona kulandela ukuqaliswa kwemigaqo emitsha eza kulandelwa xa kuphicothwa izicelo kujongwa ukuba umntu ufanelekile na ukuba afumane esi sibonelelo.
",0.13904555
"Kabinete tšwelapele go sola ka bogale dipolao tša go setla pelo tša basadi ebile amogetše magato bonako ka bahlankedi ba phethagatšo ya molao ge ba kgonne go golega bagononelwa ba go amana le lehu la Mohumagatšana Hillary Gardee (28), wa kua Kamagugu gola Mpumalanga.
","Izicelo kufuneka zifakwe kwiwebhusayithi ye-Arhente yoMzantsi Afrika yeziBonelelo zeNtlalo (i-SASSA) ethi: https://srd.sassa.gov.za/.
",0.70516753
