src_text,tgt_text,cosine_score
"Kamora mengwahakgolo e meraro le halofo ya bokoloniale le ho kgethollwa ha batho ho ya ka merabe ya bona, le nakong eo batho ba neng ba nehwa ditshebeletso tsa motheo ho latela mebala ya bona, Afrika Borwa ya demokrasi e ile ya teka merero e kenyeletsang ya ntshetsopele molemong wa ho fihlella naha e atlehileng, e sa kgetholleng ka mmala, e sa kgetholleng ka bong le e nang le tekano-tekano.
","Mhla ti-10 kuya mhla tinge-29 Inkhwekhweti Sigubha Umkhosi weLusuku Lekubeka Esikhundleni Mengameli Wekucala Lowakhetfwa Ngentsandvo yelinyenti
",0.6422304
"Leha ho na le tse ngata tse fihleletsweng ho tloha ka selemo sa 1994, ho sa na le tse ngata tse lokelang ho etswa molemong wa ho phethahatsa tseo naha ena e di labalabelang tse amanang le ntshetsopele.
","Lomhlangano weKhabinethi ubanjwe ngesikhatsi lesiminyaka lenge-29 lesifana ngco nalelinga lekwabekwa ngalo Mengameli Nelson Mandela esihlalweni waba nguMengameli wekucala weNingizimu Afrika yentsandvo yelinyenti mhla ti-10 Inkhwekhweti 1994.
",0.61076283
"Banka ya Resefe ya Afrika Borwa e ntshitse ditjhelete tsa pampiri le dikhoene tse ntlafaditsweng, tsa ho keteka demokrasi ya rona e itshetlehileng molaong wa motheo le ho tlotla Madiba wa rona eo re mo ratang..Seboka sa Bophelo bo Botle sa Moporesidente Seboka sa bobedi sa Bophelo bo Botle sa Moporesidente se neng se tshwerwe ka la 4-5 Motsheanong 2023 se ne se shebane le ditshia tse robong tse Momahantsweng tsa Bophelo bo Botle tsa Boporesidente tsa 2019: khiro ya batho phihlello ya meriana, diente le dihlahiswa tsa kalafo infrastraktjha kenyeletso ya lekala la poraefete tlhokomelo ya kalafo ya boleng ntlafatso ya bolaodi ba ditjhelete ba lekala la mmuso taolo le boetapele kenyeletso ya badudi ditsamaiso tsa tlhahisoleseding le ho ba malala-a-laotswe bakeng sa diwa.
","Emva kwesikhatsi lesiminyaka lengemakhulumnyaka lamatsatfu nesigamu sekubuswa betive kanye nekutfutfukiswa ngalokwehlukile lapho khona bekubukwa umbala wakho kute ukhone kufinyelela kutfola tinsita letisisekelo, iNingizimu Afrika yentsandvo yelinyenti yabeka imigomo yentfutfuko lefaka wonkhe umuntfu kute kube nemmango lonemphumelelo, longabandlululi ngekwelibala nangebulili futsi lonekulingana
",0.8116989
"Se seng sa sephetho sa Seboka sena e bile boitlamo bo ntjhafetseng ba ho kenya tshebetsong Inshorense ya Naha ya Bophelo bo Botle (NHI).
","Nanoma kube nalokunyenti lesikuzuzile kusukela ngemnyaka we-1994, kunyenti lekusafuneka sikwente kute sifinyelele kulemigomo yentfutfuko yalelive.
",0.5626085
"Ena ke karolo ya lenaneo la ho fokotsa ho se lekane-lekane phumantshong ya ditshebeletso tsa tlhokomelo ya kalafo, ka ho fedisa mathata a ditjhelete a amang phihlello ya ditshebeletso tsa tlhokomelo ya kalafo.
","Libhangengodla laseNingizimu Afrika likhiphe luchungechunge lwemali yemaphepha, neyeluhlavumali, legubha umkhosi wahulumende wetfu wentsandvo yelinyenti yemtsetfosisekelo futsi lindlulisa kubonga kuMadiba lesimtsandza kakhulu.
",0.73529625
"Kabinete e ananela ho tjhaellwa monwana ha mehato e hlokehang molemong wa ho ntlafatsa tsamaiso ya bophelo bo botle le ho potlakisa diphetoho tsa NHTsena di atametsa ditsamaiso tsa bophelo bo botle bakeng sa ho sebeletsa Maafrika Borwa..Eneji
","Ingcungcutsela Yetemphilo YaMengameli IngcungcutselaYetemphilo YaMengameli wesibili lobanjwe mhla ti-4–5 Inkhwekhweti 2023 bewugcile kumaphuzu latinsika layimfica eSivumelwano SaMengameli Setemphilo Semnyaka We-2019: tindzaba tebasebenti kufinyelela kutfola imitsini, imitsi yekugoma nemikhicito yetemphilo kusakhiwonchanti ekucocisaneni nemikhakha letimele kutfola kunakekelwa kwetemphilo lokusezingeni lelisetulu kutfutfukisa umkhakha wahulumende wekulawula timali kutekuphatsa netebuholi kucocisana nemmango kutinhlelo telwatiso kanye nekuhlala sitilungiselele kubukana netifo letilubhubhane.
",0.7444414
"Mmuso o sebetsa le Eskom ho potlakisa ho lokiswa ha diyuniti tse bakileng hore ho kenwe Mokgahlelong wa Botshelela wa ho tingwa ha motlakase morao tjena, mme sena sa ba sa sitisa kgatelopele ya lenaneo la ho ntlafatsa boteng ba nako e telele ba motlakase ka hara naha.
","Lomunye umphumela waleNgcungcutsela kwaba kutibophelela kabusha ekusebentiseni Umshwalense Wavelonkhe Wetemphilo (NHI).
",0.62198544
"Eskom e sebetsa ka matla ho eketsa Boteng ba Motlakase ke Setheo sena ka ho lokiswa ho matla, katiso ya mekgwa e meng ya ho fehlwa ha motlakase ka ho sebedisa Dithebaene tsa Kgase, ho eketswa ha mekgwa e meng ya ho fehla motlakase e kenyeletsang ya mehlodi ya tlhaho ya matsete a lekala la poraefete, le ho matlafatsa temoso ya tsena molemong wa ho ntlafatsa Tsamaiso ya Tlhokeho e Matla ho tloha ho ba sebedisang motlakase haholo le malapeng.
","Loku kuyincenye yeluhlelo lwekunciphisa kungafinyeleli ngalokulinganako kutinsita tekunakekelwa ngekwetemphilo ngekunciphisa umtfwalo wetindleko tekufinyelela kutinsita tekunakekelwa ngekwetemphilo.
",0.75849324
"Diketso tsa sabotasi di tswela pele ho senya infrastraktjha ya Eskom, mme ho tswella ka ho romelwa ha ditho tsa Lebotho la Naha la Tshireletso la Afrika Borwa (SANDF) tse 880 ho lebela dibaka tsa ho fehla motlakase tsa Eskom, ke karolo ya mehato ya ho thibela ho putlama ha marangrang a naha.
","Ikhabinethi iyavumelana ngekulandzela tindlela letidzingekako tekuvuselela kabusha luhlelo lwetemphilo nekuphutfumisa tingucuko teNHLoku kwenta luhlelo lwetfu lwetemphilo lukhone kusebentela kancono bantfu baseNingizimu Afrika.
",0.74714535
"Kabinete e ananetse qeto ya ho ipiletsa kgahlano le kahlolo ya morao tjena ya Lekgotla le Phahameng la Dinyewe la Pretoria le laetseng Eskom hore e se kgaole phepelo ya motlakase ditheong tsa setjhaba tse kenyeletsang dikolo, ditleliniki, dipetlele le diteishene tsa sepolesa ho itshetlehilwe hodima dikateng tsa kahlolo eo.
","Temandla
",0.1651772
