src_text,tgt_text,cosine_score
"Taolo ya Dikoduwa Kamora Dikgohola.
","Ditiro tsa Tsamaiso ya Matlhotlhapelo tse go Samaganweng le Tsona go Latela gore go nne le Merwalela.
",0.803983
"Kabinete lebisitse matshediso bathong bohle ba lahlehetsweng ke beng ka bona dikgoholeng tsa morao tse mpe tse ileng tsa hlasela dibaka tse ngata tsa naha ya rona, haholoholo KwaZulu-Natal..     Sepheo ka tsebahatso ya Maemo Dikoduwa Naha le dithuso tsa boiphediso tse sa tswa tsebahatswa ke Presidente Cyril Ramaphosa ne le ho netefatsa karabelo atlehileng le hlophisehileng makaleng ohle mmuso, ka Setsi sa Taolo ya Naha ya Dikoduwa.
","Kabinete rometse matshediso go batho botlhe ba ba latlhegetsweng ke ba ba ba ratang mo merwaleleng ya fa gautshwane e tlisitseng ditshenyegelo tse di masisi e amileng dikarolo di le mmalwa tsa naga ya rona, bogolo segolo KwaZulu-Natala..     Dikgato tsa go Baya Dikarolo tseno mo Maemong Matlhotlhapelo Bosetšhaba mmogo le dikgato tsa go thusa baagi ka matlole a tlhokegang tse di itsisetsweng ke Moporesidente Cyril Ramaphosa fa gautshwane, maitlhomo tsona ke go netefatsa gore maphata otlhe puso tsaya dikgato tse di rulagantsweng sentle le tse di tla nnang mosola mo go samaganeng le maemo ano, mme seno se tla diriwa ka go dirisa Tikwatikwe ya Naga e Samaganang le Matlhotlhapelo..     Bilione ya diranta puso e abileng dirisediwa go tshegetsa dikgato tsa go ritibatsa maemo le tsa go busetsa maemo ditirelo tse di botlhokwa sekeng mmogo le go abelana ka ditirelo tsa botho tse di jaaka go ba rekela dijo, go ba tlela metsi le go ba batlela bodulo, dintlwanaboithusetso le diaparo..     Tirego ya go aga sešwa mafelo a amegileng setse simolotswe jaaka batho ba naga ya gaetsho ba kopane mo maikemisetsong bona go thusa ba ba latlhegetsweng ke magae le dithoto tsa bona.
",0.88668
"Biliyone ya diranta eo mmuso e ntshitseng sebedisetswa ho tshehetsa maiteko dithuso le ho iphumana, ho kgutlisa ditshebeletso tsa motheo le ho phallela ba hlokang ka ho ba thusa ka dijo, metsi, botshabelo, tsa bohlweki le diaparo.
","Tshedimosetso ka Bolwetse jwa Mogare wa Corona (COVID-19).
",0.47705767
"Motjha wa ho aha botjha dibaka tse amehileng se qadile mme le batho ba naha ya rona ba kopane ka maikemisetso ho thusa ba lahlehetsweng ke bodulo le thepa ya bona..     Tlhahisoleseding ka Lefu laCoronavirus (COVID-19).
","Kabinete tshwentswe ke go tlhatlhoga ga fa gautshwane ga ditshwaetso tsa COVID-19 mo dikarolong dingwe tsa naga mme ikuetse go batho botlhe go tsaya dikgato tsa go itshireletsa kgatlhanong le mogare o kotsi ono, bogolo segolo mo marigeng.
",0.80949676
"Kabinete kgathatsehile ka ho eketseha ha morao tjena ha ditshwaetso tsa COVID-19 dikarolong tse ding tsa naha mme ipileditse ho bohle ho nka mehato ya ho itshireletsa kgahlano le vaerase ena kotsi, haholoholo mariha tjena..     Vaerase ena ntse le kotsi mme ho enta ntse le sebetsa se bohlokwa haholo seo re ka itshireletsang ka sona.
","Mogare ono sa ntse re tsenya tsebetsebe mme go tlhabela moento sale ntse le yona tsela e botoka go gaisa re ka itshireletsang ka yona.
",0.758392
"Kabinete thabiswa ke hore batho ba bangata ba ntse ba kgetha ho enta le tshireletso ya bona ya pele kgahlano le COVID-19 kamora hore dipalopalo tsa morao di bontshe hore batho ba baholo ba fetang dipersente tse mashome mahlano ba se ba entile diprovenseng tse hlano..     Kabinete ipiletsa ho ba so ente ho enta molemong wa ho itshireletsa le beng ka bona.
","Kabinete itumelela gore batho ba le bantsi ba tswelela go tsaya tshweetso ya go tlhabela moento go nna ona ba itshireletsang ka ona kgatlhanong le COVID-19 mme seno se latela gore dipalopalo tsa fa gautshwane di bontshe gore mo bathong botlhe ka fa nageng re setse re fitlheletse palo e fetang halofo ya bona ya batho ba ba tlhabetseng meento mo diporofenseng tse tlhano.
",0.9186088
"Bohle re lokela ho tswela pele le ho ikamahanya le melao ya ho itshireletsa ho COVID-19 kenyeletsang ho rwala semonkwana se kwahelang nko le molomo, ho hlapa matsoho ka metsi le sesepa, kapa ho sebedisa sehlwekisi se nang le alcohol ballwang dipersenteng tse 70, le ho arohana le ba bang ka bonnyane mitara..     Thuso Imollang Nakong ya Mathata (SRD).
","Kabinete ikuela go ba ba iseng ba entiwe go ya go tlhabela moento gore ba tle ba itshireletse bona le ba ba tshelang mmogo le bona.
",0.7075829
"Kabinete kgothaleditse baahi ba fumanang R350 ya SRDGrant ho etsa dikopo hape, kamora hore ho kenngwe tshebetsong melawana metjha laolang dikopo le ho lokela ha batho ho fumana dithuso.
","Gape rotlhe re tshwanetse go tswelela go obamela dikgato tsotlhe tsa thibelo ya COVID-19, go akarediwa go rwala mmaseke o tswalang nko le molomo, go tlhapa diatla ka metsi le sesepa, go tsikitletsa diatla ka sebolayamegare se 70% ya sona leng alekhoholo, le go katogana le batho ba bangwe..     Mogolo wa go Inola Batho mo Tshotlegong (SRD).
",0.7729442
"Dikopo di ka etswa websaeteng ya Setheo sa Dithuso tsa Setjhaba sa Afrika Borwa (SASSA) leng:https://srd.sassa.gov.za/.Mokgwatshebetso wa dikopo butswe ka la 23 Mmesa 2022 mme etswa inthaneteng molemong wa ho potlakisa katleho ya ona..     Thuso ena ya ho imolla bohlokwa haholo malapeng hlokang le ka sulafallwang ke maphelo ka lebaka la bofuma le ho hloka mesebetsi.
","Kabinete rotloetsa baagi ba ba amogelang R350 ya madi thuso SRD go dira dikopo sešwa, go latela kitsiso ya melawana mentšhwa e laolang makwalokopo le go nna le tshiamelo ya madi thuso..     Dikopo di ka dirwa mo webosaeteng ya Setheo sa Aforika Borwa sa Tshireletso ya Loago (SASSA): https://srd.sassa.gov.za/.
",0.8221346
"Mmuso ikemiseditse ho fana ka dithuso tsa setjhaba hoba hlokang haholo ba kgone ho fumana tseo ba di hlokang tsa motheo..     Polokeho le Tshireletseho.
","Tsamaiso ya go dira dikopo butswe ka la bo 23 Moranang 2022 mme dirisa fela mafaratlhatlha thekenoloji go kgontsha gore go direlwe ka bonako..     Mogolo ono botlhokwa thata mo go thuseng malapa a tlhokang lehuma le botlhokatiro di ka bong di sa bolo go itelekela mo go ona.
",0.76325774
