src_text,tgt_text,cosine_score
"Lulawulo lwenhlekelele ngemuva kwetikhukhula.
","Ditiro tsa Tsamaiso ya Matlhotlhapelo tse go Samaganweng le Tsona go Latela gore go nne le Merwalela.
",0.800574
"Ikhabhinethi ivakalisa kudzabuka kwayo kubo bonkhe bantfu labalahlekelwe tihlobo tabo labatitsandzako kuletikhukhula letidale umonakalo letisandza kwenteka letikhahlamete tincenye letinyeti telive letfu, ikakhulu KwaZulu-Natal..     Kumenyetelwa kwetingenelelo tekuhhamula Simo Savelonkhe Senhlekelele netingenelelo tetenhlalomnotfo letisandza kumenyetelwa nguMengameli Cyril Ramaphosa, kuhloswe ngato kucinisekisa kuphendvula lokuhlanganisiwe nalokunemphumelelo kuyo yonkhe imikhakha yahulumende, ngekusebentisa Sikhungo Savelonkhe Sekulawula Tenhlekelele.
","Kabinete rometse matshediso go batho botlhe ba ba latlhegetsweng ke ba ba ba ratang mo merwaleleng ya fa gautshwane e tlisitseng ditshenyegelo tse di masisi e amileng dikarolo di le mmalwa tsa naga ya rona, bogolo segolo KwaZulu-Natala..     Dikgato tsa go Baya Dikarolo tseno mo Maemong Matlhotlhapelo Bosetšhaba mmogo le dikgato tsa go thusa baagi ka matlole a tlhokegang tse di itsisetsweng ke Moporesidente Cyril Ramaphosa fa gautshwane, maitlhomo tsona ke go netefatsa gore maphata otlhe puso tsaya dikgato tse di rulagantsweng sentle le tse di tla nnang mosola mo go samaganeng le maemo ano, mme seno se tla diriwa ka go dirisa Tikwatikwe ya Naga e Samaganang le Matlhotlhapelo..     Bilione ya diranta puso e abileng dirisediwa go tshegetsa dikgato tsa go ritibatsa maemo le tsa go busetsa maemo ditirelo tse di botlhokwa sekeng mmogo le go abelana ka ditirelo tsa botho tse di jaaka go ba rekela dijo, go ba tlela metsi le go ba batlela bodulo, dintlwanaboithusetso le diaparo..     Tirego ya go aga sešwa mafelo a amegileng setse simolotswe jaaka batho ba naga ya gaetsho ba kopane mo maikemisetsong bona go thusa ba ba latlhegetsweng ke magae le dithoto tsa bona.
",0.8899622
"Sigidzigidzi sinye semarandi hulumende lasente kutsi sitfolakale sisetjentiselwa kwesekela kuhhamula nemitamo yekuvusetela kabusha, kubuyisela esimeni tinsita letisisekelo kanye nekuniketa lusito lwebuntfu ngendlela yekudla, emanti, kuhanjiswa kwekungcola kanye netimphahla tekugcoka.
","Tshedimosetso ka Bolwetse jwa Mogare wa Corona (COVID-19).
",0.5138688
"Lenchubo yekwakha kabusha tindzawo letitsintsekile seyivele icalile njengaloku bantfu belive lakitsi babumbana ekuncumeni kutsi basite labo labalahlekelwe ngemakhaya abo naloko labanako.
","Kabinete tshwentswe ke go tlhatlhoga ga fa gautshwane ga ditshwaetso tsa COVID-19 mo dikarolong dingwe tsa naga mme ikuetse go batho botlhe go tsaya dikgato tsa go itshireletsa kgatlhanong le mogare o kotsi ono, bogolo segolo mo marigeng.
",0.744074
"Lokusha mayelana neSifo seLigciwane leKhorona (i-COVID-19).
","Mogare ono sa ntse re tsenya tsebetsebe mme go tlhabela moento sale ntse le yona tsela e botoka go gaisa re ka itshireletsang ka yona.
",0.6049233
"Ikhabhinethi ikucaphele ngekukhatsateka kwenyuka lokusandza kwenteka kwelufu lwe-COVID-19 kuletinye tincenye futsi icela bonkhe bantfu kutsi batsatse tinyatselo tekutivikela kuleligciwane lelibulalako, ikakhulu ngalesikhatsi sasebusika.
","Kabinete itumelela gore batho ba le bantsi ba tswelela go tsaya tshweetso ya go tlhabela moento go nna ona ba itshireletsang ka ona kgatlhanong le COVID-19 mme seno se latela gore dipalopalo tsa fa gautshwane di bontshe gore mo bathong botlhe ka fa nageng re setse re fitlheletse palo e fetang halofo ya bona ya batho ba ba tlhabetseng meento mo diporofenseng tse tlhano.
",0.8109011
"Leligciwane solomane lisasenebungoti lobungapheli kantsi kugoma kusikhali lesiyimphumelelo lenkhulu sekutsi sitivikele.
","Kabinete ikuela go ba ba iseng ba entiwe go ya go tlhabela moento gore ba tle ba itshireletse bona le ba ba tshelang mmogo le bona.
",0.73614246
"Ikhabhinethi ijabulile kubona bantfu labanyenti bachubeka nekukhetsa kugoma njengendlela yekucala yekutivikela ku-COVID-19 ngemuva kwelubalobalo lolusandza kwentiwa lolukhomba kutsi sesifinyelele ngetulu kwe-50 yemaphesenti ebantfu labadzala lasebagomile etifundzeni letisihlanu..     Ikhabhinethi icela labo labasengakagomi kutsi bagome kute bativikele kanye nalabatsandzekako babo.
","Gape rotlhe re tshwanetse go tswelela go obamela dikgato tsotlhe tsa thibelo ya COVID-19, go akarediwa go rwala mmaseke o tswalang nko le molomo, go tlhapa diatla ka metsi le sesepa, go tsikitletsa diatla ka sebolayamegare se 70% ya sona leng alekhoholo, le go katogana le batho ba bangwe..     Mogolo wa go Inola Batho mo Tshotlegong (SRD).
",0.8090719
"Kufanele kutsi sonkhe sichubeke nekugcina tonkhe tinchubo tekutivikela ku-COVID-19, lokufaka ekhatsi kufaka sifonyo lesivala imphumulo nemlomo, sigeze tandla ngemanti nangensipho, nome sisebentise sibulalimagciwane sekugeza tandla lesine-70% ye-alkhoholi, kanye nekugcina libanga lekuchelelana leliphephile lokungenani libe imitha yinye..     Sibonelelo Sahulumende Sekuhhamula Inhlupheko (i-SRD).
","Kabinete rotloetsa baagi ba ba amogelang R350 ya madi thuso SRD go dira dikopo sešwa, go latela kitsiso ya melawana mentšhwa e laolang makwalokopo le go nna le tshiamelo ya madi thuso..     Dikopo di ka dirwa mo webosaeteng ya Setheo sa Aforika Borwa sa Tshireletso ya Loago (SASSA): https://srd.sassa.gov.za/.
",0.7702055
"Ikhabhinethi igcugcutele takhamuti letitfola sibonelelo sahulumende sekuhhamula inhlupheko kutsi tiphindze futsi tifake ticelo, ngemuva kwekungeniswa kwemitsetfosimiso lemisha lelawula ticelo kanye nekufaneleka kutfola lesibonelelo sahulumende.
","Tsamaiso ya go dira dikopo butswe ka la bo 23 Moranang 2022 mme dirisa fela mafaratlhatlha thekenoloji go kgontsha gore go direlwe ka bonako..     Mogolo ono botlhokwa thata mo go thuseng malapa a tlhokang lehuma le botlhokatiro di ka bong di sa bolo go itelekela mo go ona.
",0.7685927
