src_text,tgt_text,cosine_score
"Ditiro tsa Tsamaiso ya Matlhotlhapelo tse go Samaganweng le Tsona go Latela gore go nne le Merwalela.
","Malawulelo ya timhangu endzhaku ka mikhukhulo.
",0.8330729
"Kabinete rometse matshediso go batho botlhe ba ba latlhegetsweng ke ba ba ba ratang mo merwaleleng ya fa gautshwane e tlisitseng ditshenyegelo tse di masisi e amileng dikarolo di le mmalwa tsa naga ya rona, bogolo segolo KwaZulu-Natala..     Dikgato tsa go Baya Dikarolo tseno mo Maemong Matlhotlhapelo Bosetšhaba mmogo le dikgato tsa go thusa baagi ka matlole a tlhokegang tse di itsisetsweng ke Moporesidente Cyril Ramaphosa fa gautshwane, maitlhomo tsona ke go netefatsa gore maphata otlhe puso tsaya dikgato tse di rulagantsweng sentle le tse di tla nnang mosola mo go samaganeng le maemo ano, mme seno se tla diriwa ka go dirisa Tikwatikwe ya Naga e Samaganang le Matlhotlhapelo..     Bilione ya diranta puso e abileng dirisediwa go tshegetsa dikgato tsa go ritibatsa maemo le tsa go busetsa maemo ditirelo tse di botlhokwa sekeng mmogo le go abelana ka ditirelo tsa botho tse di jaaka go ba rekela dijo, go ba tlela metsi le go ba batlela bodulo, dintlwanaboithusetso le diaparo..     Tirego ya go aga sešwa mafelo a amegileng setse simolotswe jaaka batho ba naga ya gaetsho ba kopane mo maikemisetsong bona go thusa ba ba latlhegetsweng ke magae le dithoto tsa bona.
","Khabinete yi hundzise michavelelo eka vanhu hinkwavo lava va lahlekeriweke hi varhandziwa va vona eka mikhukhulo yo onhetela leya ha ku vaka kona leyi yi hlaseleke swiphemu swo tala swa tiko ra ka hina, ngopfungopfu KwaZulu-Natal..     Xitiviso xa Xiyimo xa Rixaka xa Mhangu na miphalalo ya vanhu na ikhonomi leya ha ku tivisiwaka hi Phuresidente Cyril Ramaphosa, sa yi lava ku tiyisisa leswaku ku va na angulo lowu tirhaka kahle na ku va lowu hlanganisiweke eka swiyenge hinkwaswo swa mfumo, hi ku tirhisa Senthara ya Malawulelo ya Timhangu ya Rixaka..     R1 ya biliyoni leyi endliweke yi kumeka hi mfumo  yi le ku tirhisiweke ku seketela mphalalo na matshalatshala yo hlakarhela, ku vuyisela vukorhokeri bya masungulo na ku nyika mpfuneto wa nhlayiseko wa vanhu hi xivumbeko xa swakudya, mati, vutumbelo, nkululo na swiambalo..     Phurosese ya ku aka hi vuntshwa tindhawu leti hlaseriweke se yi sungurile tanihiloko vanhu va tiko ra ka hina va ri karhi va vumba vun'we ku pfuneta lava va lahlekeriweke hi makaya ya vona na nhundzu ya vona.
",0.9390044
"Tshedimosetso ka Bolwetse jwa Mogare wa Corona (COVID-19).
","Vuxokoxoko byintshwa hi mayelana na Vuvabyi bya Khoronavhayirasi (COVID-19).
",0.9158538
"Kabinete tshwentswe ke go tlhatlhoga ga fa gautshwane ga ditshwaetso tsa COVID-19 mo dikarolong dingwe tsa naga mme ikuetse go batho botlhe go tsaya dikgato tsa go itshireletsa kgatlhanong le mogare o kotsi ono, bogolo segolo mo marigeng.
","Khabinete yi lemuke hi ku vilerisiwa hi ntlakuko lowa ha ku vaka kona eka mitluletavuvabyi ya COVID-19 eka swiphemu swin'wana swa tiko naswona yi hlohlotele vanhu ku teka magoza yo sirhelela ku tisirhelela ehenhla ka xitsongwatsongwana lexo dlaya, ngopfungopfu hi vuxika.
",0.93665737
"Mogare ono sa ntse re tsenya tsebetsebe mme go tlhabela moento sale ntse le yona tsela e botoka go gaisa re ka itshireletsang ka yona.
","Xitsongwatsongwana lexi xa ha ri nxungeto lowu nga cincacinciki naswona nsawutiso wu tshama wa ha ri xitlhavana lexo tirha kahle swinene ku tisirhelela.
",0.92108935
"Kabinete itumelela gore batho ba le bantsi ba tswelela go tsaya tshweetso ya go tlhabela moento go nna ona ba itshireletsang ka ona kgatlhanong le COVID-19 mme seno se latela gore dipalopalo tsa fa gautshwane di bontshe gore mo bathong botlhe ka fa nageng re setse re fitlheletse palo e fetang halofo ya bona ya batho ba ba tlhabetseng meento mo diporofenseng tse tlhano.
","Khabinete yi tsakisiwa hi leswaku vanhu vo tala va ya emahlweni va hlawula nsawutiso tanihi ntila wa vona wo sungula wa vusirheleri ehenhla ka COVID-19 endzhaku ka tinhlayonhlayo leta ha ku vaka kona leti kombeke leswaku hi fikelerile ndzimakulu ya kutlula wa tiphesente ta misawutiso ya vanhu lavakulu eka ntlhanu wa swifundzakulu.
",0.90886605
"Kabinete ikuela go ba ba iseng ba entiwe go ya go tlhabela moento gore ba tle ba itshireletse bona le ba ba tshelang mmogo le bona.
",".
",0.5409017
"Gape rotlhe re tshwanetse go tswelela go obamela dikgato tsotlhe tsa thibelo ya COVID-19, go akarediwa go rwala mmaseke o tswalang nko le molomo, go tlhapa diatla ka metsi le sesepa, go tsikitletsa diatla ka sebolayamegare se 70% ya sona leng alekhoholo, le go katogana le batho ba bangwe..     Mogolo wa go Inola Batho mo Tshotlegong (SRD).
","Khabinete yi kombela lava va nga si sawutisiwaka ku endla tano ku tisirhelela vona na varhandziwa va vona.
",0.6910585
"Kabinete rotloetsa baagi ba ba amogelang R350 ya madi thuso SRD go dira dikopo sešwa, go latela kitsiso ya melawana mentšhwa e laolang makwalokopo le go nna le tshiamelo ya madi thuso..     Dikopo di ka dirwa mo webosaeteng ya Setheo sa Aforika Borwa sa Tshireletso ya Loago (SASSA): https://srd.sassa.gov.za/.
","Hi fanele ku tlhela hinkwerhu hi ya emahlweni hi landzelela milawu yo sivela ya COVID-19, ku katsa na ku ambala masiki leyi yi funengetaka havumbirhi bya nhompfu na nomu, ku hlamba swandla hi mati na xisibi, kumbe ku tirhisa sanithayizara ya swandla leyi nga na xihoko xa 70%, ku hlayisa mpfhuka exikarhi ka vanhu lowu hlayisekeke wa mpimohansi wa mitara yin'we..     Malimpfuneto ya Mphalalo wa Vanhu wa Ntshikelelo (SRD) .
",0.77493215
"Tsamaiso ya go dira dikopo butswe ka la bo 23 Moranang 2022 mme dirisa fela mafaratlhatlha thekenoloji go kgontsha gore go direlwe ka bonako..     Mogolo ono botlhokwa thata mo go thuseng malapa a tlhokang lehuma le botlhokatiro di ka bong di sa bolo go itelekela mo go ona.
","Khabinete yi khutaze vaakatiko lava kumaka Malimpfuneto ya SRD ya R350 SRD ku endla swikombelo hi vuntshwa, endzhaku ka ku tivisiwa ka yswinawana swintshwa leswi fumaka swikombelo na mfikeleleko wa malimpfuneto leyi.
",0.76515573
"Puso tota ikemiseditse go thusa batho ba ba humanegileng ka megolo ya yona gore le bona ba kgone go nna le tse ba di tlhokang.
","Swikombelo swi nga nghenisiwa eka webusayiti ya Ejensi ya Nsirhelelo wa vanhu ya Afrika-Dzonga (SASSA): https://srd.sassa.gov.za/.
",0.5211867
"Pabalesego le Tshireletsego.
","Sisiteme ya swikombelo yi pfurile hi siku ra 23 Dzivamisoko 2022 naswona phurosese ya xidijitali hi vutalo ku kotisa ku hleriwa ko hatlisa ka swikombelo..     Malimpfuneto ya mphalalo ritavala ra vuhlayiseki ra nkoka eka mindyangu leyi dinga leyi nkarhi wun’wana ti va yi onheteriwile hi mpingu wa vusweti na mpfumaleko wa mitirho.
",0.10044493
"Kabinete tswelela go kgala ka mafoko a bogale dipolao tse di setlhogo tsa basadi mme lebogile dikgato tsa ka bonako tse mapodisi ba di tsereng mo go tshwareng babelaelwa mo kgetseng ya polao ya Mme Hillary Gardee (28), wa kwa Kamagugu kwa Mpumalanga.
","Mfumo wa tiboha ku nyika mpfuneto wa vanhu eka lava nga sirhelelekangi ngopfu ku endlela leswaku va kota ku fikelela swidingo swa vona swa masungulo.
",0.6405487
"Gape Kabinete kgadile ka mafoko a bogale polao ya batho ba le barataro kwa Khayelitsha, kwa Motsekapa.
","Nhlayiseko na nsirhelelo.
",0.18668222
"Dipolao tse di setlhogo di re gakolola gore re tshwanetse go dira go feta ga jaana jaaka setšhaba go fedisa tirisodikgoka le tirisodikgoka mo bathong ba bong jo bo rileng mmogo le polao ya basadi le bana (GBVF).
","Khabinete yi ya emahlweni yi sola ku dlayiwa ko pfumala xivangelo ka vavasati naswona yi amukerile angulo wa xihatla hi vaofisiri va nsindziso wa nawu eka ku khomiwa ka vaehleketeleriwa hi mayelana na rifu ra Mnn Hillary Gardee (28), wa le Kamagugu eMpumalanga.
",0.68713474
"Kabinete ikuela mo bathong botlhe mo nageng go dira le puso mo ntweng kgatlhanong le bosenyi le GBVF.
","Khabinete yi ye emahlweni yi sola ku dlayiwa ka tsevu wa vanhu eKhayelitsha, Kapa.
",0.71151483
"Mmogo re ka dira bonnete jwa gore batho botlhe, go akarediwa bagodi, basadi le bana ba bona mafelo re nnang mo go ona le mebila ya ona babalesegile..     Ikonomi.
","Ku dlaya loku ko pfumala xivangelo xitsundzuxo xa leswaku hi boheka ku endla swo tala tanihi rixaka ku herisa madzolonga na madzolonga yo ya hi rimbewu na ku dlayeteriwa ka vaxisati (GBVF)..     Khabinete yi hlohlotele vanhu hinkwavo etikweni ku tirha na mfumo eka lwisana na vugevenga na GBVF.
",0.73561096
