src_text,tgt_text,cosine_score
"Merero ya ga Jaanong.
","Imiba enguNdaba-mlonyeni.
",0.49330926
"Motlakase.
","Ezamandla.
",0.6234804
"Kabinete nopotse kgatelopele e setseng dirilwe mo go tsenyeng tirisong Leano la Naga la go Tseela Motlakase Dikgato bile a dumelana gore go santse go le gontsi go go santseng go tlhoka go diriwa mo go baakanyeng diyuniti tsa tlamelo ya motlakase ka fa nageng..
","IKhabhinethi iwuncomile umsebenzi osele wenziwe malunga nokuqaliswa ukusetyenziswa kwesiCwangciso sokuSebenza soMbane, nangona ivumile ukuba iziko lombane lesizwe liseneengxakana elijongene nazo.
",0.8451115
"Jaaka naga tsena mo marigeng, Kabinete itumedisitswe ke konteraka e sa tswang go garelwa ya dimekawate di le 400 ya go oketsa motlakase ka Letsholo la go Reka Motlakase mo Ditlamong tse di Nang le Motlakase Montsi go Feta di Dirisang mme motlakase ono tla gokelelwa mo diyuniting tsa rona tsa motlakase pele kgwedi ya Motsheganong 2023 konosela..
","Njengokuba singena kwixesha laseBusika kweli lizwe, iKhabhinethi ikwamkele ukuqukunjelwa kwesiVumelwano sombane ozimegawathi (i-MW) ezingama-400 eziza kongezwa kulo sinawo ovela kwinkqubo ebizwa i-Standard Offer Programme oza kugalelwa kulo wesizwe phambi kokuphela kukaCanzibe wowama-..
",0.86552477
"Mo godimo ga seno, Lefapha la Boitekanelo le nopotse maokelo le 213 a sa tshwanelwang ke go kgorelediwa ke go tshabela ruri ga motlakase, mo go ona le 76 ke ao ntseng sa itemogele matsapa ano mme tiro ya go oketsa palo eno ka maokelo mangwe gape le 46 gatetse pele mo go bonagalang..
","Ukongeza, iSebe lezeMpilo likhethe izibhedlela ezingama-213 ezingazikuchatshazelwa ngucimi-cimi wombane.
",0.8191478
"Kabinete itumedisitswe gape le ke thankgololo e solofetsweng ya Lefelo la Ditirelo tse Dintsi tsa Merero ya Motlakase ka la bo 31 Motsheganong 2023 le le tla thankgololwang ke ba Dipeeletso tsa Naga ya Aforika Borwa leng selo se se tla potlakisang dithulaganyo tsa go ikobela melao go tswela thuso ditlamo tse dintšhwa tsa motlakase gore le tsona di kgone go thusa nopotse kgatelopele e setseng dirilwe kwa Seteišeneng sa Motlakase sa Kusile go busetsa tirisong dimekawate di le 3 200 tsa yuniti ya bo 1, 2, 3 le 5 tsa motlakase mo bokhutlhong jwa ngwaga wa..
","Kwezi zibhedlela, ezingama-76 sele zixhamla kule nkqubo yokungachatshazelwa ngucimi-cimi wombane, kwaye sele equkunjelwa amalungiselela ezinye ezingama-46 okuzikhusela kule ngxaki kacimi-cimi wombane.
",0.7194005
"Kabinete santse tlhobaediwa ke dikgang tsa maaka tse di tswelelang go phasaladiwa mo mafaratlhatlheng ditlhaeletsano tse di reng naga tlo welwa ke lefifi la go tlhoka motlakase ka ntlha ya go phutlhama ga diyuniti tsotlhe tsa tlamelo ya motlakase.
","IKhabhinethi iphinde yawamkela nalo msebenzi uzayo wokusekwa kweZiko lezaMandla elinguNtozonke ngomhla wama-31 kuCanzibe 2023 yi-Invest SA ngeenjongo zokukhawulezisa iinkqubo zokuqulunqa imithetho eza kwenza ukuba kube lula kwiinkampani ezintsha ezivelisa umbane ukuba ziqalise umsebenzi wazo wokuvelisa umbane..
",0.7764563
"Eskom netefaleditse puso gore na le maano go tlhokomela diyuniti tseno go dira gore naga se iphitlhele mo seemong sa go welwa ke lefifi.
","Ivile nangomsebenzi osele wenziwe kwiZiko loPhehlo-mbane laseKusile sokuba iphinde ivelise umbane ongama-3 200 MW isebenzisa i-unithi 1, 2, 3 no-5 oza kugalelwa kulo wesizwe phambi kokuba lo nyaka wama-2023 uphele.
",0.67219377
"Kabinete santse boeletsa boikuelo jwa yona jwa gore batho botlhe ka fa nageng ya Aforika Borwa ba tshwanetse go boloka motlakase.
","IKhabhinethi ixhalabile zindaba ezibubuvuvu ezisasazwa ngabantu besebenzisa amakhasi onxibelelwano ezityhola ngokuba iziko lombane leli liza kuwa into leyo eza kubangela ukuba isizwe sonke sibe sebumnyameni.
",0.77161455
"Maitlhomo ke go boloka motlakase yo kanaka dimekawate di le 1 000 ka letsatsi, mme seno se tla kgona go fokotsa motlakase o tshabetseng ruri ka kgato le nngwe letsatsi le letsatsi.
","U-Eskom umxelele urhulumente ukuba unazo izicwangciso zokulalelisela xa kunokwenzeka ukuba umbane ucime pam kwizwelonke.
",0.68934083
"Tona ya Merero ya Motlakase, Ngaka Kgosientsho Ramokgopa, mo kopanong le bobegakgang ka Labotlhano wa la bo 26 Motsheganong 2023 tla baya naga mo dinakong ka dikgato tse di tserweng mo go tsenyeng tirisong Leano la go Tseela Motlakase Dikgato.
","IKhabhinethi iyaqhuba nekhwelo eyayilihlabile lokuba bonke abantu abaseMzantsi Afrika mabonge umbane.
",0.72748077
"Boitekanelo.
","Iinjongo zethu kukuba sikwazi ukonga umbane oli-1 000 MW yonke imihla, umyinge lowo ulingana nenqanaba elinye lokucinywa kombane ngosuku ngalinye.
",0.12108702
"Go tloga ka la bo 24 Motsheganong 2023 Puso tlhomile Komiti ya Merero ya Setegeniki e eteletsweng pele ke Lefapha la Boitekanelo la Naga, go samagana le bolwetse jwa Kholera jo bo weleng kwa Hammanskraal mo masepaleng wa Teropo ya Tshwane, jo ga jaana bo setseng bo fetile ka matshelo le..
","UMphathiswa wezoMbane, uGq Kgosientsho Ramokgopa, uza kunika ingxelo ngeza kutsha nje malunga nokuqaliswa ukusetyenziswa kwesiCwangciso sokuSebenza sezaMandla ngoLwesihlanu, umhla wama-26 kuCanzibe 2023, kwintlanganiso aza kube eyibambe noonondaba.
",0.82555544
"Go samaganwe le namane tona ya tiro ya go batlisisa gore bolwetse jono bo runtse kae ka tswa le mo metsweding ya metsi, diteroko tse di isetsang baagi metsi, mo dipompong le mo Seteišeneng sa go Tlhatswa Metsi a Leswe sa Rooiwal (WWTW).
","Ezempilo.
",0.2546774
"Go fitlha mo motsing ono, ga go bopaki bope jo bo bontshang fa go na le kokwana ya kholera mo metsweding yotlhe eno, mme seno se re raya se re go wa ga bolwetse jono ke ka ntlha ya tiragalo le nngwe e diragetseng ga jaana fetileng mme balwetse ba bangwe ba ba tlhagelelang ga jaana ke ka ntlha ya fa ba tshwaetsana.
","Urhulumente useke ikomiti yeengcali, ekhokelwa liSebe lezeMpilo likaZwelonke, eza kujongana nale ngxaki yokuqhambuka kwesifo sotyatyazo e-Hammanskraal kwisiXeko sase-Tshwane, apho sele kusweleke abantu abali-15 ngokweengxelo zomhla wama-24 kuCanzibe..
",0.75332713
"Jaaka go tsweletswe ka ditharabololo, baagi ba motse wa Hammanskraal ba rotloediwa gore ba bedise metsi a tswang mo dipompong mme ba topetse letswatswana pele ba ka nwa.
","Sithetha nje uyaqhuba umsebenzi omkhulu wokuzingela izinto ezinokuba zizo ezingcolise amanzi, ukusuka emanzini la uqobo, ukuya kwiiloli ezithutha amanzi, iimpompo zamanzi kunye ne-Rooiwal Wastewater Treatment Works (i-WWTW).
",0.7679086
"Se sengwe gape, fa motho berekwa ke mala feroga dibete kgotsa na le matshwao motho yo tshwerweng ke mala motho yoo lebe kokelong kgotsa kwa tleliniking ya kwa motseng yo leng mo go ona.
","Ukuza kuthi ga ngoku, akukabikho bungqina bukhomba ukuba intsholongwane yesifo sotyatyazo ifumaneka kwezi zinto zikhankanyiweyo, into leyo ke efuna ukuhambelana nalo mbono uthi kungenzeka ukuba olu qhambuka lubangelwe yile ntsholongwane ethe yangena ngebhaqo emanzini, baze ke aba bantu banaso ngoku babe bosulelwe ngabanye abantu okanye bosulelwe ngabo nabo bosulelweyo.
",0.82738787
"Tona ya Lefapha la Metsi le Kgeleloleswe, Rre Senzo Mchunu tla ikopanya le Meyara wa Masepala wa Teropo ya Tshwane, Mokhanselara Cilliers Brink, ka Labotlhano 26 Motsheganong 2023 maitlhomo le go loga leano mmogo la go samagana le go aga sešwa Rooiwal WWTW..
","Njengoko la malinge okungenelela eqhuba, abahlali base-Hammanskrral bayacelwa ukuba bawabilise amanzi aphume empompeni baze bawathi chatha intwana yetyuwa phambi kokuba bawasele.
",0.77352726
"Go bona tshedimosetsoka botlalo ka letsetsa mogala wa tshoganyetso o dirang bosigo le motshegare wa Setheo sa Naga sa Malwetse a Fetelanang (NICD) mo go 082 883.
","Ukongeza, nabani na osesisu esihambisayo, onesicaphu-caphu okanye olunywa sisisu kufuneka aye kwagqirha okanye kwiklinikhi ekufutshane ngokukhawuleza.
",0.6870276
"Maele go okobatsa bolwetse jwa kholera teng mo go www.nicd.ac.za.
","UMphathiswa wezaManzi noGutyulo, uMnu Senzo Mchunu, uza kubamba intlanganiso noSodolophu wesiXeko sase-Tshwane, uCeba u-Cilliers Brink, ngoLwesihlanu, umhla wama-26 kuCanzibe 2023 apho baza kupheka isicwangciso bobabini esiza kwenza umsebenzi ofanele ukuba wenziwe kudala wokulungiswa kwe-Rooiwal WWTW.
",0.6475719
"Dipatlisiso tsa Kgweditharo tsa Dipalopalo tsa Badiri (QLFS).
","Xa ufuna iinkcukacha ezithe vetshe, tsalela umnxemba iZiko leSizwe leziFo ezoSulelayo (i-NICD) elisebenza imini nobusuku kule nombolo: 082 883.
",0.5324572
"Kabinete tiisiwa mmoko ke seo pegelo ya 2023 ya QLFS se tlhagisang mo palo ya batho ba ba thapiwang tlhatlogileng garataro mo dikotareng ka go latelana mme palo ya batho ba ba nang le ditiro ba le.
","Iindlela zokunyanga isifo sotyatyazo ziyafumena ku-intanethi apha: www.nicd.ac.za.
",0.6842657
