src_text,tgt_text,cosine_score
"10 Mudyaxihi – Ku tlangela ka vu29 ka ku Vekiwa Exitulwini ka presidente wo sungula loyi a hlawuriweke hi ndlela ya xidemokirasi
","Umhla we-10 kuCanzibe – isiKhumbuzo sama-29 sokuBekwa kukamongameli wokuqala owonyulwa ngokwentando yesininzi
",0.91237843
"Nhlengeletano leya Khabinete yi vile kona 29 wa malembe kwatsa, eka siku leri Presidente Nelson Mandela a vekiweke exitulwini harona tanihi Presidente wo sungula wa Afrika-Dzonga ya xidemokirasi hi siku ra vu10 Mudyaxihi 1994.
","Intlanganiso yeKhabhinethi ibanjwe kanye emva kweminyaka engama-29 emva kokubekwa ngokusesikweni kukaMongameli Nelson Mandela njengoMongameli wokuqala woMzantsi Afrika olawulwa ngokwentando yesininzi ngomhla we-10 kuCanzibe 1994.
",0.9171931
"Endzhaku ka malembexidzana manharhu na hafu ya xikoloni na nhluvukiso wo hambana laha ku va munhu a kota ku fikelela vukorhokeri bya masungulo a swi ya hi muhlovo wa nhlonge ya munhu, Afrika-Dzonga ya xidemokirasi yi vekile swikongomelokulu swa nhluvukiso leswi katsaka hinkwavo ku fikelela rixaka leri humelelaka, leri nga yiki hi nghohe, leri nga yiki hi rimbewu na ku va ro ringana.
","Emva kweenkulungwana ezintathu ezinesiqingatha phantsi kwenkqubo yobukholoniyali kunye neyocalu-calulo apho ilungelo lomntu lokufumana iinkonzo ezisiseko lalixhomekeka kwibala lakhe, uMzantsi Afrika olawulwa ngokwentando yesininzi wamisela iinjongo zophuhliso eziza kusiza kwisizwe esiqhubela phambili, esingacaluli ngokwebala, ngokwesini nesinolingwano.
",0.9477559
"Loko mivuyelo yo tala yi endliwile kusukela hi 1994, ka ha ri na swo tala swinene leswi faneleke ku endliwa ku fikelela swikongomelokulu swa tiko swa nhluvukiso.
","Nangona umninzi umsebenzi owenziweyo ukususela ngowama-1994, kusekuninzi ekufuneka kwenziwe ukuze sizalisekise la maphupha eenjongo zophuhliso.
",0.8998206
"Bangikulu ya Afrika-Dzonga yi humesile mitlhandlamano leyi antswisiweke ya timali ta phepha na swingwece, leswi tlangelaka xidemokirasi xa hina xa vumbiwa na ku xixima murhandziwa wa hina Madiba.
","IBhanki enguVimba yoMzantsi Afrika ikhuphe imali entsha ephuculiweyo engamaphepha nezingqekembe, ebhiyozela urhulumente wethu olawulwa ngokomgaqo-siseko futhi ikwenza oku ngelokuhlonipha utata wethu uMadib’omde.
",0.92476374
"Nhlengeletano ya Xiymo xa le Henhla ya Rihanyo ya Presidente
","INgqungquthela kaMongameli yezeMpilo
",0.93593466
"Nhlengelatano ya Xiyimo xa le Henha ya Rihanyo ya Presidente leyi yi khomiweke hi 4-5 Mudyaxihi 2023 yi kongomise eka kaye wa tiphuphu ta Ntwanano wa Rihanyo wa Presidente: vatirhi ku fikelela murhi, misawutiso na swikumiwa swa rihanyo switirhisiwakulu mbulavurisano na sekitara leyi nga riki ya mfumo nhlayiso wa rihanyo wa xiyimo xa le henhla ku antswisiwa ka malawulelo ya timali ta sekitara ya mfumo mafumelo na vurhangeri mivulavurisano na vaaki vufambisi bya mahungu na ku tilulamislelela mitungukulu.
","INgqungquthela kaMongameli yezeMpilo yesibini ibibanjwe ngomhla wesi-4 nowesi-5 kuCanzibe 2023 ibigxile kwiintsika ezisithoba zesiVumelwano sikaMongameli sezeMpilo: abasebenzi ukufumaneka kwamayeza, amachiza okuthintela kunye neemveliso zempilo iziseko zophuhliso ukubonisana necandelo labucala iinkonzo zempilo ezisemgangathweni ukuphucula indlela urhulumente azilawula ngayo izimali ezolawulo nobunkokeli ukufakana imilomo noluntu iinkqubo zolwazi kunye nokulungela oobhubhane.
",0.9239357
"Wun'wana wa mivuyelo ya Nhlengeletano ya Xiyimo xa le Henhla a ku ri ku tiyimisela loku pfuxetiweke ko simeka Ndzindzakhombo wa Rihanyo ra Rixaka (NHI).
","Esinye seziphumo sale Ngqungquthela kukuzibophelela ngokutsha kumba wokuphunyezwa kwe-Inshorensi yeSizwe yezeMpilo (i-NHI).
",0.89992285
"Lexi i xiphemu xa nongoloko wo hunguta ku hambana eka ku fikelela vukorhokeri bya nhlayiso wa rihanyo hi ku hunguta ndzhwalo wa timali eka ku fikelela vukorhokeri bya nhlayiso wa rihanyo.
","Oku kuyinxalenye yenkqubo yokuphungula umsantsa okhoyo kwindlela esifikelela ngayo kwiinkonzo zempilo ngokuphungula umyinge wemali efunwayo ukuze umntu afumane iinkonzo zempilo ezisemgangathweni.
",0.9151122
"Khabinete yi amukela ku amukeriwa ka magoza lama lavekaka ku tiyisa sisiteme ya rihanyo na ku hatlisisa ku cinca ka NHLeswi swi yisa tisisiteme ta hina ta rihanyo ekusuhi na ku korhokela vanhu va Afrika-Dzonga ku antswa.
","IKhabhinethi ichulumancile kukwamkelwa kwamanyathelo afunekayo ukuvuselela icandelo lezempilo kunye nokukhawulezisa utshintsho oluza kuza ne-NHOku kuza kwenza iinkonzo zempilo zeli zisondele kwinqanaba lokukwazi ukunceda abemi boMzantsi Afrika ngcono..Ezamandla
",0.9419487
