src_text,tgt_text,cosine_score
"Malawulelo ya timhangu endzhaku ka mikhukhulo.
","Ukuphathwa kwenhlekelele emuva kokuhlasela kwezikhukhula.
",0.94592804
"Khabinete yi hundzise michavelelo eka vanhu hinkwavo lava va lahlekeriweke hi varhandziwa va vona eka mikhukhulo yo onhetela leya ha ku vaka kona leyi yi hlaseleke swiphemu swo tala swa tiko ra ka hina, ngopfungopfu KwaZulu-Natal..     Xitiviso xa Xiyimo xa Rixaka xa Mhangu na miphalalo ya vanhu na ikhonomi leya ha ku tivisiwaka hi Phuresidente Cyril Ramaphosa, sa yi lava ku tiyisisa leswaku ku va na angulo lowu tirhaka kahle na ku va lowu hlanganisiweke eka swiyenge hinkwaswo swa mfumo, hi ku tirhisa Senthara ya Malawulelo ya Timhangu ya Rixaka..     R1 ya biliyoni leyi endliweke yi kumeka hi mfumo  yi le ku tirhisiweke ku seketela mphalalo na matshalatshala yo hlakarhela, ku vuyisela vukorhokeri bya masungulo na ku nyika mpfuneto wa nhlayiseko wa vanhu hi xivumbeko xa swakudya, mati, vutumbelo, nkululo na swiambalo..     Phurosese ya ku aka hi vuntshwa tindhawu leti hlaseriweke se yi sungurile tanihiloko vanhu va tiko ra ka hina va ri karhi va vumba vun'we ku pfuneta lava va lahlekeriweke hi makaya ya vona na nhundzu ya vona.
","IKhabhinethi lidlulise amazwi enduduzo kubo bonke abantu abashonelwe ngabathandiweyo babo ezikhukhuleni zakamuva ezidale umonakalo owesabekayo ezihlasele izingxenye eziningana zezwe lethu, ikakhulukazi isifundazwe saKwaZulu-Natali..     Ukumenyezelwa kweSimo Senhlekelele Sikazwelonke kanye nezinhlelo zosizo lokungenelela eziphathelene nenhlalo-mnotho yabantu ezimenyezelwe nguMongameli u-Cyril Ramaphosa kamuva nje, bekuhloswe ngakho ukuqinisekisa ukuthathwa kwezinyathelo ezisebenza kahle futhi ezihambelanayo kuzo zonke izinhlaka zikahulumeni, ngokusebenzisa iSizinda Sikazwelonke Sokuphathwa Kwenhlekelele..     Imali eyisigidigidi esisodwa samarandi ehlinzekwe nguhulumeni isetshenziselwa ukulekelela imizamo yokweseka nokuvuselela, ukubuyisela ukuhlinzekwa kwezidingo-ngqangi kanye nokuhlinzeka ngosizo lokunciphisa usizi nenhlupheko kubantu okusho ukuhlinzeka ngokudla, amanzi, indawo yokuhlala, ukuthuthwa kwendle kanye nezingubo zokugqoka..     Seyiqalisiwe kakade inqubo yokwakha kabusha izindawo ezikhahlamezekile njengoba abantu bezwe lakithi bebambene ngezandla ekuzimiseleni kwabo ukulekelela labo abalahlekelwe ngamakhaya abo kanye nempahla yabo.
",0.9639079
"Vuxokoxoko byintshwa hi mayelana na Vuvabyi bya Khoronavhayirasi (COVID-19).
","Ezakamuva ngeSifo Segciwane le-Corona (i-COVID-19).
",0.93987477
"Khabinete yi lemuke hi ku vilerisiwa hi ntlakuko lowa ha ku vaka kona eka mitluletavuvabyi ya COVID-19 eka swiphemu swin'wana swa tiko naswona yi hlohlotele vanhu ku teka magoza yo sirhelela ku tisirhelela ehenhla ka xitsongwatsongwana lexo dlaya, ngopfungopfu hi vuxika.
","IKhabhinethi lizwakalise ukukhathazeka kwalo ngokudlondlobala kwenani labantu abasuleleka nge-COVID-19 kamuva nje ezingxenyeni ezithile zezwe futhi linxuse abantu bonke ukuba bathathe izinyathelo zokuzinakekela nokuqikelela impilo yabo ukuze bazivikele kuleli gciwane elibulalayo, ikakhulukazi esikhathini sasebusika.
",0.9210578
"Xitsongwatsongwana lexi xa ha ri nxungeto lowu nga cincacinciki naswona nsawutiso wu tshama wa ha ri xitlhavana lexo tirha kahle swinene ku tisirhelela.
","Igciwane liselokhu liyingozi esihleli nayo ngaso sonke isikhathi phakathi kwethu futhi ukugonywa kusalokhu kuyisona sikhali sokuzivikela esisebenza kahle kakhulu.
",0.93705064
"Khabinete yi tsakisiwa hi leswaku vanhu vo tala va ya emahlweni va hlawula nsawutiso tanihi ntila wa vona wo sungula wa vusirheleri ehenhla ka COVID-19 endzhaku ka tinhlayonhlayo leta ha ku vaka kona leti kombeke leswaku hi fikelerile ndzimakulu ya kutlula wa tiphesente ta misawutiso ya vanhu lavakulu eka ntlhanu wa swifundzakulu.
","IKhabhinethi liyakuthokozela ukukhula kwesibalo sabantu abaqoka ukugonywa njengendlela yokuqala yokuzivikela ku-COVID-19 emuva kokuthi izibalo zakamuva zibonise ukuthi isibalo sabantu abadala asebegonyiwe ezifundazweni ezinhlanu sesikhule saze sayofinyelela enanini eliyingqophamlando elingaphezu kwamaphesenti angama-.
",0.9237083
".
",".
",1.0000002
"Khabinete yi kombela lava va nga si sawutisiwaka ku endla tano ku tisirhelela vona na varhandziwa va vona.
","IKhabhinethi liyabanxusa labo abangakagonywa ukuthi nabo benze kanjalo ukuze bazivikele futhi bavikele nabathandiweyo babo.
",0.9530907
"Hi fanele ku tlhela hinkwerhu hi ya emahlweni hi landzelela milawu yo sivela ya COVID-19, ku katsa na ku ambala masiki leyi yi funengetaka havumbirhi bya nhompfu na nomu, ku hlamba swandla hi mati na xisibi, kumbe ku tirhisa sanithayizara ya swandla leyi nga na xihoko xa 70%, ku hlayisa mpfhuka exikarhi ka vanhu lowu hlayisekeke wa mpimohansi wa mitara yin'we..     Malimpfuneto ya Mphalalo wa Vanhu wa Ntshikelelo (SRD) .
","Kumele futhi siqhubeke nokulandela yonke imigomo yokuzivikela kwi-COVID-19, kubandakanya ukugqoka isifonyo esimboza kokubili ikhala nomlomo, ukugeza izandla ngamanzi nensipho, noma sisebenzise isibulali-magciwane sezandla esiqukethe i-alcohol engama-70%, futhi sigcine ibanga eliphephile okungenani eliyimitha elilodwa lokuqhelelana phakathi kwethu nabanye abantu emphakathini..     Isibonelelo Sosizo Olubhekiswe Kubantu Abagajwe Wusizi Nenhlupheko (i-SRD).
",0.9617959
"Khabinete yi khutaze vaakatiko lava kumaka Malimpfuneto ya SRD ya R350 SRD ku endla swikombelo hi vuntshwa, endzhaku ka ku tivisiwa ka yswinawana swintshwa leswi fumaka swikombelo na mfikeleleko wa malimpfuneto leyi.
","IKhabhinethi likhuthaze izakhamuzi ezithola iSibonelelo se-SRD esingama-R350 ukuba zifake izicelo zazo kabusha, kulandela ukwethulwa kwemithethonqubo emisha elawula izicelo kanye nemibandela yokufaneleka kwabantu ukuthola lesi sibonelelo.
",0.9566087
"Swikombelo swi nga nghenisiwa eka webusayiti ya Ejensi ya Nsirhelelo wa vanhu ya Afrika-Dzonga (SASSA): https://srd.sassa.gov.za/.
","Izicelo zingafakwa kwiwebhusayithi yoPhiko LweziMpesheni Nezibonelelo Zikahulumeni lwaseNingizimu Afrika (i-SASSA): https://srd.sassa.gov.za/.
",0.95668757
