src_text,tgt_text,cosine_score
"Ndangulo ya tshiwo nga murahu ha miḓalo.
","Ulawulo lweentlekele emva kwezikhukhula.
",0.5845363
"Khabinethe yo swikisa maipfi ndiliso kha vhathu vhoṱhe vhe vha ṱutshelwa nga  vhafunwa vhavho kha miḓalo ye ya vhanga tshinyalelo khulwane ine ya kha ḓi tou bva vha hone zwenezwino kha zwipiḓa zwo fhambanaho zwa shango ḽashu, nga maanḓa ngei KwaZulu-Natal..     Zwa ḓivhadzwa ha Tshiimo tsha Tshiwo tsha Lushaka na maga thuso ya ṱhaḓulo kha zwa ikonomi na matshilisano zwe zwa itwa nga Phresidennde Vho Cyril Ramaphosa, zwo livhiswa kha vhona uri hu khou vha na maga khwaṱhaho nahone tshimbidzwaho zwavhuḓi vhukati ha masia oṱhe muvhuso hu tshi shumiswa  Senthara ya Ndangulo ya Tshiwo ya Lushaka.
","IKhabhinethi ithi mabalale ngenxeba bonke abantu abaswelekelwe zizihlobo zabo kwezi zikhukhula zakutsha nje zenze umonakalo omkhulu bezithwaxe iindawo ezithile kweli lizwe lethu, ingakumbi kwiphondo laKwaZulu-Natal.
",0.59223706
"Masheleni linganaho R1 biḽioni a ṋetshedzwa nga muvhuso khou shumiswa kha tikedza ndingedzo dza mvusuluso na ṱhaḓulo vhuedzedza tshumelo dza mutheo khathihi na ṋetshedza thuso ya zwa vhuthu nga vha ṋea zwiḽiwa, maḓi, vhudzulo, tshumelo dza vhuthathazwitzhili na zwiambaro..     Mushumo wa dovha fhaṱa hafhu nga huswa fhethu ho tshinyadzwaho nga miḓalo kati, ngeno vhathu vha shango ḽashu vha tshi khou farana vha vha ṅanda nthihi kha vhuḓiimiseli havho ha thusa avho vho tshinyalelwaho nga mahaya na thundu dzavho.
","Ukubhengezwa kweMeko yeNtlekele kwiZwelonke kunye namanyathelo oncedo kwezentlalo nakwezoqoqosho abhengezwe nguMongameli Cyril Ramaphosa, kuneenjongo zokuqinisekisa ukuba kukho intsebenziswano emandla nebambeneyo kuwo onke amaqoqo karhulumente, ngokusebenzisa iZiko leSizwe loLawulo lweeNtlekele.
",0.5436363
"Mafhungo maswa nga ha Vhulwadze ha Khoronavairasi (COVID-19).
","Le mali iyibhiliyoni yeerandi ikhutshwe ngurhulumente iza kusetyenziselwa ukuncedisa kumaphulo oncedo nawohlangulo, ukubuyisela iinkonzo ezisisiseko kunye nokunikezela uncedo olunxulumene nentlalontle yabantu olufana nokutya, amanzi, iindawo zokufihla intloko, ugutyulo kunye neempahla zokunxiba.
",0.59601605
"Khabinethe yo dzhiela nṱha khathihi na vhilaedzwa nga engedzea ha zwenezwino  ha tshivhalo tsha zwiwo zwa kavhiwa nga vairasi ya COVID-19 kha zwiṅwe zwipiḓa zwa  shango nahone khou  ṱuṱuwedza vhathu vhoṱhe uri vha dzhie maga tsireledzo itela ḓitsireledza kha vairasi iyi re khombo ngaurali, nga maanḓa nga tshifhinga tsha vhuriha.
","Inkqubo yokwakha kwakhona iindawo ebezichaphazelekile sele iqalile njengoko abantu belizwe lakuthi bathe bafunquka ngobuninzi babo bafaka isandla kwabo amakhaya abo adilizwe zizikhukhula baze futhi balahlekelwa nazizinto zabo.
",0.5843262
"Vairasi iyi khou bvela phanḓa na vha khombo tshifhinga tshoṱhe nahone muhaelo ndi wone une swika zwino wa vha tshone tshiṱhavhane tsha vhuhali tsha ḓitsireledza.
","Ezakutsha malunga nesiFo seNtsholongwana ye-Corona (i-COVID-19).
",0.5510125
"Khabinethe khou takadzwa nga fhungo ḽa uri vhunzhi ha vhathu vha khou bvela phanḓa na nanga muhaelo sa tshone tshipileli tshavho tsha thoma kha COVID-19 nga murahu ha musi mbalombalo dza zwenezwino dzo sumbedza uri ro swika kha ḽiga ḽa nṱhesa ḽa fhirisa phesenthe dza 50 dza vhaaluwa vho haelwaho kha mavunḓu maṱanu.
","IKhabhinethi ixhalatyisiwe kukunyuka kwenani labantu abosulelwe yi-COVID-19 kutsha nje kwiindawo ezithile kweli lizwe kwaye ibongoza bonke abantu ukuba bathathe amanyathelo okuzikhusela kule ntsholongwana ingubhubhane, ingakumbi ngeli xesha lasebusika.
",0.61033535
".
","Le ntsholongwane iseyingxaki kuthi sonke kwaye inye indlela yokuyilwa nokuzikhusela kuyo, kukugonya.
",0.051466703
"Khabinethe khou ita khuwelelo kha avho vhane vha athu haelwa uri vha ite ngauralo itela uri vha kone ḓitsireledza khathihi na tsireledza vhafunwa vhavho.
","IKhabhinethi ichulumancile kukubona abantu abaninzi beqhubeleka besebenzisa amachiza okugonya njengezona zixhobo zokuzikhusela kwi-COVID-19 njengoko iingxelo zakutsha nje zichaza ukuba kumaphondo amahlanu ngabantu abadala abangaphezulu kwe-50% asele begonyiwe.
",0.33917034
"Ri tea dovha hafhu ra bvela phanḓa na tevhedza milayo yoṱhe ya thivhela dwadze ḽa COVID-19, hu tshi katelwa na zwa ambara maski une wa thivhedza mulomo na ningo ṱamba zwanḓa nga maḓi na tshisibe kana shumisa sanithaiza ya zwanḓa re na aḽikhohoḽi linganaho 70%, khathihi na sia tshikhala tshi linganaho mithara muthihi vhukati hau na muṅwe muthu..     Magavhelo Ṱhaḓulo ya Thambulo  kha Vhadzulapo (SRD) .
","IKhabhinethi icela abo bangekagonyi ukuba baye kugonya ukuze bakhusele bona kunye nezihlobo zabo.
",0.5718985
