src_text,tgt_text,cosine_score
"Ndangulo ya tshiwo nga murahu ha miḓalo.
","Ukuphathwa kwenhlekelele emuva kokuhlasela kwezikhukhula.
",0.55122554
"Khabinethe yo swikisa maipfi ndiliso kha vhathu vhoṱhe vhe vha ṱutshelwa nga  vhafunwa vhavho kha miḓalo ye ya vhanga tshinyalelo khulwane ine ya kha ḓi tou bva vha hone zwenezwino kha zwipiḓa zwo fhambanaho zwa shango ḽashu, nga maanḓa ngei KwaZulu-Natal..     Zwa ḓivhadzwa ha Tshiimo tsha Tshiwo tsha Lushaka na maga thuso ya ṱhaḓulo kha zwa ikonomi na matshilisano zwe zwa itwa nga Phresidennde Vho Cyril Ramaphosa, zwo livhiswa kha vhona uri hu khou vha na maga khwaṱhaho nahone tshimbidzwaho zwavhuḓi vhukati ha masia oṱhe muvhuso hu tshi shumiswa  Senthara ya Ndangulo ya Tshiwo ya Lushaka.
","IKhabhinethi lidlulise amazwi enduduzo kubo bonke abantu abashonelwe ngabathandiweyo babo ezikhukhuleni zakamuva ezidale umonakalo owesabekayo ezihlasele izingxenye eziningana zezwe lethu, ikakhulukazi isifundazwe saKwaZulu-Natali..     Ukumenyezelwa kweSimo Senhlekelele Sikazwelonke kanye nezinhlelo zosizo lokungenelela eziphathelene nenhlalo-mnotho yabantu ezimenyezelwe nguMongameli u-Cyril Ramaphosa kamuva nje, bekuhloswe ngakho ukuqinisekisa ukuthathwa kwezinyathelo ezisebenza kahle futhi ezihambelanayo kuzo zonke izinhlaka zikahulumeni, ngokusebenzisa iSizinda Sikazwelonke Sokuphathwa Kwenhlekelele..     Imali eyisigidigidi esisodwa samarandi ehlinzekwe nguhulumeni isetshenziselwa ukulekelela imizamo yokweseka nokuvuselela, ukubuyisela ukuhlinzekwa kwezidingo-ngqangi kanye nokuhlinzeka ngosizo lokunciphisa usizi nenhlupheko kubantu okusho ukuhlinzeka ngokudla, amanzi, indawo yokuhlala, ukuthuthwa kwendle kanye nezingubo zokugqoka..     Seyiqalisiwe kakade inqubo yokwakha kabusha izindawo ezikhahlamezekile njengoba abantu bezwe lakithi bebambene ngezandla ekuzimiseleni kwabo ukulekelela labo abalahlekelwe ngamakhaya abo kanye nempahla yabo.
",0.7452968
"Masheleni linganaho R1 biḽioni a ṋetshedzwa nga muvhuso khou shumiswa kha tikedza ndingedzo dza mvusuluso na ṱhaḓulo vhuedzedza tshumelo dza mutheo khathihi na ṋetshedza thuso ya zwa vhuthu nga vha ṋea zwiḽiwa, maḓi, vhudzulo, tshumelo dza vhuthathazwitzhili na zwiambaro..     Mushumo wa dovha fhaṱa hafhu nga huswa fhethu ho tshinyadzwaho nga miḓalo kati, ngeno vhathu vha shango ḽashu vha tshi khou farana vha vha ṅanda nthihi kha vhuḓiimiseli havho ha thusa avho vho tshinyalelwaho nga mahaya na thundu dzavho.
","Ezakamuva ngeSifo Segciwane le-Corona (i-COVID-19).
",0.4713901
"Mafhungo maswa nga ha Vhulwadze ha Khoronavairasi (COVID-19).
","IKhabhinethi lizwakalise ukukhathazeka kwalo ngokudlondlobala kwenani labantu abasuleleka nge-COVID-19 kamuva nje ezingxenyeni ezithile zezwe futhi linxuse abantu bonke ukuba bathathe izinyathelo zokuzinakekela nokuqikelela impilo yabo ukuze bazivikele kuleli gciwane elibulalayo, ikakhulukazi esikhathini sasebusika.
",0.5738446
"Khabinethe yo dzhiela nṱha khathihi na vhilaedzwa nga engedzea ha zwenezwino  ha tshivhalo tsha zwiwo zwa kavhiwa nga vairasi ya COVID-19 kha zwiṅwe zwipiḓa zwa  shango nahone khou  ṱuṱuwedza vhathu vhoṱhe uri vha dzhie maga tsireledzo itela ḓitsireledza kha vairasi iyi re khombo ngaurali, nga maanḓa nga tshifhinga tsha vhuriha.
","Igciwane liselokhu liyingozi esihleli nayo ngaso sonke isikhathi phakathi kwethu futhi ukugonywa kusalokhu kuyisona sikhali sokuzivikela esisebenza kahle kakhulu.
",0.4874163
"Vairasi iyi khou bvela phanḓa na vha khombo tshifhinga tshoṱhe nahone muhaelo ndi wone une swika zwino wa vha tshone tshiṱhavhane tsha vhuhali tsha ḓitsireledza.
","IKhabhinethi liyakuthokozela ukukhula kwesibalo sabantu abaqoka ukugonywa njengendlela yokuqala yokuzivikela ku-COVID-19 emuva kokuthi izibalo zakamuva zibonise ukuthi isibalo sabantu abadala asebegonyiwe ezifundazweni ezinhlanu sesikhule saze sayofinyelela enanini eliyingqophamlando elingaphezu kwamaphesenti angama-.
",0.56687576
"Khabinethe khou takadzwa nga fhungo ḽa uri vhunzhi ha vhathu vha khou bvela phanḓa na nanga muhaelo sa tshone tshipileli tshavho tsha thoma kha COVID-19 nga murahu ha musi mbalombalo dza zwenezwino dzo sumbedza uri ro swika kha ḽiga ḽa nṱhesa ḽa fhirisa phesenthe dza 50 dza vhaaluwa vho haelwaho kha mavunḓu maṱanu.
",".
",0.5401919
".
","IKhabhinethi liyabanxusa labo abangakagonywa ukuthi nabo benze kanjalo ukuze bazivikele futhi bavikele nabathandiweyo babo.
",0.07380836
"Khabinethe khou ita khuwelelo kha avho vhane vha athu haelwa uri vha ite ngauralo itela uri vha kone ḓitsireledza khathihi na tsireledza vhafunwa vhavho.
","Kumele futhi siqhubeke nokulandela yonke imigomo yokuzivikela kwi-COVID-19, kubandakanya ukugqoka isifonyo esimboza kokubili ikhala nomlomo, ukugeza izandla ngamanzi nensipho, noma sisebenzise isibulali-magciwane sezandla esiqukethe i-alcohol engama-70%, futhi sigcine ibanga eliphephile okungenani eliyimitha elilodwa lokuqhelelana phakathi kwethu nabanye abantu emphakathini..     Isibonelelo Sosizo Olubhekiswe Kubantu Abagajwe Wusizi Nenhlupheko (i-SRD).
",0.35181704
"Ri tea dovha hafhu ra bvela phanḓa na tevhedza milayo yoṱhe ya thivhela dwadze ḽa COVID-19, hu tshi katelwa na zwa ambara maski une wa thivhedza mulomo na ningo ṱamba zwanḓa nga maḓi na tshisibe kana shumisa sanithaiza ya zwanḓa re na aḽikhohoḽi linganaho 70%, khathihi na sia tshikhala tshi linganaho mithara muthihi vhukati hau na muṅwe muthu..     Magavhelo Ṱhaḓulo ya Thambulo  kha Vhadzulapo (SRD) .
","IKhabhinethi likhuthaze izakhamuzi ezithola iSibonelelo se-SRD esingama-R350 ukuba zifake izicelo zazo kabusha, kulandela ukwethulwa kwemithethonqubo emisha elawula izicelo kanye nemibandela yokufaneleka kwabantu ukuthola lesi sibonelelo.
",0.61997736
"Khabinethe khou ṱuṱuwedza vhadzulapo vha wanaho Magavhelo masheleni linganaho R350 SRD uri vha dovhe vha ite khumbelo hafhu nga huswa nga murahu ha musi ho thoma shumiswa milayo miswa langaho zwa itwa ha khumbelo idzi khathihi na zwa vha muthu tewaho nga wana magavhelo aya.
","Izicelo zingafakwa kwiwebhusayithi yoPhiko LweziMpesheni Nezibonelelo Zikahulumeni lwaseNingizimu Afrika (i-SASSA): https://srd.sassa.gov.za/.
",0.61761194
"Khumbelo dzi nga itwa kha webusaithi ya Zhendedzi ḽa Thuso ya zwa Masheleni kha Vhadzulao ḽa Afrika Tshipembe (SASSA) ine ya vha https://srd.sassa.gov.za/.
","Uhlelo lokufaka izicelo lwavulwa mhla zingama-23 kuMbasa 2022 futhi luwuhlelo oluqhutshwa ngobuchwepheshe bedijithali ngokuphelele ukuze kusheshe ukucutshungulwa nokuphothulwa kwezicelo..     Isibonelelo sokuhlinzeka ngosizo siyisibonelelo esisemqoka kakhulu sokubhekelela imindeni entulayo obekungenzeka izithole seyibhuqabhuqwa yisihlava sobubha nokuntuleka kwamathuba omsebenzi.
",0.6224634
