tn,en,src_text,trg_text,Cosine_Score
"[ 0.5523678  -0.34903     0.27251002 ...  0.48618737  0.7762195
  2.1494267 ]",[0.01875025 0.01938114 0.00243305 ... 0.03180148 0.01704054 0.00417673],"Pegelo ya Kopano ya Kabinete e e Neng e Tshwerwe ka go Dirisa Mafaratlhatlha a Thekenoloji a Ditlhaeletsano ka Laboraro, wa la bo 5 Phatwe 2020","Information Society Development and Research, Department of Communications and Digital Technologie",0.6552377
"[ 1.1555698   0.5925857  -0.3284618  ... -0.9830485   0.33020607
  0.7510513 ]","[ 0.02096716  0.01024594  0.00545868 ... -0.00172419  0.01000878
  0.02291658]",Go Atlhaatlhilwe Kgang ya Bonweenwee1.,Focus on Corruption1.,0.7097791
[1.9573447  0.6308219  0.10750342 ... 0.36309054 1.3356438  2.1373532 ],[0.01780688 0.05517502 0.00021802 ... 0.01309985 0.01013032 0.0126822 ],Tirisobotlhaswa ya didirisiwa tseo maitlhomo a tsona e leng go samagana le Mogare wa Corona (COVID-19),Criminal Law (Sexual Offences and Related Matters) Amendment Bill of 2020; National Register for Sexual Offences) and the Domestic Violence Amendment Bill,0.66887397
"[ 0.87073857  1.7251445  -0.03092642 ...  1.2179376   1.2467021
  2.381935  ]",[0.01591261 0.01269012 0.00297388 ... 0.02600979 0.01465955 0.01128811],Kabinete e swabile nko go feta molomo ke dipegelo tsa se weng tse di ka ga ditiragalo tsa bonweenwee le tsa bogodu jwa didirisiwa tse di tlhokagalang thata tseo puso e neelaneng ka tsona gore e kgone go pholosa matshelo a batho le go sireletsa ka fao ba iphedisang ka teng fa re santse re aparetswe ke leroborobo leno la COVID-12.,"Abuse of resources for Coronavirus Disease (COVID-19) interventions Cabinet reflected with disappointment on recent reports of acts of corruption and theft of the much-needed resources that government has allocated to save lives and livelihoods during the COVID-19 pandemi Some unscrupulous individuals and companies have been looting state resources that were meant to provide food to needy families and personal protective equipment (PPEs) to frontline officials, particularly healthcare worker",0.8173851
"[ 0.59758145  0.28532234 -0.14965333 ...  1.8444841   1.2650826
  1.15071   ]","[ 0.010032    0.01300024 -0.0001319  ...  0.04272082  0.03836211
  0.05370975]","Batho ba bangwe ba ba senang maitseo mmogo le ditlamo tse dingwe ba ntse ba thopa ka bogodu didirisiwa tse puso e ntseng e leka go thusa ka tsona go ka fepa malapa a a dikobodikhutshwane mmogo le didirisiwa tsa go itshireletsa (di-PPE) tseo di neng di tshwanetse go thusa batlhankedi ba ba di gogang kwa pele, bogolosegolo ba tirelo ya tsa boitekanel","Allegations of corruption being investigated include the fraudulent distribution of food parcels, social relief grants, procurement of PPEs and other medical supplies, and the looting of the Unemployment Insurance Fund s COVID-19 Temporary Employee/Employer Relief Schem",0.78914773
"[ 0.8649157   2.9553595  -0.18751201 ...  1.2003343   0.6946625
  2.2307236 ]",[0.02718505 0.05283017 0.00292867 ... 0.02797796 0.01953698 0.02571336],"Ditiragalo tseno tsa bosenyi tseo gape di senang maitseo di tsenyeletsa go tlhatlotsa ditlhwatlhwa tse di utlwanetsweng le go naya batho ba bangwe dijo tseo di tshwanetseng go neelwa bao ba leng dikobodikhutshwane, go tsenyeletsa ditiragalo tsa bonweenwee mo matloleng ao a neng a tshwanetse go thusa badiredi le dikgwebo tseo di kakatletseng tseo di amilweng ke go emisiwa ga ditiro tsa ikonomi ka ntlha ya kgato ya go sekega nakwana ditiro tsa ka fa nagen","Such criminal and immoral activities included inflating quoted prices, intercepting and redirecting food parcels meant for the poor, and acts of fraud involving funds designated to alleviate the hardships of employees and businesses affected by the shutting down of economic activities during the national lockdow",0.8535912
"[ 0.8037744   0.5621863  -0.43719193 ...  1.2158643   1.3034537
  1.0861216 ]","[ 0.03915672  0.01125344 -0.00016886 ...  0.0268082   0.02414887
  0.01571954]","Kabinete e ikuetse mo ditheong tsotlhe tsa puso go tsholetsa maikano a a kwa godimo a maitsholo le a go rwala maikarabelo, le go diragatsa dithomo tsa tsona ka manontlhotlho le ka tshwanel Kabinete e santse e eme ka lefoko la yona la go tlhoma tsamaiso ya puso e e nang le bokgoni, e e lolameng","Cabinet has called on all public institutions to uphold the highest standards of integrity and accountability, and fulfil their mandates effectively and efficientl Cabinet remains committed to building a capable, ethical and developmental stat It supports the recent call by President Cyril Ramaphosa for law-enforcement agencies to do whatever they can to arrest those involved in corruption, irrespective of who they are and ensure they recover the looted fund Government has over the years introduced various interventions to fight against the scourge of corruption, which negatively affects the delivery of services to the poor and vulnerabl",0.7782408
[ 2.4281523  1.5819409 -0.1218019 ...  1.5449084  1.5020859  0.7332784],"[ 0.01670923  0.00696777 -0.00034312 ...  0.03676683  0.04225774
  0.04266981]","e bile e tlhabolola baagi ba yon E tshegetsa boikuelo jwa se weng jaana jwa ga Moporesitente Cyril Ramaphosa jwa gore ditheo tsa go disa kobamelomolao di dire sengwe le sengwe se se leng mo maatleng a tsone go ka golega bao ba amegang mo ditiragalong tsa bonweenwee, go sa kgathalesege gore ke bo mang mmogo le go netefatsa gore matlole otlhe a a utswitsweng a boela morag","The fund will thereafter focus on proactive mitigations of disasters and promote the social development of communitie The consolidated fund will assist in streamlining the administrative processes, and enable efficient services to poor communities and reduce cost It will consolidate the three boards into one boar AppointmentsAll appointments are subject to security and qualification verificatio South African Police Service Brigadier Ebrahim Ahmed Kadwa",0.75479054
"[ 0.8850908   0.7210556  -0.08988141 ...  0.7731823   0.5674811
  0.945787  ]","[ 0.02556712  0.05773753 -0.00012758 ...  0.03316487  0.01893424
  0.0066196 ]","E setse e le dingwagangwaga puso e ntse e tla ka ditharabololo di le dintsi tse di farologaneng go lwantshana le ditiragalo tsa bonweenwee, e leng tsone tse di amang kabo ya ditirelo ka tsela e e sa itumediseng mo baaging ba ba humanegileng le bao ba leng mo tlalelon","Corruption is the biggest crime that robs the poor and deprives them of basic service As a society, we are responsible for the fight against corruption and should expose it without fear or favou Cabinet urges the public to use the different national and sectoral anti-corruption hotlines created to support efforts to expose and pursue corruption-related allegation Key Decisions",0.73428774
"[ 1.3945506   2.3284688  -0.18669242 ...  1.1519462   1.2822951
  2.0682685 ]",[0.00645552 0.04881676 0.00539694 ... 0.03050035 0.03569103 0.03072315],"Maitlhomo a tikwatikwe ya tsamaiso ya dikgetse tse di itlhophileng e e sa tswang go tlhomiwa ke go gagamatsa matsapa a a tshwaraganetsweng a ditheo tsa go disa kobamelomolao go di kgontsha gore di thibele, di nopole, di rebole dipatlisiso mmogo le go rebola ditshekiso mabapi le dikgetse tsa bonweenwee mo mererong ya COVID-19.","The recently established special coordination centre aims to strengthen the collective efforts among law-enforcement agencies to prevent, detect, investigate and prosecute COVID-related corruptio It comprises the Financial Intelligence Centre; Independent Police Investigative Directorate; National Prosecuting Authority; South African Police Service s Directorate for Priority Crime Investigation (the Hawks), Crime Intelligence and Detective Service; South African Revenue Service; Special Investigating Unit (SIU) and the State Security Agenc",0.7776085
"[ 0.4973141   3.4650264  -0.20212805 ...  1.0876905   0.86802566
  1.0474144 ]","[ 4.9659733e-02  2.9209554e-02 -9.1351838e-05 ...  3.0867182e-02
  4.1931987e-02  1.4881596e-02]",Ditheo tseno di tsenyeletsa Tikwatikwe ya Matlhale a Bosenyi jwa Matlole (FIC); Bothati jo bo Ikemetseng jwa Dipatlisiso tsa Dikgetse tse di ka ga go Tlola Molao ga Sepodisi (IPID); Bothati jwa Bosekisi jwa Boset haba (NPA); Bothati jwa Dipatlisiso tsa Dikgetse tsa Bosenyi jo bo kwa Setlhoeng (Hawks) ka fa teng ga Tirelo ya Sepodisi sa Aforika Borwa (SAPS); Tirelo ya Matseka le Matlhale a Dikgetse tsa Bosenyi; Tirelo ya Lekgetho la Aforika Borwa (SARS); Yuniti e e Batlisisang Dikgetse tse di Itlhophileng (SIU) mmogo le Setheo sa Phemelo ya Puso (SSA).,Non-executive members to the Board of the Road Traffic Infringement Agency: Ms Bongekile Zulu (Chairperson) Mr Tshikane Owen Mtsetweni Dr Prittish Dala Ms Dorcas Khosa-Shikwambana; and Mr Bonolo Molemo Ramokhel Non-executive directors to the Airports Company South Africa Board: Ms Dudu Hlatshwayo; and Dr Kgabo Badim,0.75693095
"[ 1.0486826   1.617749   -0.27342454 ...  0.9354148   1.1879426
  1.9434962 ]",[0.02972694 0.00301701 0.00020228 ... 0.04171255 0.05059437 0.02868588],"Ditatofatso tsa bonweenwee tse di batlisiswang di tsenyeletsa tsa dijo tse go fanweng ka tsona ka tsela ya borukhutlhi, tsa matlole a a jelweng ao a neng a tshwanetse go thusa bao ba tlhokang thuso, go rekiwa ga di-PPE le didirisiwa tse dingwe tsa boitekanelo, mmogo le tsa go thopiwa ga matlole a Letlole la go Kgaolwa kwa Tirong (UIF) a a mabapi le Sekema sa go Tshegetsa Nakwana Badiredi/Bathapi ba ba leng mo Tlalelon","As part of strengthening these interventions, Cabinet also approved the setting up of a team of five Ministers to, amongst others, look into all COVID-19-related procurements made during the lockdown period and strengthen current procurement system The team comprises the Minister of Justice and Correctional Services, Mr Ronald Lamola (Convenor); Minister of Finance, Mr Tito Mboweni, Minister of Public Service and Administration, Mr Senzo Mchunu, Minister of Cooperative Governance and Traditional Affairs, Dr Nkosazana Dlamini Zuma and Minister in The Presidency, Mr Jackson Mthemb.",0.7580743
"[ 0.3735567   0.8429791  -0.10663703 ...  0.8796517   0.6350295
  1.1433201 ]",[0.02209871 0.01603069 0.01233542 ... 0.03181751 0.01454584 0.02280661],"Mo go potlakiseng le mo go matlafatseng dikgato tsa go samagana le bonweenwee, Moporesitente Ramaphosa se weng jaana o saenile Taelo ya Semolao e e laelang SIU go dira diphuruphutso mo maitsholong a mangwe le a mangwe a a seng mo molaong kgotsa a a sa amogelesegeng mo go rekiweng ga ditlhagisiwa tse dingwe le tse dingwe, ditiro le ditirelo mo setheong sengwe le sengwe sa puso fa naga e ne e le mo pakeng ya maemong a masetlapelo kgotsa mo pakeng e e tsamaelanang le enSIU e matlafaditswe go dira dipatlisiso tse dingwe le tse dingwe tse di ka ga tirisobotlhaswa ya matlole a COVID-19 go ralala le ditheo tsotlhe tsa puso mmogo le go tlhatlhela dikgetse le kgotlatshekelo tebang le batho bao ba amegang gore ba busetse puso ditshenyegelo tsa yona kgotsa go duelela ditatlhegelo tsa yon Go netefatsa gore dikgato tseno di tsewa ka bonako, gangwe le gape morago ga dikgwedi tse dingwe le tse dingwe di le thataro Moporesitente o tla romelwa dipegelo tsa nakwana mo ntlheng eno tse di ka ga kgatelopele mo dipatlisisong tsen","To speed up and strengthen the process of dealing with corruption, President Ramaphosa recently signed a proclamation authorizing the SIU to investigate any unlawful or improper conduct in the procurement of any goods, works and services during or related to the national state of disaster in any state institutioThe SIU is empowered to probe any allegations relating to the misuse of COVID-19 funds across all spheres of the State and institute civil proceedings to recover any damages or losses incurred by the Stat To ensure that action is taken speedily, the President will receive interim reports on investigations every six week He will also get reports from the Health Sector Anti-Corruption Forum that is tasked to investigate irregularities and maladministration in the health secto",0.88070303
[0.9808204  2.0454273  0.03191278 ... 1.3967142  1.1073022  1.5249003 ],"[ 0.03101292  0.02178309 -0.00018995 ...  0.03745892  0.03017914
  0.02188476]","Kabinete e amogetse gape le dikarolo tse di kwalolotsweng se wa mo melawanataolong ya ntlha ya Khomi ene ya Diphuruphutso tse di Mabapi le Ditatofatso tsa go Goga Puso ka Nko, Bonweenwee le Borukhutlhi mo ditheong tsa puso, go tsenyeletsa le mo dikgwebong tsa pus Melawanataolo e e kwalolotsweng ses wa eno e tla kgontsha gore khomi ene eno e kgone go abela ditheo tse dingwe tsa go disa kobamelomolao ka tshedimosets Seno se tla thusa mo go potlakiseng dipatlisiso le mo go iseng tshekisong dikgetse tse di amanang le bonweenwe .","Cabinet also welcomes the amendments to the original regulations of the Commission of Inquiry into Allegations of State Capture, Corruption and Fraud in the Public Sector, including Organs of Stat The amended regulations will now allow for the sharing of information by the commission with the other law-enforcement agencie This will help to expedite the investigation and prosecution of corruption-related case.",0.85450757
