xh,en,src_text,trg_text,Cosine_Score
"[ 0.9350657  -0.00781715 -0.11431357 ...  0.2783163   0.45753944
  0.90221626]","[ 0.00980163 -0.0033715  -0.00078007 ...  0.00912488 -0.0017333
  0.03020796]",Imiba enguNdaba-mlonyeni1.,Issues in the environment1.,0.60525507
"[ 1.1301696   0.1403581  -0.06472151 ...  0.78978044  1.1645347
  0.96380705]",[0.00882438 0.01020434 0.0060799  ... 0.04526822 0.05199894 0.01382273],"Uqoqosho INtetho yoHlahlo lwaBiwo-mali yesiGaba esiPhakathi yowama-2020 enikezelwe nguMphathiswa wezeZimali uTito Mboweni ngoLwesithathu, umhla wama-28 kweyeDwarha yowama-2020, imisela indlela enqanda inkcitho yokusebenza kwezimali zikarhulument Ikwaxhasa uhlumo lwezoqoqosho ukukhulisa ukudalwa kwemisebenzi edingeka kakhul Esi sabelo sixhasa iphulo lethu lokuvuselela uqoqosho ukusuka kwintshabalalo yobhubhane weSifo seNtsholongwane i-Corona (i-COVID-19) nokutsala utyalo-mal IKhabhinethi iyalamkela iphulo le-Operation Vulindlela, neza kuxhasa ukufezekiswa kwesiCwangciso soKwakhiwa ngokuTsha koQoqosho nokuluBuyisela ngokukhawulezisa uhlaziyo lweziseko ezingumba ophambil","Economy The 2020 Medium Term Budget Policy Statement presented by Finance Minister Tito Mboweni on Wednesday, 28 October 2020, sets out a course that limits the operational spending of governmen It also supports economic growth to boost the creation of much-needed job The allocations support our drive to revive the economy from the devastation of the Coronavirus Disease (COVID-19) pandemic and attract investment",0.89229
"[ 0.49036828  0.20157792 -0.13858028 ...  0.87450135  0.7799531
  0.9080328 ]",[0.01216268 0.00856819 0.0105721  ... 0.02134778 0.0244562  0.02677618],"IKhabhinethi ayigungqi kwisibophelelo sayo sokwenza ukuba uqoqosho lukhule kwakhona kwaye ngoko ke amanyathelo wethu angqwabalala aza kukhawulezisa amalinge wethu okwakha uqoqosho oluthe chatha ngokomelela I-COVID-19 IKhabhinethi ixhalabile kuba abanye abantu baziphethe ngokungakhathali nangendlela ebonakalisa ukungagqibeleli ukukhula ngokungathi i-COVID-19 ayisekh IKhabhinethi imema bonke abantu baseMzantsi Afrika ukuba baqhubeke ukuthobela imimiselo yezempilo yokugcina umgama wokuqelelana, ukunxiba isigqubuthelo sobuso kwiindawo zikawonkewonke nokuhlanjwa kwezandla ngamanzi nesepha okanye isibulali zintsholongwane esine-alcohol, nokuziphepha iindibano ezinkul Olu hlobo lokuziphatha ngenkathalo lungaguqukiyo luhleli lulelona khuselo lukhulu ekuzikhuseleni kwethu kunye nabanye kule ntsholongwan Amanyathelo wethu abonakalisa inkathalo ngawo aza kuqinisekisa ukuba siyalinciphisa izinga losuleleko ngeli xesha siqhubeka ukwakha ngokutsha uqoqosho lweth","Cabinet is resolute in its commitment to get the economy growing again and therefore our current tough actions will accelerate our efforts to build a more resilient economy COVID-19 Cabinet is concerned that some people are behaving recklessly and irresponsibly as if COVID-19 no longer exist Cabinet calls on all people in South Africa to continue adhering to the health protocols of practising social distancing, wearing masks in public and washing our hands with water and soap or an alcohol-based sanitiser, and avoiding large gathering Such consistent considerate behaviour remains the greatest defence in protecting ourselves and others against the viru Our responsible actions will ensure we minimise the rates of infections whilst we continue to rebuild our econom Cabinet continues to encourage all of us to download the free COVID-19 Alert SA mobile app from the Apple App Store or Google Play Stor The app",0.8921393
"[ 0.94452757 -0.01126083 -0.09611697 ...  0.85726815  1.3432455
  0.9714911 ]",[0.02712213 0.00553227 0.00526251 ... 0.02104136 0.00999629 0.02407744],IKhabhinethi iyaqhubeka ukusikhuthaza sonke ukuba sikhuphele i-app yomnxeba ophathwayo ye-COVID-19 Alert SA esimahla kwi-Apple App Store okanye ku-Google Play Stor Le-app,will improve contact tracing by alerting users if they have been in close contact with other users who have tested positive for COVID-19 in the past 14 day The app does not gather any personal information or track a user s locatio Cabinet,0.75831616
"[ 0.6560547   0.08003931 -0.10404523 ...  0.46585885  0.5081032
  1.4867647 ]","[ 0.01850269  0.00895709  0.00148945 ...  0.01604824 -0.00223614
  0.05107637]",nengahlawuliswayo luthungelwano lweminxeba ephathwayo kwaye ingakhutshelwa ngaphandle kweendleko zayo nayiphi na i-data,which has been zero-rated by mobile networks and can be downloaded without any data costs,0.8321355
[0.59131104 0.13654906 0.22140573 ... 0.8065102  0.8799758  0.8394188 ],[0.02798848 0.00082735 0.01085868 ... 0.02762182 0.0325448  0.02889368],"iza kuphucula ukulandela umkhondo wokudibana nomntu owosulelekileyo ngokwazisa lowo uyisebenzisayo ukuba ebekhe wakufutshane kunye nabanye abasebenzisi bayo abafunyaniswe benayo intsholongwane ye-COVID-19 kwintsuku ezili-14 ezidluliley IKhabhinethi iza kuxoxa ngeziphumo zeBhunga loLawulo lweNtsholongwane i-Corona leSizwe neza kubanjwa kule veki izay UMongameli u-Cyril Ramaphosa uza kuthi emva koko azise isizwe ngezintsha kwisicwangciso-qhinga esihlengahlengisiweyo somngcipheko soMzantsi Afrika ukulawula ukunwenwa kwe-COVID-1 Uphuhliso lweziseko ezingundoqo UThethathethwano lwamaLungiselelo eProjekthi yeZiseko ezinguNdoqo yaseMzantsi Afrika neQonga loRhwebo ebelubanjelwe eMidrand, eGauteng ukususela ngomhla wesi-3 ukuya kowe-4 kweyeNkanga yowama-2020 iqhubela phambili inkqubo yokumiselwa kweziseko ezingundoq Lo msitho wenze umboniso weeprojekthi zeziseko ezingundoqo ezikhulu ezingama-27 ezinexabiso elidibeneyo elingamakhulu amabini aneshumi leebhiliyoni zeerandi (ama-R210 eebhiliyoni) kubatyali-mali baseMzantsi Afrika nabamazwe-ngamazwe, kuquka nabathunywa bamaziko ezezimali ophuhliso kunye neebhanki zophuhliso kumacala amaninz Uthethathethwano lwamalungiselelo eprojekthi aqinisekisa ukuba iprojekthi idlula kuhlolo olunzulu lokuba nokwenzeka kunye nenkxaso yengcebiso yentengiselwano eza kuzenza zilungele utyalo-mal Phakathi kweeprojekthi ezazisiweyo kubatyali-mali kukho itheminali yegesi yendalo eyenziwe yalulwelo yaseNgqura-Coega eMpuma Koloni; iNkqubo yeZindlu zoLuntu kaGunyaziwe oLawula iZindlu zoLuntu; imibhobho yokutha amafutha eenqwelo-moya kwiSikhululo seeNqwelo-moya seZizwe-ngezizwe saseKapa; umbindi oxakeke kakhulu weziseko ezingundoqo zasesibhakabhakeni ozakusekwa yi-Arhente eJongene neSibhakabhaka yaseMzantsi Afrika yeSizwe, kunye nepaka yezenzululwazi nobuchwepheshe eLimpop Ezi projekthi zinamandla okuqesha inani elivisayo labantu baseMzantsi Afrika zize zibe licandelo elibaluleke kakhulu lamandla okuqhubela phambili ukudalwa kwemisebenzi yesiCwangciso soKwakhiwa ngokuTsha koQoqosho nokuluBuyisela soMzantsi Afrika seSizwe esisanda kutyhilwa nguMongameli uRamaphosa kutsha nj IKhabhinethi iyalibulela igalelo elenziwe licandelo labucala, nelenze igalelo lobuchule bolwazi nezakhono ngendleko zal IKhabhinethi iyakwamkela ukubolekwa iingcaphephe ezingama-25 licandelo labucala eziza kuncedisa iziko leZiseko ezinguNdoqo laseMzantsi Afrika ukuba lifikelelise iiprojekthi ezicwangcisiweyo ekuvezeni iziqham","The event showcased 27 large-scale infrastructure projects with a combined value of R210 billion to South African and international investors, including delegates of development finance institutions and multilateral development bank The project preparation roundtable ensures that projects undergo intensive feasibility assessments and transaction advisory support that will make them investment-read Among the projects presented to investors are the Ngqura-Coega liquefied natural gas terminal in the Eastern Cape; the Social Housing Regulatory Authority s Social Housing Programme; a jet fuel pipeline at the Cape Town International Airport; a space infrastructure hub to be established by the South African National Space Agency, and a science and technology park in Limpop These projects have the potential to employ a significant number of South Africans and form a vital component of the job-creation impetus of the South African National Economic Reconstruction and Recovery Plan recently unveiled by President Cyril Ramaphos Cabinet appreciated the contribution that has been made by the private sector, which has contributed the necessary expertise at their own cos",0.86523277
[0.59818465 0.6713632  0.08054987 ... 0.98603076 0.9309284  1.4063214 ],"[ 3.2276042e-02  4.0651638e-02 -4.3879929e-05 ...  3.5971742e-02
  4.4491794e-02  3.7777558e-02]","Ukongeza apho, iKhabhinethi iyasamkela isibhengezo esenziwe nguMphathiswa weMisebenzi yoLuntu neZiseko ezinguNdoqo u-Patricia de Lille sokuba icandelo eligxile ekulweni urhwaphilizo kwiziseko ezingundoqo liza kuqinisekisa ngokulawulwa ngendlela esesikweni nefanelekileyo kwezivumelwano zeziseko ezingundoq IGosa leZiseko ezinguNdoqo noTyalo-mali kwi-Ofisi kaMongameli kwezi ntsuku zizayo liza kunikezela ngeenkcukacha zesibophelelo esenziwe ngabatyali-mali kuthethathethwano lwale veki neqonga lorhwebo INgqungquthela yoTyalo-mali yaseMzantsi Afrika (i-SAIC) UMzantsi Afrika uza kusingatha i-SAIC yayo yesithathu ngomhla we-17 nowe-18 kweyeNkanga yowama-2020, igxile kutyalo-mali phantsi kwemeko yokuqhambuka kwe-COVID-19, ukumanya nokwakh Ingqungquthela yalo nyaka iza kugxila kunikezelo lwezibophelelo esezikho ukufezekisa ukudalwa kwemisebenzi nophuhliso lwezoqoqosh Ukongeza apho, urhulumente uza kucwangcisa amanyathelo asele ethathiwe ukudala imeko yotyalo-mali efanelekileyo, ngokugxila ekwakhiweni koqoqosho ngokutsha nokuluvuselel Le ngqungquthela yakhela phezu kweempumelelo zeengqungquthela ezimbini zokugqibela ezazibanjwe ngowama-2018 nowama-2019 ngokulandelelanayo, nezathi zenza amakhulu amathandathu anamashumi amathandathu anesine eebhiliyoni zeerandi (ama-R664 eebhiliyoni), ibeke isiseko sotyalo-mali nohlumo lwezoqoqosho olukhawulezileyo Ezamandla IKhabhinethi ikwamkele ukugunyaziswa kwenjini yomoya yokugqibela kwi-140 lee-megawatt (MW) kwiNxuba Wind Farm, eMpuma Koloni, neyinxalenye yomjikelo wesine weNkqubo yokuFumana aMandla aHlaziyekayo kuBavelisi boMbane abaziMeleyo yeli lizw Xa zonke ezi njini zomoya sezigunyazisiwe, ziza kuvelisa iiyure ezingama-460 zee-gigawatt ngonyaka kuvimba wothungelwano lombane zize ziphucule ngokuncomekayo isibophelelo sethu kukuguquka kwesimo sezul","Crime Prevention Cabinet condemns the senseless and callous killing of police officers who have dedicated their lives to serve and protec The killing and attack of police officers is a direct attack on the rule of law and the Constitution of the Republic of South Africa of 1996 Cabinet extends its condolences to the families and friends of all officers who have died in the line of duty such as Sergeant Mzoxolo Gxotani from the East London Tactical Response Team in the Eastern Cape, Groblersdal Station Commander Colonel Jeffrey Seroka in Mpumalanga, Crime Intelligence Officer Ofentse Mokgadinyane and Detective Sergeant Billy Mahooe in the Free State; and Sergeant Sibongile Teka and Constable Kganyisa Sitofile in the Western Cap Cabinet further condemned the shooting and killing of eight people aged between 30 and 40 by unknown gunmen in Gugulethu in the Western Cape on Monday, 2 November 2020.",0.84758264
"[ 0.76227653 -0.11154254  0.46631044 ...  1.0303786   1.224601
  0.6208463 ]","[ 0.05266628 -0.00012898 -0.00061576 ...  0.03417468  0.0389368
  0.02043129]",Ukusebenzela ushishino ngokupheleleyo kweCandelo lesi-2 lika-Eskom kwiSikhululo soMbane saseKusile eMpumalanga kwenza igalelo elingama-800 MW kuvimba wothungelwano lomban IKusile sisikhululo sokuqala e-Afrika ukufakela ubuchwepheshe bokususa umxube wegesi ezimdaka i-flue gas desulphurisation,The full commercial operation of Eskom s Unit 2 at the Kusile Power Station in Mpumalanga contributes 800 MW to the power gri Kusile is the first power station in Africa to install flue-gas desulphurisation technology,0.88106227
"[ 1.636079   -0.02405501 -0.09486419 ...  0.8603527   1.3900025
  0.9594744 ]","[ 0.03407694 -0.00136354  0.00297333 ...  0.02564544  0.06314351
  0.02054077]","ubuchwepheshe obukumgangatho wehlabathi obusetyenziselwa ukususa iigesi ezimdaka zesalfure, ezifana nembumba yomongomoya onesinyithi kwisalfure i-sulphur dioxide, esuka kwigesi emdaka ekhutshwa zizikhululo zombane ezitshisa amalahle okanye i-oli","a state-of-the-art technology used to remove oxides of sulphur, such as sulphur dioxide, from exhaust flue gases in power plants that burn coal or oil",0.8616302
[0.8606399  1.1165493  0.09401785 ... 0.9106729  0.9132505  1.0904855 ],"[ 0.02671352  0.00020778 -0.00022601 ...  0.02443931  0.03920068
  0.03334278]",nokuhambelanayo nemimiselo yezizwe-ngezizwe yomgangatho womoy IKhabhinethi yamkele nesibhengezo esenziwe ngabakwa-Total SA sokuba bafumene umthamo omkhulu wegesi okude nonxweme lwasemazantsi laseMossel Bay eNtshona Kolon Oku kuza kwenza igalelo kumalinge eli lizwe okwandisa ukuphehlwa kwamandla ombane ukwenzela ukuba uqoqosho lukhule luze lutsale utyalo-mali oluninzi ILekgotla yeeTeksi yeSizwe IsiBhengezo esamkelwe kwiLekgotla yeeTeksi yeSizwe ngundoqo wokwakha icandelo lezothutho likawonkewonke elisebenza kakuhle nelikhuselekiley Iziphumo zisondeza eli lizwe ekwenzeni ibe sesikweni indlela yokuxhotyiswa koshishino lweeteksi kwaye ziza kulubeke kwindlela yohlumo oluzinziley,Cabinet also welcomed the announcement by Total SA that it had found a significant amount of gas off the southern coast of Mossel Bay in the Western Cap This will contribute towards the country s efforts to expand power generation so as to allow the economy to grow and attract more investment 6.,0.8228033
