zu,en,src_text,trg_text,Cosine_Score
"[ 0.97329634 -0.02801962  4.115433   ...  0.75867003  0.8485863
  3.0212898 ]","[ 0.0154323  -0.0002731   0.02923036 ...  0.03676987  0.00900305
  0.09263843]",Izinqumo zeKhabhinethi Eziqavile IKhabhinethi ihlole Imibiko Yesigamu Sesithathu Yemiphumela Yenqubekela Phambili yesikhathi sikaMfumfu kuze kushaye uZibandlela 2015.,Key Cabinet decisions Cabinet assessed the Third Quarter Outcomes Progress Reports for the period October to December 2015.,0.8215609
"[ 0.5032842  -0.05465204  0.20345922 ...  0.5194326   0.7081226
  2.7231927 ]","[ 0.00723523 -0.00147937 -0.00025682 ...  0.029058    0.02829055
  0.08375801]",Imibiko ibonisa inqubekela phambili ebonakalayo ekuqalisweni kokusebenza kwezinhlelo zikahulumeni ezinomthelela ngqo ekuthuthukisweni kwezimpilo zabantu baseNingizimu AfrikImibiko Yemiphumela Yenqubekela Phambili ihlinzeka ubufakazi bokuthi uhulumeni ube nenqubekela phambili ekufezeni imikhawulo ebekwe Ohlakeni Lwamaqhinga Lwesikhathi Esiphakathi Nendawo 2014-2019.,The reports show significant progress in the implementation of government programmes that have a direct impact on improving the lives of South AfricanThe Outcomes Progress Reports provide evidence that government has made progress in achieving the targets set out in the Medium Term Strategic Framework 2014-2019.,0.9097407
[0.28349072 0.09245912 1.1261992  ... 1.1201167  1.0020524  1.2483692 ],[0.01709334 0.00058717 0.05340457 ... 0.00072793 0.02509362 0.02631712],"Iphinda isisondeze ekufezeni Umbono we-2030, njengoba ubekiwe oHlelweni Lwentuthuko Lukazwelonke (i-NDP), oluhlose ukulwa nobubha, ukuntuleka kwamathuba emisebenzi kanye nokungalinganIKhabhinethi iqaphelile inqubekela phambili eyamukelekile eyenziwe ukufeza imikhawulo kanye nemiphumel IKhabhinethi iphinde yaqaphela ukuthi yize kube nenqubekela phambili ebonakalayo maqondana nezinkomba eziningi, zisekhona izindawo ezidinga ukungenelela okuhleliwe kukahulumeni Ukuqaliswa kokusebenza kwezinhlelo zikahulumeni ezisemqoka IKhabhinethi izwakalise ukubonga kubo bonke abantu baseNingizimu Afrika abananele ikhwelo leKhomishana Ezimele Yokhetho (i-IEC) lokuthi abantu babhalise, babheke isimo sabo sokubhalisa futhi babuyekeze imininingwane yabo esohlwini lwabavoti ngempelasonto yomhla zi-5 nangomhla zi-6 Ndasa 2016.","They also take us closer to realising Vision 2030, as articulated in the National Development Plan, which aims to tackle poverty, unemployment and inequalitCabinet noted the reasonable progress that was made to achieve the key targets and output Cabinet has noted that while significant progress was made in respect of most of the indicators, there are still areas that require coordinated interventions by government Implementation of key government programmes Cabinet has expressed its gratitude to all South Africans who responded to the call by the Independent Electoral Commission (IEC) for people to register, check their registration status and update their details on the voters",0.8882333
"[ 0.401532   -0.15798983  3.670139   ...  0.8878782   1.2707193
  2.643296  ]","[ 0.01407196 -0.00030226  0.00710491 ...  0.01870514  0.02145307
  0.02318905]","Balinganiselwa kuzigidi ezintathu abantu abavakashele iziteshi zokuvota ezweni lonke kanti abantu aba-544 552 kwababhalise okokuqala ngqa (ama-7%) ngabantu abaneminyaka engaphansi kwa-30 ubudala, nokubonisa ukuzimisela kwezakhamizi zaseNingizimu Afrika ekubambeni iqhaza ekwakheni umbuso wethu wentando yeningIKhabhinethi inxusa bonke abantu baseNingizimu Afrika ukuthi basebenzise ilungelo labo lentando yeningi ngokubhalisela ukuvota futhi inxusa labo abaseke babhalisa ngaphambilini ukuthi baqinisekise imininingwane yabo yokubhalisela ukuvota njengoba ziningana izinto eziye zaholela ezinguqukweni ohlwini lwabavot Impelasonto yokubhalisa okokugcina izoba mhla zi-9 nangomhla zi-10 Mbaso 2016 lapho kuzophinda kuvulwe iziteshi zokuvota kusukela ngehora le-8:00 kuze kushaye ihora le-17:00.","About three million people visited polling stations countrywide and 544 552 of the new registrations (7) were under the age of 30, which demonstrates the willingness by South Africans to participate in building our democracCabinet calls on South Africans to exercise their democratic right by registering and urges those who have registered previously to verify their voter registration details as a number of factors have led to changes in the voters",0.8791269
"[ 0.10793452  0.12209652 -0.07207177 ...  1.2025391   0.97982466
  0.75162536]",[0.00690521 0.03005521 0.01551995 ... 0.02720809 0.03133278 0.03815597],"Leli kuyoba yithuba lokugcina lokuthi abavoti babhalise futhi babuyekeze imininingwane yabo yokubhalisa eziteshini zabo zokuvot Kodwa ukubhalisa kuyaqhubeka emahhovisi e-IEC endawo ngezikhathi zomsebenzi kusukela ngoMsombuluko kuze kushaye uLwesihlanu, kuze kuvalwe uhlu lwabavoti loKhetho Lomasipala lonyaka we-2016 ngosuku okumenyezelwa ngalo usuku lokuvotIKhabhinethi iyalugxeka udlame olube khona kwezinye izindawo ngempelasonto yokubhalisela ukuvota esanda kudlula futhi iyagcizelela ukuthi akukho muntu ongavimbela noma yisiphi isakhamizi saseNingizimu Afrika ukuthi sisebenzise ilungelo laso lentando yeningi lokubhalisela ukuvot IKhabhinethi iphinda inxusa bonke labo abenza lokhu ukuthi bayeke le misebenzi yobugebengu futhi ukuthi labo abathintekile babike lezi zigilamikhuba kwabezomtheth IKhabhinethi inxusa bonke abaphethe ezomthetho ukuthi bathathele labo abaphula umthetho izinyathelo ezinqal UMongameli Jacob Zuma uzohambela e-Port Elizabeth mhla zi-8 Mbaso 2016 ukuyohlola inqubekela phambili ekwakhiweni kwengqalasizinda yezokuthutha yasolwandle njengengxenye yezinyathelo zoMnotho Wezwe Wasolwandl UMnotho Wasolwandle ungenye yemigudu emithathu yoMKhankaso we-Operation Phakisa futhi usondeza izwe ekufezeni ukubaluleka kwezilwandle zaseNingizimu Afrika, nokungenzeka kufake izigidigidi ezi-177 zamarandi emkhiqizweni okhiqizwe ngaphakathi ezweni kanye nokudala amathuba emisebenzi emisha angaphezu kwesigid IKhabhinethi iyakwamukela ukuphethwa ngempumelelo koHambo Olusemthethweni lukaMongameli Zuma lokuvakashela eRiphabhuliki YaseNigeria kusukela mhla zi-8 zaze zaba yi-9 Ndasa 2016, nokwenze ngcono ubudlelwano bezepolitiki, bezomnotho kanye nobezenhlalo phakathi kwamazwe amabil Okunye okufezwe yilokhu kuvakasha kube ukuphakanyiswa kweKhomishani Yamazwe Amabili yayiswa ezingeni leZinhloko Zombuso, nokuqhakambisa ukuthuthukiswa komnotho phakathi kwalawa mazwe amabilIKhabhinethi iyakwamukela ukuvulwa komnotho waseNigeria uvulelwa izinkampani zaseNingizimu Afrika emikhakheni ehlukahlukene efana nowezobunjiniyela, owezokuxhumana ngezigcingo, owezokwakha, owezezindiza, owezezindaba, owezokuphathwa kwezivakashi, owezamabhange, owezokuzijabulisa, owezakhiwo, owezokuthengisa, owezemisebenzi yokuthola upetroli neges IKhabhinethi ikulangazelele ukwanda kwenani lotshalomali lwaseNigeria eNingizimu Afrika nokuzokhuthaza uhwebo oluhlomulisa amazwe womabilImiphumela yalokhu kuxoxisana phakathi kwezikhondlakhondla ezimbili zezomnotho ezwenikazi kuzodidiyela iminotho yezifunda, ngaleyo ndlela kwandise imakethe efanayo futhi kukhuphule izinhlelo ezikhona njengamanje zokukhula komnotho kanye namathuba emisebenzi e-Afrik Lokhu kukhombisa ukuthi iNingizimu Afrika isalokhu iyindawo yotshalomali ekwazi ukuncintisana nezinye phezu kwesimo somnotho womhlaba esingesihle, futhi kuzoholela ekwakhiweni kwamathuba emisebenzi kanye nokuthuthukiswa kwamakhono abantu baseNingizimu Afrik IKhabhinethi iqaphelile ukuthi iNingizimu Afrika izobamba iqhaza eMhlanganweni wa-60 Wekhomishana Yenhlangano Yezizwe (i-UN) emayelana Nesimo Sabesifazane (i-CSW60) ezobanjelwa e-New York, e-USA","roll for the 2016 Municipal Elections closes on the day the elections are promulgateCabinet condemns the violence in some areas that marred the recent registration weekend and reiterates that no person may prevent any South African from exercising their democratic right to register to vot Cabinet further calls on all those responsible to desist from such criminal activities and for those affected to report them to law-enforcement agencie Cabinet calls on all law-enforcement agencies to take strong action against law-breaker President Jacob Zuma will visit Port Elizabeth on 8 April 2016 to inspect progress made in developing marine transport infrastructure as part of the country s Oceans Economy initiativ The Oceans Economy is one of the three streams of Operation Phakisa and takes the country closer to unlocking the potential of South Africa s oceans, which has the potential to contribute up to R177 billion to the gross domestic product and create over one million new job Cabinet welcomes the successful conclusion of the State Visit by President Zuma to the Federal Republic of Nigeria from 8 to 9 March 2016, which enhanced existing bilateral political, economic and social tie One of the milestones of the visit was the elevation of the Binational Commission to a Head of State level, which prioritises economic development between the two countrieCabinet welcomes the opening of Nigeria s economy to South African companies in various sectors such as engineering, telecommunications, construction, aviation, media, hospitality, banking, entertainment, property, retail, and oil and gas exploration service Cabinet looks forward to the increase in the number of Nigerian investments in South Africa that will promote two-way trade between the two nationThe outcomes from this engagement between two of the largest economies on the continent will integrate regional economies, thereby increasing the common market and elevating existing initiatives of economic growth and employment in Afric This demonstrates that South Africa remains a competitive investment destination despite a troubled global economy, and will result in job opportunities and skills development for South African Cabinet noted that South Africa will be participating at the 60th Session of the United Nations (UN) Commission on the Status of Women (CSW60) taking place in New York, USA from 14 to 24 March 2016 under the theme:",0.85591006
"[ 0.6500553  -0.00504334  0.3524133  ...  0.57759845  0.61221594
  0.99401534]",[0.01115245 0.00014608 0.01740351 ... 0.01522468 0.01367184 0.07450859],"kusukela zi-14 zize zibe nga-24 Ndasa 2016 ngaphansi kwengqikithi ethi: ""Ukufukulwa Kwabesifazane kanye nokuxhumana kwakho nentuthuko ezinzile"".",The summit brings together stakeholders from across the higher education sector to assist in its development and forge partnerships that create stronger industry-ready higher education institution National Water Week 2016 will take place from 14 to 22 March under the theme:,0.7070439
"[ 0.41457096 -0.33838853 -0.12784939 ...  0.75406635  0.60613036
  1.9137497 ]","[1.0339399e-02 3.0701382e-03 2.3457591e-05 ... 2.8460331e-02 4.2377662e-02
 3.5504013e-02]","Lo mhlangano ubajwa onyakeni obalulekile kuNingizimu Afrika njengoba kunemicimbi emintathu ebalulekile, okungukuGunjwa kweminyaka e-20","As announced in the 2016 State of the Nation Address, this year s Human Rights Day will lay the foundation for a long-term programme of building a non-racial societ Cabinet calls on all South Africans to unite against and denounce racism",0.67693734
[0.41292918 0.13230835 0.7219065  ... 0.92287433 1.0048645  1.9051584 ],[0.0048368  0.00137478 0.00109537 ... 0.0170592  0.01221951 0.02312533],"yoMthethosisekelo weRiphabhulikhi YaseNingizimu Afrika yonyaka we-1996, Umgubho weminyaka e-40 Yezibhelu Zentsha YaseSoweto kanye noMgubho wa-60 wemashi yabesifazane yonyaka we-1956.INingizimu Afrika ithule umbiko ku-UN CSW60 futhi lokhu kusinika ithuba lokulinganisa inqubekela phambili esesiyifezile kusukela ekuqaleni kwentando yening Kubalulekile ukuba siveze ukuthi kusukela ngesikhathi sombuso wentando yeningi eNingizimu Afrika, phakathi kwezinye izinto , sibambe iqhaza eMhlanganweni We-4 Womhlaba Wabantu Besifazane ngonyaka we-1995, futhi sasayina ne-Beijing Declaration ne-Platform for Action ngomnyaka ofanayNgokuhambisana nesinqumo E / Res / 2013 / 18 soMkhandlu Wenhlalakahle Nomnotho we-UN, iNingizimu Afrika izibophezele ekuqhubekeni nokuqalisa ukusebenza i-Beijing Declaration ne-Platform for Action nokuwuhlelo lokufukulwa nokuthuthukiswa kwabantu besifazane Imithethosivivinywa IKhabhinethi ikuphasisile ukwethulwa ePhalamende Kwesichibiyelo Somthethosivivinywa Wezinhlaka Zikamasipala: Uhulumeni Wendawo sonyaka we-2016.","The session is taking place in an important year for South Africa as it marks three important milestones, namely the 20th Anniversary of the Constitution of the Republic of South Africa of 1996, 40th Anniversary of the Soweto Youth Uprising and the 60th Anniversary of the 1956 women s marcSouth Africa has presented a report to the UN CSW60 and this gives us an opportunity to benchmark the progress we have made since the dawn of democrac It is important to note that since the democratic dispensation South Africa, among other things, participated in the 4th World Conference of Women in 1995, and signed the Beijing Declaration and Platform for Action in the same yeaIn line with resolution E/RES/2013/18 of the UN Economic and Social Council, South Africa is committed to continue implementing the Beijing Declaration and Platform for Action, which is a blueprint for women s empowerment and advancement Bills Cabinet approved the submission of the Local Government: Municipal Structures Amendment Bill of 2016 to Parliamen Amendments are being made to the Local Government: Municipal Structures Act, 1998 (Act 117 of 1998), which was enacted prior to the first democratic local government elections which took place on 5 December 2000.The amendments will improve the administration of local government elections and among other changes, seek to:a) amend criteria for Category A municipalities;b) remove all references to district management areas;c) clarify the date of assumption of office by a councillor;d) determine the President must set and call the date for the municipal elections;e) allow for extension in the declaration of results of an election;f) require a municipal manager to inform the IEC of ward vacancies;g) determine that a Member of the Executive Council calls and sets the date for by-elections;h) clarify the quorum requirements for a council meeting;i) clarify the circumstances for the casting vote of a councillor presiding during a council meeting;j) increase variance of the number of voters in each ward during a council meeting; andk) increase variance of the number of voters in each ward during a demarcation to clarify the allocation of excessive seats in local municipalities Upcoming events President Zuma",0.84864557
"[ 0.4956645   0.14638786 -0.0454936  ...  1.0892831   0.37986273
  0.70683354]","[ 0.03252263 -0.00092572  0.06650623 ...  0.015295    0.03005492
  0.03188875]","Kwenziwa izichibiyelo kuMthetho Wezinhlaka Zikamasipala: Uhulumeni Wendawo we-1998 (uMthetho wa-117 we-1998), owaphasiswa ngaphambi kokubanjwa kokhetho lokuqala lwentando yeningi lohulumeni basekhaya olwabanjwa mhla zi-5 Zibandlela 2000.Ukuchibiyela kuzokwenza ngcono ukulawulwa kokhetho lohulumeni bendawo futhi phakathi kokunye, kuhlose:a) ukuchibiyela indlela yomasibala beSigaba A;b) ukuqeda konke ukukhuluma ngezindawo zokuphathwa kwezifunda;c) ukucacisa ngosuku lokuqala umsebenzi kwekhansela;d) ukunquma ukuthi uMongameli kumele aqoke futhi amemezele usuku lokhetho lomasipala;e) ukuvumela ukwelulwa kwesikhathi sokumenyezelwa kwemiphumela yokhetho;f) udinga ukuthi imenenja kamasipala yazise i-IEC ngezikhala zomsebenzi ezivulekile kuzigceme;g) ukunquma ukuthi Ilungu Lomkhandlu limemezela futhi liqoke usuku lokhetho lokuchibiyela;h) ukucacisa isibalo esidingekayo sabantu abakhona ukuze kubanjwe umhlangano kamasipala;i) ukucacisa izimo zokuvota zekhansela elingusihlalo ngesikhathi kubanjwe imihlangano yomkhandlu;j) ukukhulisa ukuguqulwa kwesibalo sabavoti kusigceme ngasinye ngesikhathi kubanjwe imihlangano yomkhandlu; kanyek) nokukhulisa ukuguqulwa kwesibalo sabavoti kusigceme ngasinye ngesikhathi sokuklanywa kwendawo ukucacisa ukwabiwa kwezihlalo eziningi komasipala bendawo Imicimbi ezayo UMongameli Zuma","The week will profile water as a human right by raising awareness of the plight of people who do not have access to clean drinkable wateThe Department of Water and Sanitation is still in the process of eradicating the bucket system and has thus far eradicated 7 of the bucket system in formal settlements in South Afric Seven provinces have performed excellently with an average 90% eradicatio Those that have achieved total eradication in formal settlements are KwaZulu-Natal, North West, Mpumalanga and Gauten The Western Cape has reached 9 clearanc From a target of 26 120 for the Northern Cape, Eastern Cape, North West and Free State, some 11 650 systems have been completed to datWhile the recent rainfall brought some relief, the impact of the drought continues to be felt in some parts of the countr South Africans must continue to use water sparingly and implement water-saving initiative Government has since provided R1 billion to deal with the drought crisiCabinet welcomes the progress being made by the five-year War on Leaks programme under the theme:",0.7924136
"[ 1.1172361   0.06259906 -0.17952272 ...  1.4992424   0.14948776
  0.6417066 ]","[ 3.1420309e-02 -2.6500004e-03  2.3519209e-05 ...  2.9860172e-02
  7.7551263e-03  2.5987020e-02]",njengomunye wosihlalo benoMongameli waseFrance u-Fran ois Hollande beKhomishani Ephezulu Yezemisebenzi Kwezempilo Nokukhula Komnotho,as co-chair with French President Fran ois Hollande of the High-Level Commission on Health Employment and Economic Growth,0.9042464
